total,time
197,1424727541
196,1424720398
195,1424720376
194,1423180255
193,1423180237
192,1423176488
191,1423175743
190,1423175422
189,1423174709
188,1423174664
187,1423171945
186,1423165788
185,1423156515
184,1423156482
183,1423156426
182,1423090196
181,1423090188
180,1423090139
179,1423089196
178,1423088849
177,1423088833
176,1421879032
175,1421794046
174,1421789287
173,1419267100
172,1418772284
171,1418771751
170,1418674246
169,1418410897
168,1418260983
167,1416343967
166,1416343957
165,1416343932
164,1416343909
163,1415906477
162,1415837448
161,1415837231
160,1415837193
159,1413912193
158,1413912082
157,1413911879
156,1413911816
155,1413909674
154,1413909640
153,1413834442
152,1410199399
151,1410197884
150,1409349364
149,1409349347
148,1409346399
147,1409346229
146,1409245345
145,1409245338
144,1408117986
143,1408117847
142,1407796624
141,1407700374
140,1407541744
139,1407539745
138,1407539576
137,1407360806
136,1407357855
135,1407357848
134,1407342784
133,1406731123
132,1406648633
131,1406568698
130,1406568546
129,1406568193
128,1406318428
127,1406309879
126,1406309805
125,1399669625
124,1399668423
123,1399668380
122,1397834385
121,1397834314
120,1389620716
119,1389618090
118,1389275549
117,1389197367
116,1389197346
115,1389054036
114,1387278767
113,1387233373
112,1386606116
111,1386376160
110,1386375211
109,1386345876
108,1386330013
107,1386329543
106,1386329506
105,1386329465
104,1386270318
103,1385995789
102,1385995720
101,1385055156
100,1384788226
99,1384462198
98,1383335531
97,1383324730
96,1383324607
95,1383318328
94,1381181204
93,1379432138
92,1378493993
91,1378424310
90,1378424056
89,1378423063
88,1378413288
87,1378411595
86,1375303470
85,1375123303
84,1370882031
83,1370624123
82,1370576020
81,1370575963
80,1369770027
79,1369769032
78,1369769009
77,1369768975
76,1368552318
75,1368049570
74,1367424452
73,1367334214
72,1366849841
71,1366752118
70,1366535264
69,1366530769
68,1366479676
67,1365820134
66,1365697958
65,1365697225
64,1365395139
63,1364932826
62,1364600620
61,1364399578
60,1364396697
59,1364229527
58,1363974470
57,1353966514
56,1353966506
55,1353953924
54,1353953873
53,1353953807
52,1353953680
51,1353951417
50,1353943307
49,1353779100
48,1353777231
47,1353697111
46,1352407485
45,1352397940
44,1350926007
43,1350254704
42,1349208993
41,1349208979
40,1349196043
39,1349191140
38,1347477715
37,1347476014
36,1347473882
35,1347473847
34,1347473821
33,1347473557
32,1347473546
31,1347473531
30,1347473466
29,1347473454
28,1347473445
27,1344438300
26,1344438133
25,1344438121
24,1344438049
23,1344291412
22,1343928936
21,1339882365
20,1339111281
19,1337899205
18,1337877564
17,1337827204
16,1337817189
15,1337812050
14,1337299936
13,1336526252
12,1336429251
11,1336428746
10,1336147188
9,1336145971
8,1335566818
7,1335566537
6,1335566060
5,1335219483
4,1335071728
3,1334774118
2,1333588969
1,1332806285
