total,time
101,1428928850
100,1428071713
99,1427554838
98,1426776742
97,1426610998
96,1426594759
95,1425317148
94,1425314396
93,1424391530
92,1424381219
91,1423589337
90,1423502241
89,1422691214
88,1422459099
87,1422310267
86,1421795438
85,1421788819
84,1421637548
83,1420034121
82,1420012582
81,1419382792
80,1418934711
79,1418898805
78,1415802129
77,1414996875
76,1414589035
75,1414574215
74,1414481305
73,1414315611
72,1413895123
71,1413844369
70,1413492408
69,1412525962
68,1412054774
67,1411802498
66,1410098082
65,1409821691
64,1409578148
63,1407856751
62,1407395718
61,1406085565
60,1405727205
59,1405670556
58,1401978132
57,1401627601
56,1401222618
55,1401100582
54,1399278527
53,1396632731
52,1396047848
51,1395391314
50,1395223102
49,1394195379
48,1394035026
47,1392226601
46,1389776549
45,1389252005
44,1388129310
43,1386137937
42,1386114249
41,1386011676
40,1384394480
39,1382213100
38,1380405324
37,1380092262
36,1379645502
35,1378438194
34,1377882905
33,1377838763
32,1376933738
31,1376376720
30,1376060230
29,1374962024
28,1374747831
27,1374732442
26,1374677519
25,1374497442
24,1373545989
23,1370504644
22,1370432696
21,1368450481
20,1366138151
19,1365280485
18,1364199462
17,1363363047
16,1361938411
15,1361035318
14,1360703151
13,1359550603
12,1359498578
11,1357754952
10,1357753761
9,1357728708
8,1355913466
7,1355858487
6,1355757271
5,1353951161
4,1347482522
3,1343030321
2,1341996967
1,1337723313
