total,time
203,1428574635
202,1427978268
201,1427756431
200,1426780368
199,1426541377
198,1426516090
197,1426218503
196,1426100529
195,1425020449
194,1424952532
193,1424724058
192,1423679358
191,1423524852
190,1423130941
189,1422691198
188,1422621874
187,1422311021
186,1422300000
185,1421978787
184,1421789317
183,1420756005
182,1419406629
181,1418825842
180,1417169639
179,1416344088
178,1416329993
177,1416315652
176,1415837630
175,1415800699
174,1415186913
173,1414688346
172,1414009460
171,1413929479
170,1413186982
169,1413102118
168,1412929139
167,1412754850
166,1412312258
165,1412197523
164,1412148786
163,1412004060
162,1411575848
161,1411174804
160,1410198027
159,1409824165
158,1409578514
157,1409542729
156,1409377982
155,1409246001
154,1408891018
153,1408890684
152,1407358310
151,1406926731
150,1406498457
149,1405864631
148,1405073552
147,1404232000
146,1403218511
145,1402716187
144,1401455313
143,1401356391
142,1400928664
141,1400681508
140,1399622343
139,1397594150
138,1397591178
137,1397204819
136,1396937078
135,1396618934
134,1396467368
133,1396467197
132,1395832556
131,1395764504
130,1395230400
129,1395153511
128,1393887855
127,1393883141
126,1393438935
125,1392770080
124,1391015457
123,1390320019
122,1389611467
121,1389213483
120,1388480739
119,1387966481
118,1386661877
117,1386608340
116,1386270461
115,1386041586
114,1386027568
113,1385903103
112,1385718366
111,1385551258
110,1384873478
109,1384484398
108,1384401074
107,1384277715
106,1384260580
105,1384255446
104,1384210218
103,1383852987
102,1383471251
101,1382959500
100,1382461495
99,1382438164
98,1382333270
97,1382010541
96,1381600886
95,1381503338
94,1381471905
93,1381416593
92,1381394729
91,1381342547
90,1381332477
89,1381302706
88,1381255987
87,1381247321
86,1381236481
85,1381227837
84,1381119988
83,1381076257
82,1380692724
81,1380271081
80,1380190870
79,1379578744
78,1379577970
77,1379492493
76,1379112668
75,1378378397
74,1378199387
73,1376685091
72,1375481837
71,1374956504
70,1373237243
69,1372673586
68,1372252865
67,1371479385
66,1370730806
65,1370409627
64,1370395611
63,1370333922
62,1370273045
61,1369951532
60,1369934016
59,1369907751
58,1369365596
57,1368499134
56,1368274313
55,1368228987
54,1367478442
53,1367475988
52,1367245149
51,1366644315
50,1366487658
49,1366373806
48,1366319870
47,1365615840
46,1365600735
45,1365064964
44,1365060453
43,1365028826
42,1363813283
41,1363793084
40,1361457506
39,1361186359
38,1360590905
37,1359998259
36,1358984495
35,1358933341
34,1358920717
33,1358014771
32,1357740747
31,1356588658
30,1355593744
29,1355503894
28,1355477663
27,1355162568
26,1355148762
25,1354830304
24,1354800879
23,1353951722
22,1353374655
21,1353327842
20,1353081722
19,1352875766
18,1348581683
17,1348581006
16,1348491470
15,1347740258
14,1347628495
13,1347611465
12,1347489461
11,1347474522
10,1343882034
9,1343303416
8,1342616388
7,1342607138
6,1342465981
5,1340880510
4,1340532198
3,1339889484
2,1339411360
1,1339032885
