total,time
3990,1428587227
3989,1428586390
3988,1428582127
3987,1428581762
3986,1428581398
3985,1428563483
3984,1428560862
3983,1428560521
3982,1428555745
3981,1428535468
3980,1428475186
3979,1428451635
3978,1428449829
3977,1428426915
3976,1428426861
3975,1428288773
3974,1428399887
3973,1428399303
3972,1428384489
3971,1428000099
3970,1427991888
3969,1427957469
3968,1427890691
3967,1427881982
3966,1427298911
3965,1427211508
3964,1426750678
3963,1426750308
3962,1426708871
3961,1426444642
3960,1426700167
3959,1426699572
3958,1426699011
3957,1426697902
3956,1426697779
3955,1426697748
3954,1426697278
3953,1426696967
3952,1426613844
3951,1426613270
3950,1426612178
3949,1426609446
3948,1426609326
3947,1426609214
3946,1426285421
3945,1426153297
3944,1426152514
3943,1426088828
3942,1426086338
3941,1426029409
3940,1425761483
3939,1425675071
3938,1425674729
3937,1425667036
3936,1425590332
3935,1425572360
3934,1425554492
3933,1425511208
3932,1423260178
3931,1425506229
3930,1425506155
3929,1425506082
3928,1425384161
3927,1425282084
3926,1425279152
3925,1425178586
3924,1424974173
3923,1425167180
3922,1425125121
3921,1425125002
3920,1424974983
3919,1424800315
3918,1424776597
3917,1424775412
3916,1424762219
3915,1424737248
3914,1424735786
3913,1424729203
3912,1424713740
3911,1424680278
3910,1424634185
3909,1424543185
3908,1424494398
3907,1424493988
3906,1424493896
3905,1424321870
3904,1424425958
3903,1424349827
3902,1424337744
3901,1424093453
3900,1423860629
3899,1423860399
3898,1423765726
3897,1423710951
3896,1423710930
3895,1423709748
3894,1423697122
3893,1423694385
3892,1423692194
3891,1423690647
3890,1423689159
3889,1423683976
3888,1423683668
3887,1423642207
3886,1423620463
3885,1423581804
3884,1423555075
3883,1423492188
3882,1423486274
3881,1423484112
3880,1423266484
3879,1423266460
3878,1423263139
3877,1423259857
3876,1423257695
3875,1423257455
3874,1423255975
3873,1423223738
3872,1423223096
3871,1423222290
3870,1423221263
3869,1423213278
3868,1423212322
3867,1423212120
3866,1423203881
3865,1423203441
3864,1423177876
3863,1423155927
3862,1423140004
3861,1423139720
3860,1423138233
3859,1423138052
3858,1423137762
3857,1423116721
3856,1423089490
3855,1423086548
3854,1423078027
3853,1423078003
3852,1423076820
3851,1423076174
3850,1423075798
3849,1423073889
3848,1423061768
3847,1423061446
3846,1423033411
3845,1423032787
3844,1423031803
3843,1423031464
3842,1423031005
3841,1423029590
3840,1423029555
3839,1423029022
3838,1423028873
3837,1423028841
3836,1423006102
3835,1423005537
3834,1422997915
3833,1422997853
3832,1422997000
3831,1422996339
3830,1422995441
3829,1422993811
3828,1422992958
3827,1422983311
3826,1422954035
3825,1422953292
3824,1422953067
3823,1422952525
3822,1422951493
3821,1422951168
3820,1422948496
3819,1422916803
3818,1422913313
3817,1422905199
3816,1422905144
3815,1422744144
3814,1422743518
3813,1422723195
3812,1422722933
3811,1422722657
3810,1422722350
3809,1422666322
3808,1422672771
3807,1422669613
3806,1422616487
3805,1422616144
3804,1422513300
3803,1422611637
3802,1422611008
3801,1422610741
3800,1422541370
3799,1422532781
3798,1422530232
3797,1422528249
3796,1422525584
3795,1422525421
3794,1422524567
3793,1422476858
3792,1422467964
3791,1422467037
3790,1422466964
3789,1422465546
3788,1422460120
3787,1422456474
3786,1422455399
3785,1422447695
3784,1422446962
3783,1422442856
3782,1422422377
3781,1422441051
3780,1422404373
3779,1422434531
3778,1422432201
3777,1422430426
3776,1422413592
3775,1422352607
3774,1422286864
3773,1422276092
3772,1422275625
3771,1422275339
3770,1422275210
3769,1422035018
3768,1422034423
3767,1422002084
3766,1421965711
3765,1421925186
3764,1421860222
3763,1421853483
3762,1421850586
3761,1421850538
3760,1421850068
3759,1421849300
3758,1421848976
3757,1421848488
3756,1421848088
3755,1421843692
3754,1421842830
3753,1421842800
3752,1421842426
3751,1421841633
3750,1421841233
3749,1421838739
3748,1421837580
3747,1421828130
3746,1421791443
3745,1421791324
3744,1421629366
3743,1421788435
3742,1421629366
3741,1421766274
3740,1421764228
3739,1421758131
3738,1415612489
3737,1421751575
3736,1421655053
3735,1421649811
3734,1421648263
3733,1421332975
3732,1421307533
3731,1421294883
3730,1421115881
3729,1421103529
3728,1421102028
3727,1421097246
3726,1420616269
3725,1420560386
3724,1420499068
3723,1420497365
3722,1419882816
3721,1419448265
3720,1419407904
3719,1419399028
3718,1419356317
3717,1419396856
3716,1419396810
3715,1419356582
3714,1419235663
3713,1419230657
3712,1419140343
3711,1419023403
3710,1418940986
3709,1418891392
3708,1418889187
3707,1418883974
3706,1418849727
3705,1418704852
3704,1418703994
3703,1418697012
3702,1418673828
3701,1418629530
3700,1418624880
3699,1418616124
3698,1418549058
3697,1418365428
3696,1418497484
3695,1418497423
3694,1418497405
3693,1418497158
3692,1418496791
3691,1418494977
3690,1418494696
3689,1418460640
3688,1418458529
3687,1418413318
3686,1418354281
3685,1418366509
3684,1418395166
3683,1418368870
3682,1418367606
3681,1418357195
3680,1418361606
3679,1418355707
3678,1418355584
3677,1418355553
3676,1418355165
3675,1418351679
3674,1418338740
3673,1418331225
3672,1418310912
3671,1418299786
3670,1417900057
3669,1418106818
3668,1418151569
3667,1418145988
3666,1418141837
3665,1418116800
3664,1418111035
3663,1418099014
3662,1418097885
3661,1418097794
3660,1418097747
3659,1418040348
3658,1418029931
3657,1418028891
3656,1416604226
3655,1417692027
3654,1417548495
3653,1417528491
3652,1417526749
3651,1417502605
3650,1417502086
3649,1417502061
3648,1417501366
3647,1417501165
3646,1417499979
3645,1417499113
3644,1417491471
3643,1417480795
3642,1417479053
3641,1417479021
3640,1417478722
3639,1417477342
3638,1417477292
3637,1417456829
3636,1417436380
3635,1417428981
3634,1417427431
3633,1417297842
3632,1417297644
3631,1417297489
3630,1417296002
3629,1417293157
3628,1417292241
3627,1417291506
3626,1417279969
3625,1417240277
3624,1417238797
3623,1417237608
3622,1417235852
3621,1417014346
3620,1417010094
3619,1417006823
3618,1417006467
3617,1416914002
3616,1416913875
3615,1416604226
3614,1416578349
3613,1416572653
3612,1416572360
3611,1416562135
3610,1416557592
3609,1416557425
3608,1416403921
3607,1416389986
3606,1416388185
3605,1416320559
3604,1416255450
3603,1416249834
3602,1416249798
3601,1416246533
3600,1416216404
3599,1416216199
3598,1416081517
3597,1416080937
3596,1416078134
3595,1416060401
3594,1416033812
3593,1415822373
3592,1415822032
3591,1415797554
3590,1415659833
3589,1415659578
3588,1415659372
3587,1415658536
3586,1415657272
3585,1415657113
3584,1415656722
3583,1415656469
3582,1415656236
3581,1415655160
3580,1415654834
3579,1415654236
3578,1415653855
3577,1415653719
3576,1415653451
3575,1415653095
3574,1415653014
3573,1415652890
3572,1415642034
3571,1415508355
3570,1415508340
3569,1415507674
3568,1415491429
3567,1415485754
3566,1415485711
3565,1415485666
3564,1415470749
3563,1415468369
3562,1415465783
3561,1415463825
3560,1415417001
3559,1415345037
3558,1415344048
3557,1415257515
3556,1415255858
3555,1415254395
3554,1415254254
3553,1415254025
3552,1415251649
3551,1415247271
3550,1415246990
3549,1415233175
3548,1415032927
3547,1414912484
3546,1414912458
3545,1414911012
3544,1414910979
3543,1414901285
3542,1414900649
3541,1414898337
3540,1414873790
3539,1414783729
3538,1414746441
3537,1414635917
3536,1414614816
3535,1414613841
3534,1414613389
3533,1414605267
3532,1414602555
3531,1414601596
3530,1414551350
3529,1414551293
3528,1414533595
3527,1414514563
3526,1414505330
3525,1414425843
3524,1414407887
3523,1414282285
3522,1414260473
3521,1414181924
3520,1414181903
3519,1414180849
3518,1414171678
3517,1414100907
3516,1414099212
3515,1414097507
3514,1414045162
3513,1414045102
3512,1414045056
3511,1414044693
3510,1414044535
3509,1414044253
3508,1414044193
3507,1414043357
3506,1413822173
3505,1413910070
3504,1413823963
3503,1413730061
3502,1413703632
3501,1413672345
3500,1413671833
3499,1413671649
3498,1413549973
3497,1413478883
3496,1413478530
3495,1413477881
3494,1413476293
3493,1413438878
3492,1413435194
3491,1413435178
3490,1413434911
3489,1413434640
3488,1413434628
3487,1413432931
3486,1413431250
3485,1413430773
3484,1413429425
3483,1413428251
3482,1413418605
3481,1413387525
3480,1413361267
3479,1413358542
3478,1413356461
3477,1413356363
3476,1413304840
3475,1413273543
3474,1413215624
3473,1413215609
3472,1413181424
3471,1413130173
3470,1412996010
3469,1412995044
3468,1412983830
3467,1412977813
3466,1412971638
3465,1412960756
3464,1412960333
3463,1412922980
3462,1412920243
3461,1412919730
3460,1412919706
3459,1412916705
3458,1412915383
3457,1412915363
3456,1412912663
3455,1412912559
3454,1412912529
3453,1412912397
3452,1412911427
3451,1412911399
3450,1412911233
3449,1412911096
3448,1412911087
3447,1412910537
3446,1412891520
3445,1412891774
3444,1412876285
3443,1412800686
3442,1412800485
3441,1412777092
3440,1412726625
3439,1412726612
3438,1412726095
3437,1412726046
3436,1412723058
3435,1412722938
3434,1412627219
3433,1412627211
3432,1412617804
3431,1412614637
3430,1412613131
3429,1412612422
3428,1412573444
3427,1412186743
3426,1412567745
3425,1412566759
3424,1412566709
3423,1412527383
3422,1412396986
3421,1412396762
3420,1412373705
3419,1412372884
3418,1412371355
3417,1412293599
3416,1412291876
3415,1412291847
3414,1412290576
3413,1410707097
3412,1410517948
3411,1410511994
3410,1411572680
3409,1412222657
3408,1412219407
3407,1412288970
3406,1412288770
3405,1412288753
3404,1412288470
3403,1412124223
3402,1412013294
3401,1410683378
3400,1410411574
3399,1410411069
3398,1410410981
3397,1410234325
3396,1410062689
3395,1410062639
3394,1409960484
3393,1409960307
3392,1409641601
3391,1409945650
3390,1409649585
3389,1409718695
3388,1409896273
3387,1409953457
3386,1409855560
3385,1409855464
3384,1409854525
3383,1409770316
3382,1409552325
3381,1409552304
3380,1409537119
3379,1409537105
3378,1409536875
3377,1409458176
3376,1409379437
3375,1409379080
3374,1409362444
3373,1409356523
3372,1409356193
3371,1409355773
3370,1409352785
3369,1409348692
3368,1409348289
3367,1409347473
3366,1409245737
3365,1409239867
3364,1409184394
3363,1409183567
3362,1409183556
3361,1409183437
3360,1409183421
3359,1409183127
3358,1409160674
3357,1409159156
3356,1408659142
3355,1408657918
3354,1408657269
3353,1408472608
3352,1408468378
3351,1408469937
3350,1408469774
3349,1408467652
3348,1408432361
3347,1408431393
3346,1408431458
3345,1408421492
3344,1408420105
3343,1408420101
3342,1408419619
3341,1408419060
3340,1408419051
3339,1408419029
3338,1408418781
3337,1408418757
3336,1408418646
3335,1408418060
3334,1408417704
3333,1408416632
3332,1408414166
3331,1408402051
3330,1408382230
3329,1408379634
3328,1408378890
3327,1408378077
3326,1408378021
3325,1408377987
3324,1408377973
3323,1408377871
3322,1408338736
3321,1408338474
3320,1408290284
3319,1408236570
3318,1408234410
3317,1408227737
3316,1408141289
3315,1408140213
3314,1408133015
3313,1408130687
3312,1408122526
3311,1408130045
3310,1408120002
3309,1408119926
3308,1408066760
3307,1408057247
3306,1408057229
3305,1408056982
3304,1408056168
3303,1408054282
3302,1408053949
3301,1408053573
3300,1408053566
3299,1408052676
3298,1408052470
3297,1408046417
3296,1408046233
3295,1408045714
3294,1408042768
3293,1408042753
3292,1408040882
3291,1408038904
3290,1407993768
3289,1408035134
3288,1408028227
3287,1408015460
3286,1408005670
3285,1407995649
3284,1407954177
3283,1407994163
3282,1407993086
3281,1407952485
3280,1407952399
3279,1407952395
3278,1407873904
3277,1407873132
3276,1407872198
3275,1407858683
3274,1407871589
3273,1407869676
3272,1407869660
3271,1407861267
3270,1407858729
3269,1407823206
3268,1407820820
3267,1407820781
3266,1407820692
3265,1407816672
3264,1407815366
3263,1407803599
3262,1407800149
3261,1407795551
3260,1407795167
3259,1407794999
3258,1407794820
3257,1407794690
3256,1407791924
3255,1407750274
3254,1407733771
3253,1407600362
3252,1407535278
3251,1407533925
3250,1407531893
3249,1407531147
3248,1407526375
3247,1407526345
3246,1407524633
3245,1407524564
3244,1407524231
3243,1407520605
3242,1407474477
3241,1407473661
3240,1407473585
3239,1407344543
3238,1407275010
3237,1407266330
3236,1407261963
3235,1407176606
3234,1407127525
3233,1406822455
3232,1406821102
3231,1406819657
3230,1406819653
3229,1406819651
3228,1406807395
3227,1406737987
3226,1406737878
3225,1406694962
3224,1406278503
3223,1406703117
3222,1406652117
3221,1406651437
3220,1406651246
3219,1406650766
3218,1406639901
3217,1406641494
3216,1406631646
3215,1406621495
3214,1405523698
3213,1405516507
3212,1406609770
3211,1406608151
3210,1406594489
