total,time
732,1428733974
731,1428649758
730,1428648800
729,1428646471
728,1428637652
727,1428635147
726,1428631854
725,1428603256
724,1428568279
723,1428557029
722,1428543167
721,1428488870
720,1428481391
719,1428443140
718,1428398869
717,1428372223
716,1428292733
715,1428116335
714,1428077841
713,1427958929
712,1427810287
711,1427791243
710,1427720341
709,1427623311
708,1427565118
707,1427466031
706,1427424078
705,1427423538
704,1427398496
703,1427359557
702,1427175902
701,1427162149
700,1427104682
699,1427101972
698,1427100703
697,1427080518
696,1427055618
695,1427007436
694,1426885205
693,1426870453
692,1426864694
691,1426837026
690,1426784587
689,1426779840
688,1426766431
687,1426758787
686,1426750273
685,1426691867
684,1426670917
683,1426669068
682,1426632520
681,1426631682
680,1426586438
679,1426567060
678,1426470094
677,1426443024
676,1426442650
675,1426438574
674,1426426207
673,1426389502
672,1426338249
671,1426242739
670,1426237222
669,1426191269
668,1426171298
667,1426167279
666,1426161612
665,1426159388
664,1426128182
663,1426094917
662,1425956518
661,1425925227
660,1425794048
659,1425620092
658,1425570139
657,1425489750
656,1425480659
655,1425367288
654,1425293715
653,1425285189
652,1425280544
651,1425209350
650,1425183159
649,1425174303
648,1425018826
647,1424996800
646,1424974800
645,1424973394
644,1424895943
643,1424892392
642,1424856377
641,1424829286
640,1424765327
639,1424718324
638,1424580200
637,1424442275
636,1424416076
635,1424268586
634,1424207259
633,1424171426
632,1423927582
631,1423840237
630,1423769754
629,1423734069
628,1423731007
627,1423715223
626,1423639380
625,1423580221
624,1423576410
623,1423567350
622,1423549422
621,1423490134
620,1423477112
619,1423457282
618,1423215228
617,1423125499
616,1423000887
615,1422944623
614,1422799766
613,1422658323
612,1422609245
611,1422600420
610,1422590253
609,1422526010
608,1422522374
607,1422508177
606,1422450235
605,1422433680
604,1422382667
603,1422376575
602,1422260102
601,1421942051
600,1421941530
599,1421909633
598,1421874813
597,1421718436
596,1421677585
595,1421644933
594,1421636241
593,1421351675
592,1421314358
591,1421303183
590,1421261800
589,1421206587
588,1421198322
587,1421102549
586,1421099001
585,1421087714
584,1421081986
583,1421033649
582,1420726258
581,1420722748
580,1420600863
579,1420596511
578,1420468162
577,1420428547
576,1420360505
575,1420358597
574,1420328690
573,1420226619
572,1420183096
571,1420006255
570,1420002054
569,1419998918
568,1419971289
567,1419696942
566,1419602377
565,1419571464
564,1419512609
563,1419433729
562,1419408031
561,1419377746
560,1419367653
559,1419279894
558,1419270477
557,1419270230
556,1419177281
555,1419176624
554,1419173001
553,1419109434
552,1419103756
551,1419085180
550,1419047988
549,1419047664
548,1418959615
547,1418933766
546,1418932748
545,1418864438
544,1418850306
543,1418811841
542,1418797511
541,1418795951
540,1418789161
539,1418788390
538,1418668478
537,1418593087
536,1418366946
535,1418284359
534,1418019225
533,1418016415
532,1418002064
531,1417954283
530,1417936269
529,1417934162
528,1417697601
527,1417576744
526,1417456439
525,1417353055
524,1417350993
523,1417319605
522,1417141877
521,1417011642
520,1416986247
519,1416674572
518,1416627016
517,1416593788
516,1416408179
515,1416371058
514,1416323092
513,1416275342
512,1416252034
511,1416214847
510,1416203423
509,1416163524
508,1416067034
507,1415988983
506,1415960367
505,1415841898
504,1415758565
503,1415612246
502,1415589932
501,1415580693
500,1415501992
499,1415425629
498,1415419875
497,1415296200
496,1415216520
495,1415115631
494,1414873164
493,1414723063
492,1414655637
491,1414601495
490,1414395688
489,1414186708
488,1414091730
487,1414077320
486,1414061950
485,1413968048
484,1413967419
483,1413741764
482,1413491321
481,1413480048
480,1413463802
