total,time
2254,1428684727
2253,1428639625
2252,1428632145
2251,1428628990
2250,1428581438
2249,1428563906
2248,1428556506
2247,1428542528
2246,1428535964
2245,1428452558
2244,1428452124
2243,1428450222
2242,1428391410
2241,1428384668
2240,1428383441
2239,1428341829
2238,1428340807
2237,1428290667
2236,1428042244
2235,1428026062
2234,1427957615
2233,1427882114
2232,1427838558
2231,1427728840
2230,1427721470
2229,1427478339
2228,1427230270
2227,1427211810
2226,1427208091
2225,1427186833
2224,1427118703
2223,1427118361
2222,1427102327
2221,1426763088
2220,1426750352
2219,1426699753
2218,1426696654
2217,1426694802
2216,1426675340
2215,1426634250
2214,1426614406
2213,1426613251
2212,1426612191
2211,1426589072
2210,1426540328
2209,1426454389
2208,1426446947
2207,1426445584
2206,1426295514
2205,1426285441
2204,1426238940
2203,1426198444
2202,1426167479
2201,1426155210
2200,1426152566
2199,1426086480
2198,1426067143
2197,1425995111
2196,1425988709
2195,1425895461
2194,1425675289
2193,1425665660
2192,1425629810
2191,1425590497
2190,1425574589
2189,1425572654
2188,1425570088
2187,1425558233
2186,1425554592
2185,1425551381
2184,1425530994
2183,1425517737
2182,1425517673
2181,1425487215
2180,1425469351
2179,1425451594
2178,1425431677
2177,1425412221
2176,1425404527
2175,1425370884
2174,1425343766
2173,1425330421
2172,1425328316
2171,1425317181
2170,1425279217
2169,1425154136
2168,1425151085
2167,1425144723
2166,1425144269
2165,1425144125
2164,1425143853
2163,1425143316
2162,1425142942
2161,1425125782
2160,1425018319
2159,1424975054
2158,1424974268
2157,1424955047
2156,1424880395
2155,1424871883
2154,1424852657
2153,1424775606
2152,1424737433
2151,1424729540
2150,1424718503
2149,1424680939
2148,1424553129
2147,1424548507
2146,1424541627
2145,1424428572
2144,1424426124
2143,1424423072
2142,1424337763
2141,1424322563
2140,1424242568
2139,1423868941
2138,1423864179
2137,1423860693
2136,1423850923
2135,1423797875
2134,1423782345
2133,1423736406
2132,1423682046
2131,1423650109
2130,1423642143
2129,1423602717
2128,1423590594
2127,1423585525
