total,time
582,1427313572
581,1421183027
580,1421182947
579,1421182898
578,1421182809
577,1419911466
576,1419851856
575,1419849109
574,1419829788
573,1414616263
572,1414602872
571,1414601911
570,1414598634
569,1414598614
568,1414358323
567,1414343751
566,1414343732
565,1414343676
564,1414270505
563,1414270459
562,1414268239
561,1414261413
560,1414255224
559,1414255164
558,1414255091
557,1414132737
556,1414131421
555,1414092336
554,1414092301
553,1414092251
552,1414092143
551,1414052269
550,1414045352
549,1414044433
548,1414043644
547,1414043606
546,1413925415
545,1413925270
544,1413825809
543,1413736825
542,1413736786
541,1413664308
540,1413663656
539,1413648880
538,1413648772
537,1413627106
536,1413627073
535,1413051577
534,1413051107
533,1412830302
532,1412534205
531,1411555276
530,1411544824
529,1406726837
528,1411538434
527,1398069737
526,1409850326
525,1409830457
524,1409829905
523,1408344856
522,1404251588
521,1404251547
520,1404205777
519,1403909927
518,1403547475
517,1403542198
516,1402953643
515,1402953576
514,1402863998
513,1402863840
512,1402817235
511,1402817029
510,1402810286
509,1402810273
508,1402809884
507,1402809864
506,1402809822
505,1402693727
504,1402693025
503,1402688714
502,1402606208
501,1402606170
500,1401569184
499,1401569153
498,1401569036
497,1402634924
496,1402137722
495,1401804571
494,1401512040
493,1401480295
492,1401480202
491,1401479871
490,1401479593
489,1401479117
488,1401472879
487,1401472821
486,1401472788
485,1401438418
484,1401438392
483,1401436324
482,1401434348
481,1401434296
480,1401430283
479,1401395888
478,1401395866
477,1401263410
476,1401263228
475,1401263199
474,1401000533
473,1401000515
472,1401000504
471,1401000497
470,1401000480
469,1401000471
468,1401000460
467,1401000417
466,1401000328
465,1401000272
464,1400941697
463,1400938964
462,1400537156
461,1400537130
460,1400537033
459,1400534868
458,1400534839
457,1400534819
456,1400534803
455,1400534793
454,1400534779
453,1400534767
452,1400534751
451,1400534737
450,1400485069
449,1400485034
448,1400392027
447,1400391981
446,1400391658
445,1400179472
444,1400179343
443,1400176311
442,1399978335
441,1399969689
440,1399752032
439,1399751954
438,1399751683
437,1399749851
436,1399749789
435,1399749663
434,1399749603
433,1399749577
432,1399749526
431,1399749512
430,1399749481
429,1399749390
428,1399047529
427,1398837860
426,1398835934
425,1398835915
424,1398665288
423,1398635371
422,1398629280
421,1398551018
420,1398327817
419,1398327359
418,1397725635
417,1397650878
416,1396387167
415,1396387148
414,1396332474
413,1396332383
412,1396332339
411,1396332059
410,1396331971
409,1394550070
408,1394533176
407,1394398040
406,1394398015
405,1394347820
404,1394289110
403,1394289050
402,1394289035
401,1394288999
400,1394288878
399,1394211475
398,1394125498
397,1394093129
396,1394093030
395,1394092267
394,1394092154
393,1394091524
392,1394053486
391,1394052542
390,1394052495
389,1394052458
388,1394048765
387,1394046398
386,1394046365
385,1394046296
384,1393791179
383,1393783189
382,1393783147
381,1393746943
380,1393700808
379,1393700027
378,1393688109
377,1393688078
376,1393676356
375,1393619072
374,1393581747
373,1393576586
372,1393232569
371,1393232491
370,1393169111
369,1393168299
368,1393045687
367,1393045661
366,1392571563
365,1392533685
364,1392490541
363,1392490484
362,1392490402
361,1392468323
360,1392447857
359,1392443459
358,1392309314
357,1391280587
356,1391277381
355,1391255210
354,1391076787
353,1390943357
352,1390942338
351,1390942162
350,1390942045
349,1390583869
348,1390583819
347,1390556920
346,1390373716
345,1390359440
344,1390313542
343,1390313468
342,1390066778
341,1390049665
340,1390035033
339,1390028688
338,1389979523
337,1389979255
336,1389959374
335,1389959293
334,1389959198
333,1389912097
332,1389910859
331,1389907949
330,1389867179
329,1389866174
328,1389819713
327,1389819660
326,1389699631
325,1389661050
324,1389658804
323,1389471984
322,1388349158
321,1388247060
320,1387663898
319,1387636541
318,1386963367
317,1386962467
316,1386962364
315,1386866730
314,1386866730
313,1386071797
312,1386071797
311,1385837415
310,1385837415
309,1385835242
308,1385835242
307,1385834149
306,1385834149
305,1385745378
304,1385745378
303,1385743665
302,1385743665
301,1385736057
300,1385736057
299,1385736032
298,1385736032
297,1385734990
296,1385734990
295,1385734965
294,1385734965
293,1385733487
292,1385733487
291,1385733470
290,1385733470
289,1385733439
288,1385733439
287,1385491310
286,1385491310
285,1385491092
284,1385491092
283,1385490725
282,1385490725
281,1385490661
280,1385490661
279,1385490492
278,1385490492
277,1385482606
276,1385482606
275,1385467477
274,1385467477
273,1385419115
272,1385419115
271,1385400259
270,1385400259
269,1385328295
268,1385328295
267,1385247876
266,1385247876
265,1385247763
264,1385247763
263,1385136368
262,1385136368
261,1385129019
260,1385129019
259,1385127481
258,1385127481
257,1385127333
256,1385127333
255,1385126479
254,1385126479
253,1385126450
252,1385126450
251,1385113196
250,1385113196
249,1385107853
248,1385107853
247,1385078739
246,1385078739
245,1385078607
244,1385078607
243,1385078377
242,1385078377
241,1385077789
240,1385077789
239,1385074945
238,1385074945
237,1385042915
236,1385042915
235,1384941521
234,1384941521
233,1384624514
232,1384624514
231,1384555685
230,1384555685
229,1383665360
228,1383665360
227,1384551551
226,1384551551
225,1384462185
224,1384462185
223,1384462021
222,1384462021
221,1384460981
220,1384460981
219,1383158770
218,1383158770
217,1383158656
216,1383158656
215,1383158508
214,1383158508
213,1383154948
212,1383154948
211,1383154744
210,1383154744
209,1383154672
208,1383154672
207,1382777457
206,1382777457
205,1382701821
204,1382701821
203,1381693017
202,1381693017
201,1381601160
200,1381601160
199,1380651641
198,1380651641
197,1380651231
196,1380651231
195,1380649070
194,1380649070
193,1380649007
192,1380649007
191,1380007338
190,1380007338
189,1380007244
188,1380007244
187,1380006655
186,1380006655
185,1378838911
184,1378838911
183,1378838901
182,1378838901
181,1378561196
180,1378561196
179,1378561044
178,1378561044
177,1378561023
176,1378561023
175,1378558720
174,1378558720
173,1378558277
172,1378558277
171,1378557292
170,1378557292
169,1378557086
168,1378557086
167,1378376365
166,1378376365
165,1378375421
164,1378375421
163,1378375413
162,1378375413
161,1378375396
160,1378375396
159,1378375366
158,1378375366
157,1378375294
156,1378375294
155,1378364367
154,1378364367
153,1378364280
152,1378364280
151,1378363773
150,1378363773
149,1377982986
148,1377982986
147,1377982976
146,1377982976
145,1377982826
144,1377982826
143,1377979581
142,1377979581
141,1377951020
140,1377951020
139,1377950910
138,1377950910
137,1377381546
136,1377381546
135,1377362808
134,1377362808
133,1377346063
132,1377346063
131,1377342245
130,1377342245
129,1377336469
128,1377336469
127,1377296890
126,1377296890
125,1377296835
124,1377296835
123,1377295808
122,1377295808
