total,time
282,1429020050
281,1428895408
280,1428810781
279,1428729755
278,1428697713
277,1428652605
276,1428494320
275,1428325038
274,1428196519
273,1428094095
272,1427916233
271,1427859870
270,1427812662
269,1427633884
268,1427434246
267,1427424343
266,1427219958
265,1427181447
264,1427120421
263,1427109968
262,1427101398
261,1426916527
260,1426886076
259,1426804783
258,1426663908
257,1426509996
256,1426480087
255,1426088733
254,1426037410
253,1425909272
252,1425744242
251,1424939494
250,1424753174
249,1424705621
248,1424148680
247,1424119433
246,1424009782
245,1423607070
244,1423483827
243,1423474631
242,1423411340
241,1423078516
240,1423075273
239,1423042980
238,1422946699
237,1422657223
236,1422609719
235,1422362041
234,1422251678
233,1422185258
232,1421846062
231,1421694126
230,1421575828
229,1421236185
228,1421146203
227,1420923814
226,1420668182
225,1419923762
224,1419860372
223,1419612401
222,1419586458
221,1419579966
220,1419014783
219,1418895131
218,1418206787
217,1418018484
216,1417785164
215,1417761414
214,1417617813
213,1417536833
212,1417244590
211,1416935648
210,1416917939
209,1416831720
208,1416738636
207,1416600490
206,1416416924
205,1416313627
204,1416248763
203,1416166073
202,1416072813
201,1415789949
200,1415323976
199,1415083422
198,1414953083
197,1414759206
196,1414746540
195,1414578623
194,1414553525
193,1414204237
192,1414151674
191,1414048039
190,1414033219
189,1413954434
188,1413863426
187,1413820546
186,1413661053
185,1413625885
184,1413458720
183,1413368177
182,1413341525
181,1413290107
180,1413126599
179,1413038243
178,1412533963
177,1412521146
176,1412334046
175,1412243945
174,1411952571
173,1411697919
172,1411582246
171,1411536576
170,1411471592
169,1411032271
168,1411020368
167,1410989078
166,1410588953
165,1410463367
164,1410328135
163,1410188466
162,1410092682
161,1409919508
160,1409887236
159,1409129598
158,1408713988
157,1408068756
156,1408025995
155,1407870497
154,1407743073
153,1407568205
152,1407451152
151,1407400255
150,1407174189
149,1407022867
148,1406987578
147,1406620267
146,1406524687
145,1405903298
144,1405877526
143,1405587539
142,1405531871
141,1405457164
140,1405429162
139,1405415829
138,1405394001
137,1405392492
136,1405344794
135,1404983842
134,1404822648
133,1404781257
132,1404728924
131,1404380144
130,1404372074
129,1404227467
128,1403979446
127,1403680262
126,1403542519
125,1403531870
124,1403285147
123,1402989347
122,1402951577
121,1402946246
120,1402901373
119,1402550577
118,1402166640
117,1402089396
116,1401942916
115,1401873062
114,1401530794
113,1401436868
112,1401359854
111,1401349556
110,1401308602
109,1401204783
108,1400947408
107,1400572740
106,1400514799
105,1400471221
104,1400225712
103,1399899345
102,1399840173
101,1399541107
100,1399517432
99,1399381445
98,1398928119
97,1398776473
96,1398765268
95,1398524516
94,1398389587
93,1398247687
92,1398168412
91,1398001498
90,1397812838
89,1397650707
88,1397639625
87,1397633537
86,1397546135
85,1397369931
84,1397363534
83,1397275668
82,1396949860
81,1396931396
80,1396621981
79,1396340897
78,1396147559
77,1395899007
76,1395427558
75,1395327272
74,1395199690
73,1394694274
72,1394533076
71,1394333751
70,1394163676
69,1394112647
68,1393771790
67,1393271515
66,1393248205
65,1392931673
64,1392769484
63,1392767940
62,1392307805
61,1392300046
60,1392278685
59,1392212244
58,1392163871
57,1391721680
56,1391488994
55,1391088647
54,1390746710
53,1390664686
52,1390567773
51,1390504468
50,1390291855
49,1390216126
48,1390119060
47,1390030179
46,1389829317
45,1389780711
44,1389628747
43,1389545206
42,1389472488
41,1389091003
40,1388999376
39,1388527913
38,1387768699
37,1387325850
36,1387289235
35,1387239524
34,1386895959
33,1386832413
32,1386614577
31,1386494207
30,1386282102
29,1386259431
28,1386253927
27,1386237468
26,1385989134
25,1385557434
24,1385139241
23,1384870684
22,1384522839
21,1384458615
20,1383908521
19,1383216903
18,1383205575
17,1383074853
16,1382956468
15,1382618354
14,1382389558
13,1382187283
12,1381289494
11,1380900369
10,1380259289
9,1380218747
8,1378869826
7,1378750990
6,1378452675
5,1378451355
4,1376644215
3,1376240693
2,1376211573
1,1376203653
