total,time
316,1429029526
315,1428823654
314,1428775522
313,1428428856
312,1427843245
311,1427816489
310,1427729677
309,1427438229
308,1426990262
307,1426989072
306,1426685174
305,1425828157
304,1425663196
303,1425316506
302,1425163483
301,1424873641
300,1424814871
299,1424541859
298,1424165168
297,1423533186
296,1423206885
295,1423145668
294,1423104821
293,1423043024
292,1423036492
291,1422991325
290,1422813770
289,1422609248
288,1422550601
287,1422547108
286,1421946556
285,1421895562
284,1421836799
283,1421814487
282,1421620140
281,1421211953
280,1421081646
279,1420814094
278,1420213436
277,1419911772
276,1419852660
275,1419830120
274,1419586729
273,1419460008
272,1418932183
271,1418620268
270,1418125708
269,1417945553
268,1416600482
267,1416423192
266,1416303194
265,1416086255
264,1416064343
263,1415904817
262,1415694255
261,1415537047
260,1415375448
259,1415365082
258,1415298781
257,1415188358
256,1415179006
255,1415178943
254,1415033043
253,1414641763
252,1414418594
251,1414410312
250,1414408620
249,1414151028
248,1414034843
247,1413867591
246,1413838910
245,1413812825
244,1413807568
243,1413672110
242,1413388730
241,1413290904
240,1413032301
239,1412973570
238,1412547789
237,1412534219
236,1412527510
235,1412308559
234,1412276200
233,1412273447
232,1411959487
231,1411544613
230,1411544344
229,1411313807
228,1410943959
227,1410449099
226,1410161557
225,1409912317
224,1409910704
223,1409877125
222,1409837009
221,1409317146
220,1408791185
219,1408702548
218,1408535285
217,1408462930
216,1408343723
215,1408268044
214,1407740593
213,1407556243
212,1407441865
211,1407428856
210,1407255614
209,1407153350
208,1406904349
207,1406817015
206,1406723413
205,1406684240
204,1406587144
203,1406191465
202,1405705626
201,1405431099
200,1405430465
199,1405429938
198,1405056320
197,1405017263
196,1404857501
195,1404781835
194,1404684332
193,1404464351
192,1404304781
191,1403910436
190,1403771704
189,1403733086
188,1403679777
187,1403608931
186,1403607741
185,1403603185
184,1403560308
183,1403534969
182,1403459686
181,1403292438
180,1403170882
179,1402648007
178,1402647967
177,1402646315
176,1402646219
175,1402635159
174,1402487128
173,1402131852
172,1402062173
171,1402040553
170,1401989240
169,1401981152
168,1401855634
167,1401790964
166,1401788299
165,1401786386
164,1401706010
163,1401499325
162,1401254964
161,1401199880
160,1401187222
159,1400846412
158,1400791495
157,1400756122
156,1400699688
155,1400534937
154,1400397434
153,1400339435
152,1400178005
151,1400146983
150,1399969707
149,1399827821
148,1399814812
147,1399589136
146,1399456211
145,1399324478
144,1399195037
143,1399189282
142,1399065095
141,1398981384
140,1398980939
139,1398966297
138,1398749595
137,1398330846
136,1398330292
135,1398247698
134,1398223669
133,1398101329
132,1397813980
131,1397812909
130,1397800482
129,1397793520
128,1397650893
127,1397233432
126,1396952217
125,1396950239
124,1396808052
123,1396570264
122,1396520363
121,1396241357
120,1396113432
119,1396050013
118,1396024449
117,1395899383
116,1395510436
115,1395289315
114,1395197752
113,1395147782
112,1395041077
111,1394796460
110,1394794077
109,1394727752
108,1394604215
107,1394533299
106,1394484714
105,1394262221
104,1394204908
103,1394091626
102,1393944091
101,1393942172
100,1393441284
99,1392370872
98,1392039407
97,1391856074
96,1391759241
95,1391517074
94,1391513074
93,1391266308
92,1391190690
91,1391019766
90,1390943590
89,1390748191
88,1390569054
87,1390558616
86,1390544270
85,1390539342
84,1390501407
83,1390370957
82,1390364512
81,1390359690
80,1390351579
79,1390291024
78,1390250422
77,1390150571
76,1389843947
75,1389635366
74,1389624597
73,1389293990
72,1389244242
71,1389163482
70,1388923878
69,1388674232
68,1388605987
67,1388475473
66,1388414117
65,1388247280
64,1388066655
63,1388056375
62,1387831330
61,1387790627
60,1387749759
59,1387610358
58,1387377562
57,1387306535
56,1387302098
55,1387274945
54,1386825193
53,1386766190
52,1386320145
51,1386111356
50,1386000573
49,1385837226
48,1385657759
47,1385656688
46,1385615938
45,1385530992
44,1385383172
43,1385330074
42,1385226076
41,1385129616
40,1385075065
39,1384941759
38,1384758354
37,1384554679
36,1384543256
35,1384525317
34,1384525029
33,1384454343
32,1384374160
31,1383895367
30,1383643686
29,1383394187
28,1383235994
27,1383210494
26,1382965346
25,1382950559
24,1382706764
23,1382603160
22,1381954215
21,1381697352
20,1381688475
19,1381560283
18,1381212379
17,1380883083
16,1380790073
15,1380783863
14,1380782647
13,1380710576
12,1380622118
11,1379617471
10,1378456749
9,1377885364
8,1377705660
7,1377703077
6,1377702968
5,1377702915
4,1377702690
3,1376992597
2,1376855897
1,1376740072
