total,time
2353,1428498881
2352,1428426508
2351,1428423203
2350,1428057928
2349,1427918739
2348,1427910354
2347,1427707918
2346,1427705742
2345,1427703280
2344,1427701424
2343,1427697177
2342,1427657687
2341,1427657316
2340,1427211620
2339,1426766463
2338,1426764938
2337,1426764762
2336,1426760576
2335,1426760084
2334,1426760014
2333,1425816670
2332,1425634606
2331,1425634552
2330,1425590481
2329,1425212373
2328,1424929164
2327,1424929158
2326,1424929135
2325,1424873641
2324,1424702032
2323,1424698281
2322,1424697083
2321,1424585935
2320,1424448602
2319,1424448393
2318,1424446880
2317,1424418693
2316,1424347247
2315,1424346220
2314,1424331044
2313,1424259034
2312,1424257408
2311,1424188297
2310,1424160367
2309,1423988480
2308,1423816474
2307,1423783811
2306,1423678602
2305,1423646528
2304,1422000156
2303,1421998582
2302,1421851329
2301,1421851323
2300,1421849445
2299,1421846419
2298,1421839914
2297,1421744121
2296,1421564220
2295,1421054080
2294,1421053050
2293,1421053015
2292,1421052994
2291,1420532838
2290,1420466191
2289,1420277529
2288,1420277440
2287,1419777266
2286,1419776089
2285,1418916695
2284,1418908155
2283,1418894024
2282,1418891867
2281,1418715935
2280,1418713694
2279,1418655774
2278,1418655767
2277,1418655687
2276,1418655279
2275,1418638582
2274,1418636932
2273,1418557668
2272,1418555375
2271,1418555253
2270,1418475880
2269,1418475859
2268,1418465857
2267,1418465306
2266,1418395720
2265,1418393856
2264,1418382187
2263,1418381931
2262,1418381767
2261,1418381600
2260,1418379931
2259,1418379585
2258,1418375972
2257,1418375939
2256,1418375576
2255,1418375383
2254,1418375189
2253,1418375183
2252,1418371070
2251,1418369478
2250,1418369269
2249,1418309740
2248,1418283969
2247,1418283168
2246,1418234042
2245,1418135448
2244,1418119072
2243,1418117724
2242,1418117276
2241,1418022440
2240,1417882874
2239,1417882866
2238,1417764120
2237,1417686761
2236,1417684977
2235,1417680728
2234,1417626928
2233,1417625366
2232,1417447170
2231,1417446161
2230,1417122253
2229,1417011938
2228,1417007948
2227,1416907814
2226,1416842852
2225,1416837320
2224,1416835058
2223,1416831223
2222,1416830215
2221,1416829977
2220,1416829603
2219,1416745654
2218,1416691796
2217,1416653633
2216,1416653626
2215,1416585020
2214,1416567899
2213,1416560808
2212,1416560494
2211,1416491424
2210,1416482808
2209,1416328026
2208,1416311003
2207,1416309876
2206,1416309193
2205,1416236791
2204,1416236719
2203,1416233699
2202,1416231845
2201,1416231468
2200,1416230904
2199,1416230672
2198,1416230667
2197,1416230656
2196,1416203051
2195,1415977806
2194,1415735155
2193,1415735155
2192,1415692498
2191,1415611381
2190,1415611100
2189,1415610975
2188,1415610859
2187,1415610641
2186,1415610625
2185,1415610269
2184,1415609399
2183,1415607626
2182,1415607130
2181,1415564703
2180,1415564019
2179,1415368958
2178,1415368931
2177,1415354344
2176,1415354029
2175,1415352418
2174,1415349661
2173,1415349535
2172,1415347253
2171,1415346369
2170,1415114734
2169,1415114390
2168,1415113297
2167,1415110963
2166,1415110185
2165,1415096638
2164,1414837244
2163,1414837130
2162,1414822231
2161,1414821684
2160,1414556530
2159,1414556500
2158,1414555397
2157,1414510788
2156,1414510569
2155,1414510309
2154,1414568552
2153,1414567772
2152,1414567624
2151,1414567613
2150,1414502835
2149,1414401153
2148,1414400466
2147,1414400167
2146,1414400046
2145,1414399993
2144,1414399880
2143,1414399650
2142,1414399461
2141,1414399253
2140,1414398868
2139,1414397952
2138,1414383816
2137,1414346872
2136,1414343596
2135,1414343589
2134,1414342105
2133,1414323273
2132,1414323261
2131,1414322790
2130,1414322744
2129,1414306982
2128,1414142117
2127,1414035371
2126,1414031496
2125,1413984981
2124,1413971883
2123,1413968142
2122,1413967921
2121,1413966950
2120,1413966895
2119,1413966858
2118,1413966314
2117,1413966174
2116,1413955053
2115,1413527453
2114,1413049031
2113,1413048569
2112,1413048252
2111,1413047889
2110,1412902418
2109,1412858330
2108,1412857894
2107,1412823923
2106,1412822372
2105,1412821096
2104,1412818779
2103,1412816633
2102,1412816345
2101,1412744161
2100,1412743803
2099,1412742709
2098,1412738043
2097,1412707109
2096,1412185337
2095,1410970911
2094,1410970465
2093,1410926197
2092,1410795284
2091,1412587084
2090,1412582857
2089,1412582291
2088,1412582235
2087,1412582038
2086,1412311335
2085,1412311183
2084,1412310707
2083,1411719522
2082,1411478494
2081,1411372315
2080,1411137709
2079,1410523578
2078,1410597011
2077,1410596795
2076,1410596750
2075,1410596352
2074,1410595870
2073,1410595855
2072,1410595752
2071,1410585118
2070,1410501951
2069,1410445483
2068,1410445042
2067,1410444969
