total,time
221,1428688245
220,1428422089
219,1428109045
218,1427815263
217,1426298187
216,1426043803
215,1425901481
214,1425866454
213,1424597048
212,1421639868
211,1421307812
210,1418713482
209,1417984929
208,1417306952
207,1417098889
206,1416724739
205,1415998364
204,1415541814
203,1415318787
202,1415143941
201,1414306418
200,1414064604
199,1412569231
198,1411694269
197,1411127506
196,1410932032
195,1410497751
194,1409282927
193,1408261855
192,1407174350
191,1406732949
190,1406585336
189,1405806979
188,1405462505
187,1405038425
186,1404994858
185,1404913129
184,1402658682
183,1402281023
182,1401228504
181,1399434297
180,1399154337
179,1398998997
178,1397357211
177,1396055654
176,1395651569
175,1395173022
174,1394554281
173,1394390050
172,1392150078
171,1391989611
170,1391382063
169,1389709730
168,1389251301
167,1387017757
166,1386859202
165,1386805157
164,1385135349
163,1384859819
162,1384693982
161,1384143488
160,1383719645
159,1383082417
158,1381923970
157,1380231467
156,1380177050
155,1379366960
154,1378513461
153,1378415474
152,1378370772
151,1377785472
150,1377091166
149,1376989334
148,1376330792
147,1375739569
146,1375650287
145,1375639499
144,1375335289
143,1375326581
142,1375275598
141,1375156391
140,1374698020
139,1374531037
138,1374487242
137,1374190687
136,1374131486
135,1373723167
134,1373493225
133,1373437212
132,1373360496
131,1373307404
130,1373207566
129,1373089106
128,1373066136
127,1372820128
126,1372726711
125,1372708221
124,1372701347
123,1372644950
122,1372612131
121,1372611721
120,1372546725
119,1372534862
118,1372511334
117,1372355303
116,1372329663
115,1372251440
114,1372151605
113,1372124645
112,1372121593
111,1372114006
110,1372040671
109,1371929386
108,1371833435
107,1371822595
106,1371713937
105,1371628242
104,1371564208
103,1371475301
102,1371384773
101,1371365866
100,1371328268
99,1371149019
98,1371096743
97,1370999037
96,1370939731
95,1370779495
94,1370774951
93,1370715042
92,1370435612
91,1370411866
90,1370238775
89,1370158797
88,1370046674
87,1370013420
86,1369969270
85,1369923677
84,1369917823
83,1369682824
82,1369645345
81,1369572960
80,1369569741
79,1369541660
78,1369465344
77,1369385297
76,1369343652
75,1369314118
74,1369304034
73,1369303808
72,1369236728
71,1369236017
70,1369234436
69,1369230834
68,1369215379
67,1369190373
66,1369165647
65,1369161108
64,1369135957
63,1369078600
62,1369076617
61,1369073405
60,1369047718
59,1369016432
58,1369012259
57,1368985271
56,1368984196
55,1368979998
54,1368938579
53,1368895130
52,1368866527
51,1368861649
50,1368847835
49,1368821956
48,1368817556
47,1368804764
46,1368804389
45,1368780269
44,1368756690
43,1368756684
42,1368756361
41,1368755169
40,1368754824
39,1368754463
38,1368753370
37,1368752084
36,1368748002
35,1368732682
34,1368726514
33,1368722669
32,1368712580
31,1368712571
30,1368712123
29,1368700231
28,1368699490
27,1368698203
26,1368696070
25,1368694642
24,1368693377
23,1368691299
22,1368683531
21,1368680203
20,1368679434
19,1368674543
18,1368672128
17,1368670997
16,1368669470
15,1368669325
14,1368665716
13,1368658637
12,1368656290
11,1367967628
10,1367701566
9,1367306933
8,1367160052
7,1366734112
6,1366586462
5,1366553111
4,1366477032
3,1366238364
2,1366071650
1,1366058017
