total,time
719,1428423317
718,1427430443
717,1426968775
716,1426946523
715,1426874883
714,1426182208
713,1426181348
712,1425581070
711,1425485543
710,1425318660
709,1425318102
708,1424941707
707,1424904912
706,1424695947
705,1424357857
704,1424304892
703,1423784936
702,1423784023
701,1421998599
700,1421915394
699,1421682185
698,1420951277
697,1420028177
696,1419776094
695,1419533059
694,1418713699
693,1418555265
692,1418465892
691,1418465381
690,1418298154
689,1418231696
688,1418137465
687,1418122619
686,1418017372
685,1417625965
684,1417444088
683,1417395715
682,1417207555
681,1417024451
680,1417004747
679,1416515608
678,1416416908
677,1416391378
676,1416243813
675,1415710696
674,1415694091
673,1415682529
672,1415680192
671,1415651997
670,1415607299
669,1415482202
668,1415329882
667,1415288250
666,1415021081
665,1415013571
664,1415013459
663,1414945784
662,1414848452
661,1414837239
660,1414826684
659,1414659723
658,1414400544
657,1414369065
656,1414339013
655,1414307296
654,1414289868
653,1414103942
652,1414031800
651,1414031553
650,1414026294
649,1413476807
648,1413474933
647,1412905450
646,1412904267
645,1412822529
644,1412743368
643,1412736192
642,1412719242
641,1412705648
640,1412583015
639,1412570622
638,1412321774
637,1412310844
636,1412150301
635,1412150008
634,1412149497
633,1412086340
632,1412005493
631,1411777950
630,1411749623
629,1411703089
628,1411330522
627,1411091647
626,1411087303
625,1410907417
624,1410870749
623,1410579563
622,1410523583
621,1410446439
620,1410445326
619,1410443867
618,1410443597
617,1410441703
616,1409254352
615,1409135886
614,1408665447
613,1408439300
612,1408178793
611,1408177974
610,1408141354
609,1407865081
608,1407802831
607,1407801122
606,1407776550
605,1407739266
604,1407488494
603,1406915300
602,1405196023
601,1404913641
600,1403645593
599,1403346620
598,1402509529
597,1402071204
596,1402003284
595,1401911908
594,1401782210
593,1401745092
592,1401722357
591,1401458373
590,1400760687
589,1400752397
588,1400463186
587,1399219305
586,1398991719
585,1398855544
584,1397981748
583,1397862722
582,1397123460
581,1397122952
580,1396982557
579,1396594422
578,1396355027
577,1396354782
576,1396354354
575,1396263039
574,1396022601
573,1395484294
572,1395398670
571,1395353124
570,1395175177
569,1395152590
568,1395152486
567,1395152350
566,1394831938
565,1394810420
564,1394797485
563,1394797422
562,1394797233
561,1394715821
560,1394699441
559,1394482866
558,1394453259
557,1394394053
556,1394161727
555,1393753918
554,1393445758
553,1393445523
552,1393445266
551,1393343521
550,1393144092
549,1393069757
548,1392987085
547,1392658556
546,1391947982
545,1391879548
544,1391430139
543,1391292906
542,1390254225
541,1390245953
540,1389380949
539,1389121459
538,1389024468
537,1389021490
536,1387740476
535,1387408414
534,1386889965
533,1386875287
532,1386823506
531,1386753829
530,1386206994
529,1386125958
528,1386122067
527,1385996871
526,1385542357
525,1385130605
524,1384966758
523,1383827606
522,1383045880
521,1382526254
520,1381887138
519,1381857667
518,1381850302
517,1381697625
516,1381599424
515,1381558717
514,1381172691
513,1380825207
512,1380177705
511,1379543771
510,1379370322
509,1378855317
508,1378851949
507,1378228077
506,1378025221
505,1377887862
504,1377847507
503,1377652005
502,1377625165
501,1377449951
500,1377192509
499,1377192321
498,1377152891
497,1377112659
496,1377001567
495,1376933076
494,1376903917
493,1376853004
492,1376665978
491,1376652056
490,1376619258
489,1376556741
488,1376440510
487,1376215799
486,1375972016
485,1375965980
484,1375953388
483,1375949221
482,1375874032
481,1375802500
480,1375802332
479,1375786132
478,1375782879
477,1375741594
476,1375726676
475,1375337255
474,1375308630
473,1375304917
472,1375289193
471,1375282122
470,1375227628
469,1375191692
468,1375180481
467,1375087469
466,1375034563
465,1375018976
464,1374969732
463,1374920437
462,1374852007
461,1374844955
460,1374842890
459,1374673719
458,1374669706
457,1374601768
456,1374570647
455,1374422442
454,1374394354
453,1374326460
452,1374231422
451,1374094494
450,1374082037
449,1374078773
448,1374076704
447,1374057651
446,1374056138
445,1374052695
444,1374000548
443,1373986104
442,1373984563
441,1373981707
440,1373980172
439,1373937269
438,1373924123
437,1373915137
436,1373905400
435,1373823834
434,1373821605
433,1373818297
432,1373815514
431,1373812287
430,1373790168
429,1373778927
428,1373746561
427,1373738559
426,1373738440
425,1373738319
424,1373732968
423,1373724569
422,1373668690
421,1373616565
420,1373616150
419,1373535839
418,1373523888
417,1373522697
416,1373483176
415,1373462593
414,1373441412
413,1373439039
412,1373408456
411,1373407567
410,1373406924
409,1373397810
408,1373386574
407,1373370605
406,1373368838
405,1373352904
404,1373333367
403,1373296061
402,1373275708
401,1373230958
400,1373212200
399,1373208495
398,1373195157
397,1373143641
396,1373102875
395,1373090589
394,1373039138
393,1372982036
392,1372944977
391,1372932728
390,1372897573
389,1372867837
388,1372822410
387,1372807657
386,1372802904
385,1372797096
384,1372780731
383,1372775837
382,1372769630
381,1372757786
380,1372715327
379,1372714836
378,1372710732
377,1372705033
376,1372694053
375,1372666592
374,1372666143
373,1372649831
372,1372642262
371,1372627277
370,1372612738
369,1372602391
368,1372598452
367,1372573460
366,1372571414
365,1372571093
364,1372548688
363,1372541259
362,1372533235
361,1372522117
360,1372484923
359,1372447859
358,1372433314
357,1372426084
356,1372421155
355,1372364124
354,1372363599
353,1372346167
352,1372345804
351,1372344602
350,1372341168
349,1372339707
348,1372331004
347,1372329813
346,1372278272
345,1372271926
344,1372252042
343,1372250822
342,1372249013
341,1372243825
340,1372199477
339,1372192564
338,1372167123
337,1372151518
336,1372132767
335,1372091791
334,1372080064
333,1372075233
332,1372073719
331,1372069636
330,1372020093
329,1372016031
328,1372009763
327,1371993757
326,1371980995
325,1371911490
324,1371900323
323,1371900187
322,1371893767
321,1371873424
320,1371845501
319,1371834172
318,1371822799
317,1371822797
316,1371812433
315,1371781341
314,1371772444
313,1371674536
312,1371652000
311,1371629067
310,1371595520
309,1371581830
308,1371538591
307,1371513245
306,1371511730
305,1371496601
304,1371475416
303,1371474066
302,1371446792
301,1371405305
300,1371361646
299,1371328941
298,1371284048
297,1371234549
296,1371198541
295,1371120353
294,1371118080
293,1371098663
292,1371082304
291,1371077118
290,1371051963
289,1371032780
288,1371022412
287,1371017980
286,1370999836
285,1370981493
284,1370959444
283,1370948885
282,1370943184
281,1370940713
280,1370940174
279,1370896377
278,1370809294
277,1370795585
276,1370793966
275,1370760395
274,1370727315
273,1370703208
272,1370702739
271,1370699927
270,1370680229
269,1370643638
268,1370634211
267,1370622273
266,1370610112
265,1370551689
264,1370544849
263,1370457940
262,1370451122
261,1370449229
260,1370433663
259,1370428024
258,1370378696
257,1370372774
256,1370372004
255,1370371290
254,1370370505
253,1370363276
252,1370323031
251,1370322268
250,1370275818
249,1370260593
248,1370260495
247,1370245891
246,1370229421
245,1370216599
244,1370209231
243,1370207349
242,1370187075
241,1370186964
240,1370186917
239,1370173489
238,1370172156
237,1370171692
236,1370164012
235,1370160103
234,1370151693
233,1370121898
232,1370114379
231,1370106623
230,1370084150
229,1370079126
228,1370032254
227,1370028340
226,1370028125
225,1370027309
224,1370022507
223,1370014289
222,1370013081
221,1369986568
220,1369944839
219,1369854530
218,1369853963
217,1369852320
216,1369850814
215,1369849760
214,1369835509
213,1369828596
212,1369826280
211,1369822491
210,1369809701
209,1369778033
208,1369777977
207,1369770911
206,1369757899
205,1369753912
204,1369749650
203,1369735958
202,1369732714
201,1369721635
200,1369709621
199,1369702597
198,1369683991
197,1369664369
196,1369647189
195,1369620392
194,1369615534
193,1369606854
192,1369602450
191,1369602353
190,1369601309
189,1369591486
188,1369580173
187,1369579589
186,1369557755
185,1369543721
184,1369542478
183,1369531650
182,1369529551
181,1369528607
180,1369517427
179,1369516962
178,1369510709
177,1369489591
176,1369485950
175,1369484078
174,1369466541
173,1369452489
172,1369420030
171,1369389836
170,1369386138
169,1369365183
168,1369344197
167,1369336914
166,1369334508
165,1369316254
164,1369315955
163,1369313877
162,1369309099
161,1369297263
160,1369287150
159,1369285829
158,1369215508
157,1369215471
156,1369213981
155,1369212390
154,1369166247
153,1369164795
152,1369163209
151,1369145250
150,1369141108
149,1369136754
148,1369130896
147,1369130511
146,1369082538
145,1369079410
144,1369079184
143,1369067101
142,1369058909
141,1369056557
140,1369052619
139,1369026277
138,1368992692
137,1368986412
136,1368985681
135,1368980841
134,1368980536
133,1368979678
132,1368978422
131,1368959022
130,1368958502
129,1368953171
128,1368918132
127,1368913528
126,1368897468
125,1368874784
124,1368863155
123,1368861670
122,1368857652
121,1368849715
120,1368837602
119,1368811601
118,1368807948
117,1368781561
116,1368774312
115,1368773728
114,1368771039
113,1368769322
112,1368762146
111,1368756128
110,1368752909
109,1368732404
108,1368731640
107,1368730461
106,1368728716
105,1368728201
104,1368725736
103,1368725342
102,1368723059
101,1368721805
100,1368715826
99,1368714420
98,1368711716
97,1368711567
96,1368711126
95,1368702500
94,1368701730
93,1368698493
92,1368692636
91,1368682480
90,1368681892
89,1368671895
88,1368670782
87,1368669864
86,1368669597
85,1368669541
84,1368669540
83,1368662200
82,1368653254
81,1368598483
80,1368597154
79,1368593709
78,1368587990
77,1368587925
76,1368151232
75,1368075968
74,1368038588
73,1367992649
72,1367989132
71,1367989000
70,1367800434
69,1367770800
68,1367736991
67,1367645072
66,1367645034
65,1367078967
64,1367044271
63,1366846654
62,1366779966
61,1366704131
60,1366686940
59,1366682903
58,1366655918
57,1366655433
56,1366613519
55,1366606429
54,1366605658
53,1366563836
52,1366551987
51,1366547441
50,1366478484
49,1366476157
48,1366470230
47,1366465661
46,1366464019
45,1366459225
44,1366455723
43,1366378404
42,1366335092
41,1366335046
40,1366196715
39,1366117192
38,1365972942
37,1365959391
36,1365959358
35,1365923069
34,1365875898
33,1365761050
32,1365748983
31,1365625466
30,1365577213
29,1365503389
28,1365501778
27,1365501227
26,1365495309
25,1365444605
24,1365444509
23,1365444301
22,1365432920
21,1365432217
20,1365425080
19,1365347574
18,1365226484
17,1365173963
16,1365173656
15,1365173344
14,1365141284
13,1365060256
12,1365018919
11,1365016559
10,1364813330
9,1364482358
8,1364457577
7,1364414881
6,1364400797
5,1364395229
4,1364395129
3,1364373876
2,1364328816
1,1363993983
