total,time
644,1425624618
643,1425192449
642,1425420764
641,1425416744
640,1425191007
639,1425189954
638,1424745633
637,1424741554
636,1422665527
635,1422155346
634,1419070402
633,1419062737
632,1419061325
631,1416436832
630,1416435350
629,1409039397
628,1408692310
627,1409038449
626,1409037787
625,1406915097
624,1406912408
623,1406910395
622,1405987289
621,1405987280
620,1405986956
619,1405984745
618,1404184967
617,1404144805
616,1403564848
615,1403564223
614,1394332486
613,1394324881
612,1392970033
611,1392614474
610,1392614472
609,1392614071
608,1392613328
607,1392414574
606,1392413205
605,1392185289
604,1392184053
603,1390599747
602,1390598647
601,1390040983
600,1389851617
599,1389833663
598,1389833914
597,1389422022
596,1389410722
595,1389394326
594,1389382804
593,1389330182
592,1386979229
591,1386979227
590,1386978478
589,1386976881
588,1385412972
587,1386186959
586,1386104589
585,1386140702
584,1386141679
583,1386033017
582,1385413327
581,1385412874
580,1385409479
579,1385404696
578,1385404584
577,1385402935
576,1385071365
575,1385341229
574,1384903810
573,1384372783
572,1384897060
571,1384892385
570,1384890519
569,1384887467
568,1384886675
567,1384553532
566,1384548009
565,1384395505
564,1384125948
563,1384324824
562,1384321397
561,1384321788
560,1381961360
559,1384316988
558,1384257281
557,1384256658
556,1384236666
555,1384236485
554,1384235885
553,1381961267
552,1381961294
551,1383950408
550,1384232754
549,1384198987
548,1384196458
547,1384194637
546,1381867714
545,1384192438
544,1384154108
543,1381883996
542,1381867687
541,1383961326
540,1381867652
539,1383837657
538,1383834627
537,1383777014
536,1383774283
535,1381895434
534,1381714459
533,1381893909
532,1381891752
531,1380372136
530,1379688170
529,1379015587
528,1379014498
527,1378947037
526,1378938085
525,1378938038
524,1378933162
523,1378915165
522,1378910664
521,1378905380
520,1378850655
519,1376344251
518,1376343741
517,1376340201
516,1376334963
515,1376271982
514,1376271207
513,1375745750
512,1375745747
511,1375730860
510,1375730676
509,1375722724
508,1375395679
507,1374657154
506,1375285276
505,1375227866
504,1374877575
503,1374874773
502,1374856392
501,1374857337
500,1374867072
499,1374865452
498,1374804747
497,1374804677
496,1374804552
495,1374855320
494,1374681833
493,1374680796
492,1374666913
491,1374621704
490,1374621390
489,1374620868
488,1373750600
487,1374533535
486,1374510338
485,1372871681
484,1373486418
483,1373439146
482,1373438244
481,1373421994
480,1372570369
479,1372560214
478,1372437667
477,1372437337
476,1372437221
475,1371567367
474,1371527991
473,1371496667
472,1371482469
471,1371258954
470,1371217655
469,1371169462
468,1371169339
467,1371161581
466,1371161529
465,1371099523
464,1371066950
463,1371062434
462,1371002995
461,1370551936
460,1370548519
459,1370548351
458,1370563479
457,1370459152
456,1370558560
455,1370558534
454,1370416019
453,1370363658
452,1370304286
451,1370304280
450,1370303884
449,1370303874
448,1370303595
447,1369944838
446,1369782290
445,1369781450
444,1369442881
443,1369348755
442,1369333951
441,1369157183
440,1369156015
439,1368364749
438,1368333764
437,1368330595
436,1368327505
435,1368225062
434,1368217507
433,1368038358
432,1368038174
431,1367956502
430,1367956159
429,1367956104
428,1367955642
427,1367954990
426,1367952855
425,1367947562
424,1367943264
423,1367941639
422,1367940895
421,1367940549
420,1367940542
419,1367940207
418,1367940195
417,1367940008
416,1367939991
415,1367616603
414,1367939650
413,1367939601
412,1367939544
411,1367939408
410,1367897306
409,1367894113
408,1367892252
407,1367889690
406,1367879322
405,1367814137
404,1367812378
403,1367807727
402,1367807124
401,1367796199
400,1367796058
399,1367657517
398,1367657497
397,1367628462
396,1367603575
395,1367613800
394,1367024726
393,1367599372
392,1367591235
391,1367558386
390,1367532564
389,1367532556
388,1367531280
387,1367520106
386,1367422609
385,1367416002
384,1367385232
383,1367357270
382,1367385604
381,1367378480
380,1367380711
379,1367373225
378,1367274195
377,1367272912
376,1367007236
375,1366215817
374,1366745680
373,1366697576
372,1366121310
371,1366120341
370,1365728408
369,1365716405
368,1364513993
367,1364513194
366,1364499199
365,1364499115
364,1364412125
363,1364401631
362,1364398059
361,1364398013
360,1364366250
359,1364395821
358,1364359676
357,1364361682
356,1364360408
355,1364358947
354,1364334089
353,1364254189
352,1364253759
351,1364178588
350,1364173961
349,1364168578
348,1364168385
347,1364168010
346,1364087142
345,1364032627
344,1363812331
343,1363717155
342,1363717064
341,1363715172
340,1363017737
339,1363015587
338,1362203363
337,1362157659
336,1361996514
335,1361994584
334,1361993200
333,1361992787
332,1361992387
331,1361985738
330,1361923759
329,1361921787
328,1361919882
327,1361911592
326,1361907479
325,1361897896
324,1361897821
323,1361827510
322,1361810721
321,1361766057
320,1361729476
319,1361679398
318,1361557290
317,1361552603
316,1361493948
315,1361385991
314,1361374064
313,1358301056
312,1361372447
311,1361214866
310,1361209251
309,1361042781
308,1361038749
307,1361031543
306,1361025789
305,1361024600
304,1360992514
303,1360635826
302,1360606235
301,1360394510
300,1360390634
299,1359996637
298,1359931214
297,1359811413
296,1359811007
295,1359805595
294,1359803534
293,1359771032
292,1359770931
291,1359769356
290,1359769485
289,1359740366
288,1359734050
287,1358469379
286,1358468964
285,1358467682
284,1358464276
283,1358463528
282,1358461496
281,1358459295
280,1358376826
279,1358231829
278,1358360862
277,1358356571
276,1358266037
275,1357225599
274,1358203988
273,1358183803
272,1357694282
271,1357693752
270,1357693039
269,1357622318
268,1357621430
267,1357601422
266,1357594526
265,1357588614
264,1357574829
263,1357577845
262,1357576580
261,1354661353
260,1354661283
259,1354138714
258,1354138489
257,1354041367
256,1353873220
255,1353275542
254,1353128507
253,1353245762
252,1353221906
251,1352738310
250,1352738306
249,1352737142
248,1352727628
247,1352720253
246,1352708274
245,1352694741
244,1352692283
243,1352672796
242,1352669941
241,1352494024
240,1352492884
239,1352492297
238,1352488554
237,1352480718
236,1352466533
235,1352364060
234,1352364050
233,1352363949
232,1352363188
231,1352362035
230,1352360098
229,1352359692
228,1352343924
227,1352353626
226,1352353234
225,1352342572
224,1352341949
223,1352341525
222,1352340485
221,1352339161
220,1352339045
219,1352333926
218,1352333127
217,1352325079
216,1352325017
215,1352324828
214,1352322060
213,1352322006
212,1352321453
211,1352316643
210,1352259540
209,1352259265
208,1352258874
207,1352257639
206,1352255520
205,1352255067
204,1352253192
203,1352252885
202,1352249103
201,1352246232
200,1352242397
199,1352242197
198,1352143363
197,1352138982
196,1351699228
195,1351660763
194,1351529416
193,1351522866
192,1351472157
191,1351108190
190,1351030678
189,1351030647
188,1351029810
187,1351025229
186,1351019525
185,1350934467
184,1350931611
