total,time
518,1428776055
517,1428690711
516,1428646454
515,1428620747
514,1428554663
513,1428487532
512,1428487269
511,1428482995
510,1428390438
509,1428022121
508,1427934349
507,1427915243
506,1427879822
505,1427786414
504,1427706174
503,1427654812
502,1427527042
501,1427432929
500,1427429458
499,1427363568
498,1427353769
497,1427301991
496,1427250620
495,1427233416
494,1427203142
493,1427132617
492,1427109422
491,1427102008
490,1426832996
489,1426749046
488,1426587419
487,1426584111
486,1426576641
485,1426573276
484,1426549595
483,1426517696
482,1426460760
481,1426444634
480,1426349198
479,1426287723
478,1426250786
477,1426249112
476,1426225640
475,1426166931
474,1425893159
473,1425731058
472,1425704195
471,1425613579
470,1425528413
469,1425448609
468,1425412950
467,1425260799
466,1425189847
465,1425151040
464,1425145304
463,1425143871
462,1425047890
461,1424947750
460,1424905704
459,1424847367
458,1424741175
457,1424634814
456,1424622406
455,1424550176
454,1424445161
453,1424191037
452,1424177007
451,1424070994
450,1423828009
449,1423808526
448,1423792384
447,1423728374
446,1423691886
445,1423678850
444,1423642177
443,1423612951
442,1423531476
441,1423467036
440,1423331261
439,1423243654
438,1423213489
437,1423206968
436,1423202989
435,1423133032
434,1422839088
433,1422826654
432,1422592888
431,1422454767
430,1422428050
429,1422360827
428,1422351861
427,1422351440
426,1422307591
425,1422077256
424,1421953605
423,1421942370
422,1421908040
421,1421905903
420,1421823641
419,1421484013
418,1421434170
417,1421223388
416,1421222886
415,1421207823
414,1421187235
413,1421175319
412,1421159545
411,1421120569
410,1421087768
409,1421065810
408,1421011007
407,1420686680
406,1420537704
405,1420273905
404,1420252852
403,1420097739
402,1420000024
401,1419890310
400,1419695265
399,1419429079
398,1419064583
397,1418950687
396,1418660579
395,1418397742
394,1418310590
393,1418144684
392,1418139066
391,1418138409
390,1417896597
389,1417635824
388,1417625808
387,1417374921
386,1417152316
385,1417101402
384,1416940576
383,1416842020
382,1416827704
381,1416708820
380,1416665025
379,1416343662
378,1416225338
377,1416197479
376,1416159683
375,1416137881
374,1415977620
373,1415925029
372,1415904376
371,1415893616
370,1415880668
369,1415852617
368,1415826683
367,1415766331
366,1415721680
365,1415719832
364,1415701473
363,1415646655
362,1415625460
361,1415237821
360,1415208337
359,1415140794
358,1415102715
357,1414982259
356,1414940136
355,1414780826
354,1414707942
353,1414681049
352,1414676825
351,1414648140
350,1414628829
349,1414571990
348,1414571031
347,1414532192
346,1414147266
345,1414141349
344,1414081827
343,1414050507
342,1414029339
341,1413974291
340,1413919687
339,1413371985
338,1413369206
337,1413269396
336,1413214294
335,1412892846
334,1412836019
333,1412730497
332,1412349368
331,1412032404
330,1411977716
329,1411895251
328,1411811835
327,1411701717
326,1411690735
325,1411579147
324,1411534750
323,1411487953
322,1411463600
321,1411398135
320,1411144993
319,1411020613
318,1411009488
317,1411007341
316,1410837541
315,1410771113
314,1410648255
313,1410647650
312,1410623992
311,1410609321
310,1410439578
309,1410418986
308,1410416735
307,1410208622
306,1409886340
305,1409811460
304,1409729521
303,1409618532
302,1409571441
301,1409325554
300,1409302555
299,1409284139
298,1409179329
297,1409158551
296,1409134489
295,1409055772
294,1409036974
293,1408890907
292,1408720937
291,1408540560
290,1408480000
289,1408478774
288,1408464726
287,1407936841
286,1407560780
285,1407485227
284,1407231139
283,1407203133
282,1407122839
281,1407002860
280,1406926733
279,1406882016
278,1406711692
277,1406700742
276,1406657899
275,1406640074
274,1406625612
273,1406597730
272,1406539111
271,1406535158
270,1406446140
269,1406256496
268,1406182194
267,1406093754
266,1405957880
265,1405952854
264,1405924862
263,1405895115
262,1405773807
261,1405609324
260,1405577636
259,1405537033
258,1405362787
257,1405265978
256,1405063683
255,1405018096
254,1404901719
253,1404894535
252,1404791540
251,1404751589
250,1404740843
249,1404738519
248,1404702539
247,1404608356
246,1404367919
245,1404304152
244,1404052180
243,1403865371
242,1403783359
241,1403751529
240,1403607544
239,1403305975
238,1403051915
237,1402999652
236,1402864378
235,1402807969
234,1401962929
233,1401373757
232,1401372445
231,1401174207
230,1400695659
229,1400653106
228,1400603708
227,1400207877
226,1400206281
225,1399913061
224,1399539367
223,1399355519
222,1399166941
221,1399054782
220,1398918025
219,1398844249
218,1398611245
217,1398482403
216,1398175526
215,1398084801
214,1397856799
213,1397584848
212,1397530325
211,1397389779
210,1397340403
209,1397282060
208,1396900239
207,1396892537
206,1396517450
205,1396453301
204,1396411486
203,1396006626
202,1395650445
201,1395584682
200,1395379956
199,1395134698
198,1395080900
197,1394951146
196,1394356335
195,1394320642
194,1393987978
193,1393928258
192,1393917981
191,1393722701
190,1393529950
189,1393468806
188,1392796444
187,1392792246
186,1392624538
185,1392236385
184,1392204384
183,1392196375
182,1392183420
181,1392182847
180,1392117647
179,1392107913
178,1392096488
177,1392090203
176,1391734695
175,1391101630
174,1390922845
173,1390497603
172,1390352444
171,1390322980
170,1390322913
169,1390219420
168,1389948847
167,1389931348
166,1389919336
165,1389859179
164,1389830556
163,1389691145
162,1389423647
161,1388925939
160,1388702987
159,1388586336
158,1388399872
157,1388335907
156,1387945278
155,1387550004
154,1387282105
153,1386813811
152,1386730757
151,1386685341
150,1386043809
149,1385861687
148,1385641190
147,1385588732
146,1385534603
145,1385469010
144,1385397923
143,1385253957
142,1385104448
141,1384780603
140,1384762107
139,1384574723
138,1384526883
137,1384432986
136,1383926807
135,1383908663
134,1383844742
133,1383641570
132,1383378354
131,1383335521
130,1383212853
129,1383035495
128,1382799725
127,1382602312
126,1381570573
125,1381371321
124,1381092986
123,1380731387
122,1380700064
121,1380471639
120,1380287365
119,1379687558
118,1379469968
117,1379395787
116,1379297554
115,1379098790
114,1379006479
113,1378989238
112,1378521500
111,1378398924
110,1378277408
109,1378201893
108,1377786515
107,1377780184
106,1377743148
105,1377164716
104,1377127684
103,1377068398
102,1376987987
101,1376359631
100,1375891242
99,1375722638
98,1375249246
97,1375105432
96,1374831683
95,1374563164
94,1374382751
93,1374226210
92,1374136036
91,1374080705
90,1374038436
89,1373708277
88,1373464752
87,1373347847
86,1373068738
85,1372835132
84,1372643205
83,1371808714
82,1371624097
81,1371563807
80,1371478267
79,1371092454
78,1370323684
77,1369853929
76,1369811460
75,1369402945
74,1369278204
73,1369250186
72,1369215054
71,1369178443
70,1369148257
69,1369147626
68,1369122845
67,1369035247
66,1368843009
65,1368634811
64,1368261361
63,1368150256
62,1368016582
61,1367970850
60,1367940723
59,1367778310
58,1367617642
57,1366475312
56,1365343178
55,1365134223
54,1364901678
53,1364754560
52,1364740656
51,1364490934
50,1364477777
49,1364050516
48,1363469602
47,1363304727
46,1363074080
45,1363032060
44,1362612876
43,1362607549
42,1362138544
41,1361858366
40,1361798742
39,1361561329
38,1361444628
37,1361230228
36,1360714947
35,1360434033
34,1360382354
33,1360351470
32,1360070410
31,1359781309
30,1359760454
29,1359563909
28,1359227610
27,1359080110
26,1358931465
25,1358895713
24,1358229826
23,1357915153
22,1356622705
21,1356107101
20,1355474617
19,1355305682
18,1354780261
17,1354125167
16,1353522999
