total,time
468,1426834621
467,1426528058
466,1425658939
465,1425416844
464,1425192493
463,1425190588
462,1424741978
461,1423646473
460,1423543916
459,1422759337
458,1422164954
457,1421631880
456,1421101437
455,1419916516
454,1419504954
453,1419062273
452,1418917393
451,1416613623
450,1416435807
449,1415588597
448,1415485038
447,1414765501
446,1413438900
445,1412803680
444,1412699467
443,1412631093
442,1412350172
441,1411544535
440,1411120406
439,1410932990
438,1410574192
437,1410458398
436,1409038445
435,1408988966
434,1408739508
433,1408692329
432,1408475306
431,1408133868
430,1407758147
429,1407411687
428,1406910571
427,1406670700
426,1406066770
425,1405986039
424,1405982981
423,1404397588
422,1404144917
421,1404130077
420,1404120212
419,1403704507
418,1403564257
417,1403532301
416,1403520271
415,1402700480
414,1402030437
413,1401900799
412,1401231789
411,1400606138
410,1399762253
409,1399577056
408,1399058057
407,1398893888
406,1398761411
405,1397955247
404,1397738013
403,1397597918
402,1397209583
401,1396807102
400,1396603394
399,1396427801
398,1395685917
397,1395180612
396,1395092900
395,1394760717
394,1394586477
393,1394324961
392,1393970348
391,1393578716
390,1393530903
389,1392413459
388,1392403981
387,1392395766
386,1392184154
385,1392061557
384,1391524272
383,1390598715
382,1390597371
381,1390401743
380,1390366714
379,1390301976
378,1390102430
377,1389967352
376,1389833948
375,1389833938
374,1389410767
373,1389381577
372,1389103431
371,1388510869
370,1388385704
369,1387326989
368,1387232957
367,1386759829
366,1386712219
365,1386179768
364,1386073544
363,1385813250
362,1385589535
361,1385412998
360,1385412893
359,1385400916
358,1385341298
357,1384975915
356,1384973002
355,1384972911
354,1384962999
353,1384900197
352,1384886795
351,1384548116
350,1384529214
349,1384383964
348,1384321525
347,1384317625
346,1384236154
345,1384235192
344,1384235061
343,1384235023
342,1384199364
341,1384199331
340,1384126145
339,1384065711
338,1384031505
337,1384028769
336,1383962371
335,1383962227
334,1383960789
333,1383947529
332,1383777066
331,1383615767
330,1383486554
329,1383346659
328,1382986501
327,1381891794
326,1381718797
325,1381711765
324,1381694218
323,1381181450
322,1380656381
321,1380562048
