total,time
922,1425993544
921,1423558479
920,1423558433
919,1423558286
918,1419412273
917,1419411949
916,1419408943
915,1419408884
914,1419408614
913,1418179360
912,1418105198
911,1418103500
910,1416983413
909,1416260406
908,1414722306
907,1414722253
906,1414460057
905,1414407454
904,1414407043
903,1414403910
902,1413856327
901,1413854699
900,1413523842
899,1412973222
898,1412973132
897,1412973021
896,1412783342
895,1413369383
894,1413369217
893,1413359775
892,1413162653
891,1413162631
890,1413019518
889,1413005029
888,1413004955
887,1411279942
886,1411279221
885,1411277543
884,1411270293
883,1411270270
882,1411269948
881,1411269288
880,1411264218
879,1411213659
878,1411212863
877,1411205087
876,1411203639
875,1411202434
874,1411191674
873,1411113878
872,1411110973
871,1411109856
870,1411031304
869,1411031277
868,1411029666
867,1411029646
866,1411019199
865,1411010516
864,1410954921
863,1410920176
862,1410880846
861,1410879356
860,1410858884
859,1410835471
858,1410430921
857,1410430880
856,1410427968
855,1410401046
854,1410313285
853,1410313236
852,1410313100
851,1410256208
850,1410248851
849,1410245895
848,1410237337
847,1410235771
846,1410235745
845,1410234072
844,1410231832
843,1410231679
842,1410231629
841,1410231429
840,1410231272
839,1410222055
838,1410217328
837,1410013428
836,1410013042
835,1410002156
834,1410001383
833,1410000131
832,1409996889
831,1409992230
830,1409991748
829,1409915359
828,1409915305
827,1409914835
826,1409914136
825,1409899683
824,1409898227
823,1409896345
822,1409895445
821,1409893933
820,1409880301
819,1409877437
818,1409797355
817,1409796287
816,1409794196
815,1409789169
814,1409737484
813,1409735378
812,1409734859
811,1409732415
810,1409732287
809,1409731781
808,1409714986
807,1409707705
806,1409706125
805,1409673522
804,1409672094
803,1409648927
802,1409640886
801,1409637957
800,1409633188
799,1409621258
798,1409582972
797,1409581560
796,1409563369
795,1409562768
794,1409556771
793,1409554960
792,1409549776
791,1409542989
790,1409304712
789,1409303417
788,1409302408
787,1409286141
786,1409281312
785,1409281283
784,1409217565
783,1409217409
782,1409214331
781,1409214210
780,1409214119
779,1409132033
778,1409129616
777,1409099448
776,1409097298
775,1409063053
774,1409017900
773,1409017882
772,1409017437
771,1409013302
770,1408975920
769,1408970422
768,1408958479
767,1408939459
766,1408926281
765,1408925862
764,1408682843
763,1408673919
762,1408602759
761,1408591007
760,1408584072
759,1408508450
758,1408508336
757,1408507328
756,1408507209
755,1408507188
754,1408005055
753,1407987734
752,1407919912
751,1407918921
750,1407835068
749,1407830871
748,1407817430
747,1407817354
746,1406189663
745,1406167362
744,1406165497
743,1406165477
742,1404961510
741,1404961096
740,1404182792
739,1403255649
738,1402545948
737,1402291177
736,1402281332
735,1401786707
734,1401786697
733,1401783085
732,1401781864
731,1401769914
730,1401755277
729,1401700351
728,1401700273
727,1401700273
726,1400830074
725,1400830053
724,1399510398
723,1397728158
722,1397695725
721,1397628878
720,1397624079
719,1397617577
718,1397610621
717,1397456210
716,1397456197
715,1397444811
714,1395892082
713,1395892072
712,1395886039
711,1395885490
710,1395885398
709,1395885383
708,1395885348
707,1395885281
706,1395883339
705,1395825703
704,1395795848
703,1395794527
702,1395794177
701,1395791601
700,1395791584
699,1395785118
698,1395780974
697,1395736789
696,1395733713
695,1395720193
694,1395668693
693,1395651578
692,1395650900
691,1395650226
690,1395399134
689,1395397193
688,1395396442
687,1395395942
686,1395394279
685,1395394268
684,1395391181
683,1395386245
682,1395385474
681,1395379213
680,1395378983
679,1395371275
678,1395369879
677,1395369728
676,1395361341
675,1395323360
674,1395323278
673,1395305979
672,1395304046
671,1395303977
670,1395301518
669,1395301491
668,1395296115
667,1395293142
666,1395292821
665,1395287122
664,1395286920
663,1395284634
662,1395284580
661,1395278647
660,1395239982
659,1395206247
658,1395205705
657,1395203045
656,1395199658
655,1395198903
654,1395195873
653,1395195006
652,1395194208
651,1395134038
650,1395129737
649,1395129148
648,1395127673
647,1395111781
646,1395110650
645,1395046551
644,1395019758
643,1395017991
642,1395015604
641,1394894367
640,1394894168
639,1394782243
638,1394780638
637,1394777525
636,1394776407
635,1394775387
634,1394775008
633,1394774979
632,1394772100
631,1394758931
630,1394714272
629,1394713047
628,1394688727
627,1394688513
626,1394684847
625,1394677484
624,1394613390
623,1394603776
622,1394603760
621,1394602454
620,1394602343
619,1394602293
618,1394602218
617,1394602091
616,1394601452
615,1394601335
614,1394600704
613,1394599967
612,1394599906
611,1394599888
610,1394547862
609,1394533681
608,1394532362
607,1394529873
606,1394501612
605,1394501103
604,1394444089
603,1394442139
602,1394434564
601,1394433182
600,1394432765
599,1394431938
598,1394431230
597,1394424250
596,1394418344
595,1394417486
594,1394416855
593,1394414197
592,1394411920
591,1394410323
590,1394350465
589,1394248201
588,1394247469
587,1394247073
