total,time
100,1427642737
99,1427385921
98,1426878904
97,1426666349
96,1423558285
95,1422336573
94,1421162322
93,1419325463
92,1418208989
91,1415734533
90,1415143855
89,1414119825
88,1414027398
87,1413643976
86,1413473341
85,1412555614
84,1410954841
83,1410217253
82,1409624620
81,1409585346
80,1408360457
79,1406108445
78,1406034565
77,1405698335
76,1405542214
75,1405469833
74,1404408122
73,1403585567
72,1403086432
71,1402423478
70,1400636101
69,1400335227
68,1399430713
67,1399276360
66,1398844782
65,1395748381
64,1395567344
63,1395065786
62,1393855001
61,1393298371
60,1393119175
59,1392916884
58,1392839844
57,1391617990
56,1389874684
55,1389615425
54,1389349613
53,1389282833
52,1389087446
51,1388496228
50,1387952429
49,1386934833
48,1386767559
47,1386606763
46,1386257857
45,1385508933
44,1385471910
43,1384455304
42,1383633988
41,1382692681
40,1382629783
39,1382427332
38,1381776317
37,1381647221
36,1380830688
35,1380562219
34,1377313485
33,1375408694
32,1375401128
31,1373880556
30,1372689624
29,1372384103
28,1371885867
27,1370443282
26,1369575871
25,1368406973
24,1368334876
23,1367358981
22,1365046218
21,1362500246
20,1360847492
19,1360712130
18,1359601546
17,1359464610
16,1358544127
15,1356260703
14,1355553002
13,1353357966
12,1352811966
11,1352604554
10,1351516101
9,1351161030
8,1350393812
7,1347488609
6,1345717769
5,1343312044
4,1343222717
3,1343206542
2,1343129194
1,1342725880
