total,time
231,1429087524
230,1426666716
229,1426608298
228,1425618559
227,1425553042
226,1423753123
225,1423558286
224,1423198587
223,1422873752
222,1421099403
221,1420645249
220,1419384907
219,1418130923
218,1418103644
217,1418054473
216,1417261640
215,1416262002
214,1415421094
213,1415227666
212,1415157549
211,1415144311
210,1415017749
209,1414722256
208,1414716389
207,1414595956
206,1414445685
205,1414403939
204,1414403484
203,1414183034
202,1414045937
201,1413474000
200,1413360368
199,1413213688
198,1413165717
197,1413001554
196,1412156810
195,1411735528
194,1411028042
193,1410978694
192,1410962732
191,1410954947
190,1410948897
189,1410775336
188,1410231432
187,1410231274
186,1410217345
185,1410208590
184,1409911260
183,1409794185
182,1409725099
181,1409725042
180,1409724431
179,1409671986
178,1409671962
177,1409640223
176,1409299367
175,1408955017
174,1408720921
173,1407500236
172,1406013739
171,1405331669
170,1405331420
169,1405069267
168,1404961188
167,1404182795
166,1404100991
165,1404070173
164,1403791970
163,1403740885
162,1403249722
161,1403082614
160,1401781870
159,1401436069
158,1401424395
157,1401420955
156,1401356133
155,1398650905
154,1398648017
153,1398546113
152,1397492715
151,1397024800
150,1396528314
149,1396448020
148,1395871888
147,1395869022
146,1395868300
145,1395826446
144,1395783869
143,1395783173
142,1395781209
141,1395730568
140,1395729033
139,1395728217
138,1395727913
137,1395595487
136,1395489235
135,1395460716
134,1395417992
133,1395394581
132,1395374623
131,1395371249
130,1395369690
129,1395361311
128,1395322741
127,1395233556
126,1395127097
125,1395025448
124,1394883256
123,1394877903
122,1394793380
121,1394709807
120,1394706289
119,1394522047
118,1394424932
117,1394424903
116,1394178422
115,1394177049
114,1393855349
113,1393855044
112,1393854932
111,1393849997
110,1392978949
109,1392889986
108,1392619266
107,1392331681
106,1389596023
105,1389276279
104,1388664446
103,1387763214
102,1385842800
101,1385515824
100,1384033914
99,1383892812
98,1382341465
97,1380136941
96,1379179291
95,1378649411
94,1377633078
93,1377141084
92,1375408079
91,1375089592
90,1373881300
89,1373446942
88,1373293497
87,1373273704
86,1372812831
85,1372805409
84,1372312468
83,1372267709
82,1369652191
81,1367428235
80,1367062472
79,1364309878
78,1363799098
77,1363438986
76,1363003939
75,1361897239
74,1361454939
73,1359468445
72,1359370033
71,1359148494
70,1358501594
69,1358500750
68,1357224202
67,1356713584
66,1356525120
65,1356350715
64,1354705907
63,1353591417
62,1352943527
61,1350784734
60,1350402617
59,1350002829
58,1349829389
57,1349811262
56,1349397124
55,1349397016
54,1349396741
53,1348534677
52,1347860450
51,1347791731
50,1347570523
49,1347530025
48,1347515657
47,1346943806
46,1345769856
45,1345728096
44,1345719168
43,1345719001
42,1345717963
41,1345712114
40,1345711437
39,1345646720
38,1345638504
37,1345548045
36,1344895988
35,1344894566
34,1344817182
33,1344353314
32,1344348896
31,1344348585
30,1344326502
29,1344212900
28,1343987854
27,1343958002
26,1343911297
25,1343909805
24,1343901426
23,1343811423
22,1343811060
21,1343809837
20,1343736244
19,1343702708
18,1343700595
17,1343700572
16,1343225764
15,1343223107
14,1343222842
13,1343210280
12,1343209381
11,1343209255
10,1343206591
9,1343109687
8,1343107344
7,1343048517
6,1343035045
5,1343020301
4,1342906939
3,1342723348
2,1342712459
1,1342696287
