total,time
11192,1410426942
11191,1428164776
11190,1428162657
11189,1428158976
11188,1425897377
11187,1427184513
11186,1427521012
11185,1427446368
11184,1428078614
11183,1428072390
11182,1428070197
11181,1428052486
11180,1428053610
11179,1427834564
11178,1427833148
11177,1428027093
11176,1427899215
11175,1427994672
11174,1427723914
11173,1427983612
11172,1412259414
11171,1427981684
11170,1427959167
11169,1427876309
11168,1427974567
11167,1427917818
11166,1427965838
11165,1427969992
11164,1427966220
11163,1427915803
11162,1427964575
11161,1427958860
11160,1427910566
11159,1427905982
11158,1427905132
11157,1427901846
11156,1420970511
11155,1427892128
11154,1427848718
11153,1427882541
11152,1427799799
11151,1427814104
11150,1427666407
11149,1427832184
11148,1427828408
11147,1427825409
11146,1427731724
11145,1426802105
11144,1427806803
11143,1427713300
11142,1427803533
11141,1427398000
11140,1427797682
11139,1427794598
11138,1421230772
11137,1423143755
11136,1427722781
11135,1427711745
11134,1427322287
11133,1427751581
11132,1427406925
11131,1427721966
11130,1427724138
11129,1427725545
11128,1427581765
11127,1427701379
11126,1427717818
11125,1427641324
11124,1423143755
11123,1427702883
11122,1427646291
11121,1427622576
11120,1424698797
11119,1427621307
11118,1423485579
11117,1423484322
11116,1427529159
11115,1427291733
11114,1427191577
11113,1427474138
11112,1427394493
11111,1427464975
11110,1425655581
11109,1427442116
11108,1427439493
11107,1426634048
11106,1427413099
11105,1424775230
11104,1427397740
11103,1427378703
11102,1427373215
11101,1427373061
11100,1425663491
11099,1427379142
11098,1427318051
11097,1427237469
11096,1427221753
11095,1427235597
11094,1427230287
11093,1427258885
11092,1427217199
11091,1427156882
11090,1427213015
11089,1427208893
11088,1424710259
11087,1426788658
11086,1400326771
11085,1427196066
11084,1427187846
11083,1427186314
11082,1427171364
11081,1427144324
11080,1426794392
11079,1427132004
11078,1423224771
11077,1427124185
11076,1427123045
11075,1427118776
11074,1427118529
11073,1427101955
11072,1426771551
11071,1426467057
11070,1427108428
11069,1427111839
11068,1427106681
11067,1426969504
11066,1427055633
11065,1419260468
11064,1426973403
11063,1423224560
11062,1426961313
11061,1426960889
11060,1426832616
11059,1426943970
11058,1426932624
11057,1425838616
11056,1426839142
11055,1410871513
11054,1426869250
11053,1424464002
11052,1425905987
11051,1420995439
11050,1426924491
11049,1426907283
11048,1426920464
11047,1426896500
11046,1414561397
11045,1425685284
11044,1426769861
11043,1426882442
11042,1426882182
11041,1426809916
11040,1426865076
11039,1426864226
11038,1426863496
11037,1426380403
11036,1426652457
11035,1426832268
11034,1426827346
11033,1426810341
11032,1426808039
11031,1426805788
11030,1426805018
11029,1426276876
11028,1426799688
11027,1425553691
11026,1426794985
11025,1426794598
11024,1426503296
11023,1426784245
11022,1426780367
11021,1426775723
11020,1426775152
11019,1426774788
11018,1426762691
11017,1426765297
11016,1426747400
11015,1426732220
11014,1426370819
11013,1426717715
11012,1426550953
11011,1426704572
11010,1426703381
11009,1426702576
11008,1426699058
11007,1426655969
11006,1426696873
11005,1426653373
11004,1420553959
11003,1426642001
11002,1426634917
11001,1426633367
11000,1424944896
10999,1426614410
10998,1426524403
10997,1425743432
10996,1426571966
10995,1423208492
10994,1421064706
10993,1426540748
10992,1426540671
10991,1426526444
10990,1426533273
10989,1426521892
10988,1426526813
10987,1426485584
10986,1426473935
10985,1426271507
10984,1425838300
10983,1426466897
10982,1425960789
10981,1426452973
10980,1426367504
10979,1426364290
10978,1426341222
10977,1426276419
10976,1426276301
10975,1426017648
10974,1426269541
10973,1425907283
10972,1425825235
10971,1425951252
10970,1426187306
10969,1425428984
10968,1424881547
10967,1424510351
10966,1424508183
10965,1424508157
10964,1425941126
10963,1425924758
10962,1425857210
10961,1425858138
10960,1425649770
10959,1425739310
10958,1425511411
10957,1424176420
10956,1420799036
10955,1425666914
10954,1425666221
10953,1425662913
10952,1411502577
10951,1424775230
10950,1425646222
10949,1425643981
10948,1425642113
10947,1425639267
10946,1425637085
10945,1425634949
10944,1425385826
10943,1425618785
10942,1425590181
10941,1425588061
10940,1425583943
10939,1425476633
10938,1424894558
10937,1425552973
10936,1425551340
10935,1425500710
10934,1425480314
10933,1425479608
10932,1425478079
10931,1425477023
10930,1425466090
10929,1425418489
10928,1425409405
10927,1423595223
10926,1424454056
10925,1425393771
10924,1425312698
10923,1425389512
10922,1425304716
10921,1425338305
10920,1425368857
10919,1425340455
10918,1425332476
10917,1425327342
10916,1419001805
10915,1425307376
10914,1425310735
10913,1425306639
10912,1425300382
10911,1425298731
10910,1425297648
10909,1425239862
10908,1425290092
10907,1425288376
10906,1425048597
10905,1425182558
10904,1425182145
10903,1424365454
10902,1425226482
10901,1425208235
10900,1425196943
10899,1425196057
10898,1425194766
10897,1425167013
10896,1425148288
10895,1425140395
10894,1425139327
10893,1425103542
10892,1425101107
10891,1425095290
10890,1425089925
10889,1424803491
10888,1425084329
10887,1424337111
10886,1424180527
10885,1425070405
10884,1425068191
10883,1424700124
10882,1423735221
10881,1424342770
10880,1425064855
10879,1424993526
10878,1424988144
10877,1425019196
10876,1425059446
10875,1424888781
10874,1425041380
10873,1425035051
10872,1425021819
10871,1424987273
10870,1424942657
10869,1424989866
10868,1424940110
10867,1424936550
10866,1424981619
10865,1424974193
10864,1424966622
10863,1424956323
10862,1424948430
10861,1424940036
10860,1424934760
10859,1424897850
10858,1424821533
10857,1420720288
10856,1424896338
10855,1424846740
10854,1424892883
10853,1424822700
10852,1424860720
10851,1423554843
10850,1424881322
