total,time
3268,1428129858
3267,1428113844
3266,1428094055
3265,1428077588
3264,1428064788
3263,1428052443
3262,1428032984
3261,1428029442
3260,1428027100
3259,1428019088
3258,1428006250
3257,1428001809
3256,1427990531
3255,1427981532
3254,1427974795
3253,1427971784
3252,1427970138
3251,1427949088
3250,1427946866
3249,1427927786
3248,1427913396
3247,1427911733
3246,1427901533
3245,1427898606
3244,1427896313
3243,1427894077
3242,1427891050
3241,1427881856
3240,1427881110
3239,1427880329
3238,1427879541
3237,1427874772
3236,1427854690
3235,1427854494
3234,1427851603
3233,1427846787
3232,1427843331
3231,1427843021
3230,1427837475
3229,1427837223
3228,1427835812
3227,1427828534
3226,1427811490
3225,1427811116
3224,1427810423
3223,1427809500
3222,1427808000
3221,1427807344
3220,1427797898
3219,1427791311
3218,1427789854
3217,1427789318
3216,1427783718
3215,1427760986
3214,1427759698
3213,1427751089
3212,1427743231
3211,1427734099
3210,1427730487
3209,1427723956
3208,1427713391
3207,1427705095
3206,1427703518
3205,1427629369
3204,1427624725
3203,1427605172
3202,1427602307
3201,1427599616
3200,1427550816
3199,1427544673
3198,1427463702
3197,1427446582
3196,1427433176
3195,1427422023
3194,1427420190
3193,1427410286
3192,1427379265
3191,1427362850
3190,1427345219
3189,1427343927
3188,1427326564
3187,1427322427
3186,1427299658
3185,1427291322
3184,1427273355
3183,1427270432
3182,1427265191
3181,1427257247
3180,1427253096
3179,1427233495
3178,1427209381
3177,1427201896
3176,1427113777
3175,1427113091
3174,1427109948
3173,1427107654
3172,1427103954
3171,1427102035
3170,1427099154
3169,1427096991
3168,1427096961
3167,1427093645
3166,1427083270
3165,1427080625
3164,1427060504
3163,1427045204
3162,1426976096
3161,1426973335
3160,1426971707
3159,1426904662
3158,1426871011
3157,1426863519
3156,1426857757
3155,1426852181
3154,1426843106
3153,1426842103
3152,1426816729
3151,1426816575
3150,1426804911
3149,1426776975
3148,1426768833
3147,1426761944
3146,1426743068
3145,1426737423
3144,1426703930
3143,1426701075
3142,1426693639
3141,1426693407
3140,1426676765
3139,1426660920
3138,1426659387
3137,1426644697
3136,1426610130
3135,1426605989
3134,1426602098
3133,1426600669
3132,1426529774
3131,1426521603
3130,1426517201
3129,1426508307
3128,1426487496
3127,1426467798
3126,1426456881
3125,1426445536
3124,1426440898
3123,1426387540
3122,1426365386
3121,1426321057
3120,1426313317
3119,1426307937
3118,1426306041
3117,1426281164
3116,1426269174
3115,1426251966
3114,1426249970
3113,1426248077
3112,1426245532
3111,1426245262
3110,1426238738
3109,1426234186
3108,1426229398
3107,1426228593
3106,1426210144
3105,1426204536
3104,1426192116
3103,1426187738
3102,1426187353
3101,1426181958
3100,1426180198
3099,1426177802
3098,1426170259
3097,1426144825
3096,1426101102
3095,1426093087
3094,1426074187
3093,1426072244
3092,1426072050
3091,1426055745
3090,1426015857
3089,1426012564
3088,1425995880
3087,1425991340
3086,1425990789
3085,1425966012
3084,1425965053
3083,1425963059
3082,1425951192
3081,1425916163
3080,1425911844
3079,1425905644
3078,1425903454
3077,1425897329
3076,1425894625
3075,1425889676
3074,1425883467
3073,1425871135
3072,1425825416
3071,1425824517
3070,1425808595
3069,1425802972
3068,1425733764
3067,1425732491
3066,1425729231
3065,1425717054
3064,1425708863
3063,1425708613
3062,1425639222
3061,1425637050
3060,1425621412
3059,1425561863
3058,1425544832
3057,1425531584
3056,1425524507
3055,1425523153
3054,1425467329
3053,1425410668
3052,1425403590
3051,1425382644
3050,1425359159
3049,1425343826
3048,1425342987
3047,1425337959
3046,1425335230
3045,1425310644
3044,1425309105
3043,1425263852
3042,1425249226
3041,1425226521
3040,1425157188
3039,1425155789
3038,1425155564
3037,1425151388
3036,1425148762
3035,1425109159
3034,1425104743
3033,1425055500
3032,1425032085
3031,1425015274
3030,1424996282
3029,1424962682
3028,1424947501
3027,1424937544
3026,1424933133
3025,1424921612
3024,1424909760
3023,1424893957
3022,1424880481
3021,1424854065
3020,1424848503
3019,1424817590
3018,1424813496
3017,1424803432
3016,1424786629
3015,1424760557
3014,1424737482
3013,1424701086
3012,1424685281
3011,1424626486
3010,1424596584
3009,1424560920
3008,1424531213
3007,1424507327
3006,1424464710
3005,1424463975
3004,1424453428
3003,1424452473
3002,1424426134
3001,1424401989
3000,1424389725
2999,1424380401
2998,1424364995
2997,1424346003
2996,1424329862
2995,1424274899
2994,1424214904
2993,1424204370
2992,1424186233
2991,1424169311
2990,1424127482
2989,1424123011
2988,1424119738
2987,1424090101
2986,1424070087
2985,1424070078
2984,1424069136
2983,1424067393
2982,1424033005
2981,1424023117
2980,1424018676
2979,1423945314
2978,1423919575
2977,1423906706
2976,1423900465
2975,1423898227
2974,1423881503
2973,1423815825
2972,1423801670
2971,1423794336
2970,1423777256
2969,1423765799
2968,1423756829
2967,1423747248
2966,1423746121
2965,1423733932
2964,1423733454
2963,1423728801
2962,1423728743
2961,1423728178
2960,1423724722
2959,1423721339
2958,1423715920
2957,1423710439
2956,1423694880
2955,1423692085
2954,1423689151
2953,1423683458
2952,1423675070
2951,1423673409
2950,1423670846
2949,1423660779
2948,1423659036
2947,1423655074
2946,1423652900
2945,1423630673
2944,1423619804
2943,1423612591
2942,1423589790
2941,1423562125
2940,1423509400
2939,1423481183
2938,1423477996
2937,1423477689
2936,1423456966
2935,1423448268
2934,1423372894
2933,1423353204
2932,1423308039
2931,1423299867
2930,1423298888
2929,1423279225
2928,1423224114
2927,1423206267
2926,1423185749
2925,1423172383
2924,1423167699
2923,1423150278
2922,1423149908
2921,1423122596
2920,1423120882
2919,1423118551
2918,1423099386
2917,1423098178
2916,1423077118
2915,1423036898
2914,1423011378
2913,1423004431
2912,1422984952
2911,1422942575
2910,1422897212
2909,1422883175
2908,1422845827
2907,1422815306
2906,1422812668
2905,1422757263
2904,1422741388
2903,1422735018
2902,1422694209
2901,1422676036
2900,1422672108
2899,1422655325
2898,1422639276
2897,1422631657
2896,1422628706
2895,1422614667
2894,1422610087
2893,1422601172
2892,1422566091
2891,1422555615
2890,1422525162
2889,1422514385
2888,1422479738
2887,1422478872
2886,1422474952
2885,1422444888
2884,1422444187
2883,1422421219
2882,1422410031
2881,1422402379
2880,1422384624
2879,1422372538
2878,1422370441
2877,1422360589
2876,1422341646
2875,1422302128
2874,1422297702
2873,1422281448
2872,1422259057
2871,1422236667
2870,1422232641
2869,1422184837
2868,1422143260
2867,1422033086
2866,1422025198
2865,1422007238
2864,1421991687
2863,1421987093
2862,1421975114
2861,1421955680
2860,1421938965
2859,1421906864
2858,1421893063
2857,1421877345
2856,1421871367
2855,1421853581
2854,1421831122
2853,1421822750
2852,1421798878
2851,1421768201
2850,1421759647
2849,1421753479
2848,1421744318
2847,1421740228
2846,1421738477
2845,1421690510
2844,1421686738
2843,1421677970
2842,1421674782
2841,1421651668
2840,1421640684
2839,1421523289
2838,1421507738
2837,1421482419
2836,1421465024
2835,1421458323
2834,1421431963
2833,1421429395
2832,1421429115
2831,1421422396
2830,1421392480
2829,1421352207
2828,1421337510
2827,1421321172
2826,1421315007
2825,1421302839
2824,1421263946
2823,1421233061
2822,1421226350
2821,1421218119
2820,1421214024
2819,1421203493
2818,1421200483
2817,1421190855
2816,1421186473
2815,1421183142
2814,1421174526
2813,1421140948
2812,1421140070
2811,1421100526
2810,1421098279
2809,1421094829
2808,1421091967
2807,1421073170
2806,1421067006
2805,1421056784
2804,1421054919
2803,1421028579
2802,1421027318
2801,1421007728
2800,1421002354
2799,1420965000
2798,1420905938
2797,1420837919
2796,1420806241
2795,1420797794
2794,1420796296
2793,1420786355
2792,1420741177
2791,1420704425
2790,1420678481
2789,1420676745
2788,1420655634
2787,1420632892
2786,1420602467
2785,1420577745
2784,1420568554
2783,1420558803
2782,1420557422
2781,1420532739
2780,1420527749
2779,1420525785
2778,1420522926
2777,1420522025
2776,1420515218
2775,1420514377
2774,1420497631
2773,1420495905
2772,1420484373
2771,1420471084
2770,1420460494
2769,1420439165
2768,1420326438
2767,1420315978
2766,1420250705
2765,1420246968
2764,1420228582
2763,1420208250
2762,1420203814
2761,1420142491
2760,1420110001
2759,1420053169
2758,1420013326
2757,1419933319
2756,1419905882
2755,1419904688
2754,1419891563
2753,1419884383
2752,1419868821
2751,1419850299
2750,1419844601
2749,1419731049
2748,1419662433
2747,1419632373
2746,1419615768
2745,1419572559
2744,1419572233
2743,1419562319
2742,1419554654
2741,1419510583
2740,1419488722
2739,1419432829
2738,1419411239
2737,1419358593
2736,1419341287
2735,1419322486
2734,1419320190
2733,1419317856
2732,1419310357
2731,1419233468
2730,1419176968
2729,1419145252
2728,1419066067
2727,1419038094
2726,1419035626
2725,1419034114
2724,1419023057
2723,1419014140
2722,1419000574
2721,1418986474
2720,1418966834
2719,1418963575
2718,1418955649
2717,1418894895
2716,1418872712
2715,1418871564
2714,1418857403
2713,1418853782
2712,1418815453
2711,1418803593
2710,1418787333
2709,1418786850
2708,1418781797
2707,1418777203
2706,1418748627
2705,1418744527
2704,1418734086
2703,1418728437
2702,1418715005
2701,1418713664
2700,1418712003
2699,1418699945
2698,1418694264
2697,1418682746
2696,1418668321
2695,1418644533
2694,1418637959
2693,1418616476
2692,1418615247
2691,1418614786
2690,1418587190
2689,1418584519
2688,1418564022
2687,1418512625
2686,1418463328
2685,1418459357
2684,1418427154
2683,1418424242
2682,1418398098
2681,1418386913
2680,1418384966
2679,1418374245
2678,1418355705
2677,1418348281
2676,1418327029
2675,1418322774
2674,1418320714
2673,1418318360
2672,1418315099
2671,1418315093
2670,1418315089
2669,1418315084
2668,1418315080
2667,1418315074
2666,1418315069
2665,1418315063
2664,1418315057
2663,1418315051
2662,1418297391
2661,1418283139
2660,1418281799
2659,1418259778
2658,1418235420
2657,1418204742
2656,1418195812
2655,1418192529
2654,1418165787
2653,1418159479
2652,1418148290
2651,1418133915
2650,1418123162
2649,1418106126
2648,1418038046
2647,1418037256
2646,1418030252
2645,1418022987
2644,1418004976
2643,1417996242
2642,1417993421
2641,1417958750
2640,1417806686
2639,1417800167
2638,1417787071
2637,1417771295
2636,1417749394
2635,1417748926
2634,1417748813
2633,1417748610
2632,1417748200
2631,1417746398
2630,1417713501
2629,1417707381
2628,1417637792
2627,1417624160
2626,1417593904
2625,1417572471
2624,1417549640
2623,1417547493
2622,1417537262
2621,1417459455
2620,1417440852
2619,1417435586
2618,1417428537
2617,1417428150
2616,1417417392
2615,1417399250
2614,1417314465
2613,1417291068
2612,1417258464
2611,1417219014
2610,1417185445
2609,1417143225
2608,1417108307
2607,1417107374
2606,1417091579
2605,1417083679
2604,1417018070
2603,1417010495
2602,1417008015
2601,1417005613
2600,1416965076
2599,1416951631
2598,1416949622
2597,1416908589
2596,1416907567
2595,1416894293
2594,1416886390
2593,1416855740
2592,1416850275
2591,1416841461
2590,1416776619
2589,1416760314
2588,1416742530
2587,1416734267
2586,1416733725
2585,1416658493
2584,1416622759
2583,1416619147
2582,1416602873
2581,1416593801
2580,1416588223
2579,1416550305
2578,1416542005
2577,1416522464
2576,1416517803
2575,1416516682
2574,1416509152
2573,1416504904
2572,1416504848
2571,1416494194
2570,1416489896
2569,1416481180
2568,1416481011
2567,1416463040
2566,1416461981
2565,1416453397
2564,1416441155
2563,1416420767
2562,1416386403
2561,1416378171
2560,1416349076
2559,1416335538
2558,1416308741
2557,1416268218
2556,1416252025
2555,1416241740
2554,1416236229
2553,1416235905
2552,1416231524
2551,1416216033
2550,1416203396
2549,1416176852
2548,1416161377
2547,1416082976
2546,1416066819
2545,1416047808
2544,1416037561
2543,1415951877
2542,1415918651
2541,1415881355
2540,1415878536
2539,1415869774
2538,1415864593
2537,1415864592
2536,1415857313
2535,1415816183
2534,1415801200
2533,1415799336
2532,1415762184
2531,1415727311
2530,1415713602
2529,1415693552
2528,1415655182
2527,1415627954
2526,1415620713
2525,1415620073
2524,1415543552
2523,1415512946
2522,1415497799
2521,1415422599
2520,1415362706
2519,1415358469
2518,1415355087
2517,1415345426
2516,1415343021
2515,1415338991
2514,1415303713
2513,1415301974
2512,1415293388
2511,1415287046
2510,1415278926
2509,1415270945
2508,1415265864
2507,1415251215
2506,1415249042
2505,1415238240
2504,1415219832
2503,1415200592
2502,1415193408
2501,1415189232
2500,1415174247
2499,1415163129
2498,1415158378
2497,1415150658
2496,1415142941
2495,1415142176
2494,1415129832
2493,1415095906
2492,1415088556
2491,1415065607
2490,1415023779
2489,1415019165
2488,1415004160
2487,1414999414
2486,1414997209
2485,1414983459
2484,1414969329
2483,1414909204
2482,1414877121
2481,1414853875
2480,1414783563
2479,1414768889
2478,1414752055
2477,1414746301
2476,1414743074
2475,1414684793
2474,1414677978
2473,1414676756
2472,1414674316
2471,1414671202
2470,1414660900
2469,1414654011
2468,1414640523
2467,1414616909
2466,1414612965
2465,1414591618
2464,1414558576
2463,1414554233
2462,1414550552
2461,1414522721
2460,1414509736
2459,1414505463
2458,1414483818
2457,1414428575
2456,1414418826
2455,1414417693
2454,1414398277
2453,1414360681
2452,1414334217
2451,1414314670
2450,1414259686
2449,1414252654
2448,1414209437
2447,1414148732
2446,1414142605
2445,1414126722
2444,1414120355
2443,1414103645
2442,1414086139
2441,1414079896
2440,1414075429
2439,1414062105
2438,1414051615
2437,1414040251
2436,1414015712
2435,1414006360
2434,1414005953
2433,1413995566
2432,1413987275
2431,1413983639
2430,1413977056
2429,1413975970
2428,1413971344
2427,1413963091
2426,1413959719
2425,1413959243
2424,1413951996
2423,1413945613
2422,1413883930
2421,1413882402
2420,1413871112
2419,1413865901
2418,1413825873
2417,1413819069
2416,1413809504
2415,1413804845
2414,1413795853
2413,1413793704
2412,1413792032
2411,1413769592
2410,1413728007
2409,1413653564
2408,1413562388
2407,1413551477
2406,1413541619
2405,1413534822
2404,1413515258
2403,1413495683
2402,1413488857
2401,1413449699
2400,1413425774
2399,1413425582
2398,1413377306
2397,1413373254
2396,1413358860
2395,1413358820
2394,1413338731
2393,1413303423
2392,1413298982
2391,1413282770
2390,1413281640
2389,1413255763
2388,1413224528
2387,1413207605
2386,1413201109
2385,1413177305
2384,1413172848
2383,1413169394
2382,1412992853
2381,1412984784
2380,1412932927
2379,1412928924
2378,1412926273
2377,1412911758
2376,1412832695
2375,1412824908
2374,1412802552
2373,1412787801
2372,1412760901
2371,1412753925
2370,1412748265
2369,1412727804
2368,1412725993
2367,1412719713
2366,1412703330
2365,1412699177
2364,1412698500
2363,1412685199
2362,1412640003
2361,1412636679
2360,1412570589
2359,1412442508
2358,1412427094
2357,1412396077
2356,1412354496
2355,1412344441
2354,1412340301
2353,1412332851
2352,1412328852
2351,1412261081
2350,1412254304
2349,1412246920
2348,1412183707
2347,1412151999
2346,1412099891
2345,1412097703
2344,1412092898
2343,1412049883
2342,1412048335
2341,1412048243
2340,1412040979
2339,1411977702
2338,1411974083
2337,1411959975
2336,1411955069
2335,1411944230
2334,1411921285
2333,1411852728
2332,1411780894
2331,1411776081
2330,1411746371
2329,1411728697
2328,1411727812
2327,1411723888
2326,1411688672
2325,1411644857
2324,1411644396
2323,1411611731
2322,1411611577
2321,1411598158
2320,1411572733
2319,1411571743
2318,1411571355
2317,1411568751
2316,1411550016
2315,1411544052
2314,1411542820
2313,1411524127
2312,1411501969
2311,1411501266
2310,1411486971
2309,1411452611
2308,1411449546
2307,1411435959
2306,1411402737
2305,1411393658
2304,1411381970
2303,1411365077
2302,1411357630
2301,1411324903
2300,1411234085
2299,1411228163
2298,1411228122
2297,1411197003
2296,1411148450
2295,1411141069
2294,1411135182
2293,1411129693
2292,1411108620
2291,1411106922
2290,1411102680
2289,1411053049
2288,1411051004
2287,1411036890
2286,1411031395
2285,1410971410
2284,1410948398
2283,1410940580
2282,1410910351
2281,1410897368
2280,1410896274
2279,1410883102
2278,1410874925
2277,1410873353
2276,1410853768
2275,1410852525
2274,1410848306
2273,1410786038
2272,1410766723
2271,1410722070
2270,1410578305
2269,1410540181
2268,1410521395
2267,1410516358
2266,1410469517
2265,1410446232
2264,1410439757
2263,1410424317
2262,1410419877
2261,1410416181
2260,1410414511
2259,1410411391
2258,1410397732
2257,1410384562
2256,1410368949
2255,1410365188
2254,1410340880
2253,1410338785
2252,1410335447
2251,1410332913
2250,1410327500
2249,1410314103
2248,1410296943
2247,1410276928
2246,1410228108
2245,1410202545
2244,1410194310
2243,1410018538
2242,1410017980
2241,1410007497
2240,1410006244
2239,1409979045
2238,1409974632
2237,1409952297
2236,1409912524
2235,1409898345
2234,1409884786
2233,1409870893
2232,1409861964
2231,1409858796
2230,1409820582
2229,1409819126
2228,1409812856
2227,1409770106
2226,1409765768
2225,1409750340
2224,1409749459
2223,1409746486
2222,1409730891
2221,1409712718
2220,1409709329
2219,1409691999
2218,1409683347
2217,1409674828
2216,1409673329
2215,1409669247
2214,1409662473
2213,1409656173
2212,1409644609
2211,1409641168
2210,1409583062
2209,1409582369
2208,1409578501
2207,1409542734
2206,1409533459
2205,1409512873
2204,1409501793
2203,1409385808
2202,1409376223
2201,1409352747
2200,1409341236
2199,1409327357
2198,1409291996
2197,1409290474
2196,1409286152
2195,1409284776
2194,1409236073
2193,1409228211
2192,1409219944
2191,1409214350
2190,1409210821
2189,1409210816
2188,1409194518
2187,1409169818
2186,1409082770
2185,1409039306
2184,1409019575
2183,1408963209
2182,1408955993
2181,1408947112
2180,1408921545
2179,1408912589
2178,1408912389
2177,1408901540
2176,1408873287
2175,1408865357
2174,1408783637
2173,1408777356
2172,1408772484
2171,1408724626
2170,1408723333
2169,1408697408
2168,1408687612
2167,1408644419
2166,1408630160
2165,1408611170
2164,1408568757
2163,1408561953
2162,1408549346
2161,1408527273
2160,1408457295
2159,1408457009
2158,1408447530
2157,1408437583
2156,1408436878
2155,1408429413
2154,1408392969
2153,1408367667
2152,1408330761
2151,1408298945
2150,1408297750
2149,1408287672
2148,1408199820
2147,1408160912
2146,1408155031
2145,1408128169
2144,1408115364
