total,time
10421,1428166518
10420,1428164652
10419,1428164123
10418,1428163902
10417,1428163426
10416,1428163216
10415,1428156065
10414,1428140128
10413,1428136617
10412,1428119351
10411,1428106376
10410,1428098158
10409,1428094487
10408,1428091995
10407,1428090367
10406,1428083810
10405,1428079955
10404,1428079658
10403,1428078510
10402,1428075769
10401,1428073353
10400,1428068478
10399,1428063776
10398,1428057871
10397,1428055476
10396,1428054278
10395,1428053360
10394,1428051557
10393,1428021962
10392,1428007459
10391,1428005872
10390,1428004092
10389,1428003110
10388,1428002845
10387,1427997849
10386,1427995016
10385,1427991906
10384,1427990940
10383,1427990823
10382,1427986263
10381,1427984877
10380,1427983957
10379,1427981763
10378,1427977290
10377,1427968372
10376,1427966977
10375,1427965439
10374,1427959209
10373,1427958880
10372,1427954441
10371,1427948910
10370,1427945582
10369,1427934209
10368,1427931833
10367,1427920214
10366,1427917290
10365,1427914806
10364,1427914419
10363,1427913283
10362,1427910792
10361,1427910694
10360,1427903298
10359,1427902840
10358,1427902451
10357,1427901723
10356,1427899575
10355,1427899164
10354,1427896492
10353,1427892359
10352,1427891141
10351,1427876408
10350,1427875664
10349,1427875171
10348,1427875032
10347,1427873228
10346,1427848755
10345,1427847392
10344,1427844437
10343,1427844089
10342,1427840097
10341,1427837245
10340,1427836970
10339,1427834637
10338,1427832705
10337,1427831611
10336,1427830859
10335,1427829090
10334,1427828333
10333,1427826712
10332,1427820026
10331,1427815644
10330,1427808438
10329,1427807946
10328,1427805761
10327,1427805253
10326,1427801101
10325,1427799668
10324,1427795931
10323,1427790627
10322,1427789969
10321,1427789467
10320,1427785156
10319,1427784170
10318,1427766886
10317,1427751126
10316,1427744148
10315,1427743855
10314,1427741699
10313,1427740878
10312,1427738726
10311,1427732538
10310,1427731038
10309,1427724342
10308,1427724333
10307,1427724057
10306,1427722799
10305,1427722054
10304,1427721724
10303,1427720741
10302,1427715966
10301,1427713649
10300,1427711766
10299,1427705643
10298,1427705329
10297,1427702145
10296,1427701859
10295,1427666474
10294,1427656451
10293,1427647427
10292,1427641784
10291,1427600547
10290,1427595212
10289,1427561430
10288,1427522214
10287,1427510628
10286,1427502032
10285,1427494990
10284,1427475089
10283,1427474102
10282,1427470545
10281,1427455723
10280,1427447650
10279,1427446551
10278,1427445295
10277,1427443659
10276,1427441965
10275,1427413693
10274,1427409768
10273,1427408187
10272,1427400390
10271,1427398544
10270,1427395653
10269,1427394555
10268,1427392637
10267,1427380882
10266,1427379455
10265,1427375054
10264,1427371797
10263,1427363506
10262,1427363368
10261,1427362150
10260,1427361012
10259,1427359012
10258,1427355173
10257,1427344851
10256,1427334099
10255,1427329997
10254,1427318238
10253,1427316060
10252,1427300545
10251,1427296249
10250,1427296237
10249,1427292095
10248,1427291976
10247,1427287223
10246,1427281464
10245,1427279767
10244,1427278912
10243,1427275167
10242,1427275005
10241,1427273645
10240,1427272884
10239,1427261786
10238,1427260051
10237,1427259422
10236,1427253810
10235,1427252269
10234,1427251090
10233,1427246023
10232,1427240620
10231,1427235544
10230,1427233585
10229,1427230646
10228,1427218826
10227,1427216600
10226,1427213401
10225,1427206937
10224,1427201062
10223,1427198576
10222,1427196807
10221,1427191641
10220,1427190410
10219,1427169371
10218,1427166685
10217,1427158619
10216,1427150893
10215,1427148525
10214,1427147143
10213,1427145212
10212,1427144052
10211,1427137889
10210,1427132284
10209,1427131657
10208,1427128503
10207,1427124500
10206,1427102607
10205,1427097719
10204,1427097393
10203,1427085820
10202,1427085579
10201,1427084598
10200,1427083750
10199,1427083352
10198,1427073779
10197,1427064485
10196,1427055696
10195,1427040657
10194,1427026965
10193,1427018774
10192,1426975948
10191,1426973565
10190,1426969594
10189,1426968557
10188,1426967589
10187,1426967353
10186,1426911034
10185,1426907290
10184,1426906896
10183,1426896945
10182,1426895179
10181,1426886019
10180,1426885786
10179,1426884905
10178,1426881574
10177,1426879872
10176,1426872177
10175,1426869943
10174,1426869324
10173,1426864676
10172,1426861107
10171,1426859100
10170,1426853925
10169,1426848144
10168,1426842572
10167,1426841400
10166,1426839368
10165,1426830947
10164,1426826195
10163,1426823768
10162,1426815033
10161,1426808208
10160,1426807633
10159,1426805040
10158,1426804871
10157,1426799822
10156,1426795380
10155,1426794973
10154,1426794666
10153,1426792140
10152,1426791363
10151,1426789061
10150,1426787613
10149,1426779275
10148,1426775713
10147,1426775392
10146,1426769891
10145,1426767071
10144,1426766795
10143,1426766737
10142,1426763259
10141,1426751244
10140,1426748433
10139,1426747888
10138,1426747732
10137,1426743159
10136,1426725030
10135,1426723141
10134,1426722256
10133,1426711553
10132,1426710888
10131,1426705160
10130,1426704058
10129,1426703475
10128,1426697975
10127,1426696313
10126,1426694579
10125,1426694209
10124,1426689964
10123,1426686253
10122,1426685185
10121,1426676366
10120,1426661499
10119,1426643446
10118,1426635325
10117,1426635040
10116,1426611833
10115,1426611516
10114,1426604092
10113,1426591275
10112,1426589042
10111,1426586852
10110,1426585200
10109,1426579041
10108,1426578443
10107,1426578273
10106,1426554377
10105,1426553065
10104,1426552970
10103,1426551070
10102,1426550509
10101,1426547804
10100,1426546138
10099,1426544325
10098,1426538719
10097,1426533408
10096,1426530106
10095,1426529828
10094,1426527020
10093,1426526528
10092,1426524104
10091,1426521959
10090,1426504143
10089,1426497453
10088,1426477093
10087,1426474364
10086,1426472103
10085,1426467786
10084,1426453124
10083,1426433825
10082,1426432002
10081,1426379126
10080,1426370835
10079,1426367518
10078,1426361322
10077,1426356664
10076,1426322858
10075,1426309258
10074,1426275573
10073,1426271751
10072,1426271749
10071,1426271725
10070,1426269144
10069,1426268472
10068,1426266713
10067,1426265097
10066,1426263074
10065,1426253428
10064,1426231621
10063,1426194608
10062,1426187544
10061,1426184074
10060,1426183810
10059,1426176902
10058,1426173769
10057,1426152372
10056,1426146552
10055,1426144642
10054,1426133402
10053,1426118334
10052,1426113233
10051,1426110365
10050,1426109835
10049,1426108797
10048,1426103646
10047,1426100199
10046,1426097490
10045,1426087534
10044,1426085671
10043,1426069173
10042,1426064861
10041,1426060204
10040,1426038763
10039,1426031175
10038,1426001590
10037,1425997214
10036,1425984756
10035,1425984228
10034,1425983750
10033,1425983295
10032,1425962107
10031,1425951429
10030,1425945276
10029,1425918356
10028,1425909718
10027,1425907443
10026,1425906007
10025,1425897407
10024,1425888902
10023,1425887297
10022,1425881828
10021,1425881767
10020,1425873513
10019,1425855505
10018,1425844701
10017,1425842697
10016,1425842595
10015,1425840694
10014,1425836317
10013,1425744647
10012,1425685310
10011,1425680951
10010,1425680617
10009,1425667419
10008,1425657734
10007,1425657239
10006,1425656459
10005,1425656087
10004,1425654171
10003,1425649894
10002,1425649816
10001,1425648601
10000,1425644007
9999,1425642178
9998,1425634892
9997,1425632821
9996,1425627559
9995,1425625662
9994,1425598550
9993,1425598480
9992,1425594793
9991,1425594491
9990,1425591807
9989,1425590610
9988,1425589337
9987,1425582276
9986,1425568581
9985,1425568579
9984,1425567308
9983,1425567019
9982,1425565339
9981,1425554311
9980,1425553814
9979,1425552998
9978,1425552285
9977,1425549462
9976,1425524126
9975,1425523706
9974,1425510298
9973,1425508920
