total,time
499,1428009365
498,1428009365
497,1427306218
496,1427306217
495,1426183995
494,1426183995
493,1423169828
492,1423169828
491,1421085010
490,1420953538
489,1420578705
488,1420578705
487,1418867072
486,1418867007
485,1418841923
484,1418835146
483,1418755122
482,1418754307
481,1418557680
480,1417812772
479,1417812670
478,1417808145
477,1417808145
476,1417474426
475,1417474426
474,1417454702
473,1417289444
472,1415392655
471,1415389115
470,1415209805
469,1415153680
468,1415152849
467,1414793146
466,1414793146
465,1414704890
464,1414704890
463,1414463516
462,1414394037
461,1413835312
460,1413821344
459,1413698730
458,1413671774
457,1413670264
456,1413669985
455,1413581118
454,1413581118
453,1413484891
452,1413484891
451,1412274094
450,1411680648
449,1409786654
448,1408654924
447,1407451942
446,1407431668
445,1405716794
444,1402606866
443,1399925260
442,1398872942
441,1395703963
440,1392942937
439,1386627103
438,1380650057
437,1380236381
436,1377013649
435,1372888531
434,1355802972
433,1355427846
432,1355420700
431,1355354859
430,1355357132
429,1355355407
428,1355337594
427,1355202311
426,1355179305
425,1355279041
424,1354906799
423,1355270611
422,1355261651
421,1355258844
420,1355188755
419,1355183237
418,1355180088
417,1354845634
416,1354735650
415,1355170983
414,1354906658
413,1354920343
412,1354925199
411,1354314203
410,1354837491
409,1354236388
408,1354756102
407,1354685666
406,1354744111
405,1354041063
404,1354736124
403,1354692341
402,1354693072
401,1354684442
400,1354176920
399,1354583065
398,1354211828
397,1354148804
396,1353346146
395,1354142379
394,1354140785
393,1354054671
392,1354056116
391,1354044931
390,1353546995
389,1353451649
388,1353450229
387,1353373014
386,1353364475
385,1353357783
384,1353093641
383,1353089957
382,1353031683
381,1353012878
380,1353011165
379,1353007158
378,1352746067
377,1352845291
376,1352826358
375,1352762760
374,1352493382
373,1352422332
372,1352496152
371,1352415699
370,1352413002
369,1352413002
368,1352411875
367,1352151223
366,1352328905
365,1352239974
364,1352246753
363,1352323110
362,1352243639
361,1352155258
360,1352241251
359,1352152299
358,1351803621
357,1351879770
356,1351878380
355,1351810262
354,1351809904
353,1351726195
352,1351721956
351,1351630737
350,1351548487
349,1351614530
348,1351638686
347,1351628693
346,1351290944
345,1351550028
344,1351560420
343,1351545039
342,1351200920
341,1351317857
340,1351296373
339,1351523703
338,1351287351
337,1351039792
336,1351111354
335,1351031405
334,1351103313
333,1351100733
332,1351029102
331,1351028452
330,1351032384
329,1351024631
328,1350951693
327,1351010893
326,1351011988
325,1350953321
324,1350944145
323,1350946372
322,1350932439
321,1350686978
320,1350604847
319,1350600520
318,1350575807
317,1350524124
316,1350515639
315,1350513957
314,1350513615
313,1350505644
312,1350449986
311,1350334447
310,1350096525
309,1350403982
308,1350409131
307,1350345976
306,1350405755
305,1350352301
304,1350336762
303,1350342365
302,1350334013
301,1349994315
300,1350056317
299,1350176137
298,1349989021
297,1349987801
296,1349987063
295,1349916398
294,1349915749
293,1349912433
292,1349899318
291,1349829646
290,1349828668
289,1349826046
288,1349820226
287,1349818826
286,1349805272
285,1349746789
284,1349745685
283,1349766290
282,1349757797
281,1349755461
280,1349750880
279,1349743289
278,1349742398
277,1349735634
276,1349586848
275,1349735295
274,1349476926
273,1349720512
272,1349478205
271,1349475882
270,1349394482
269,1349468094
268,1349391090
267,1349475294
266,1349224604
265,1349381565
264,1349397902
263,1349388423
262,1349460882
261,1349453236
260,1349382214
259,1349307907
258,1349298754
257,1349220429
256,1349200007
255,1349141398
254,1349218331
253,1349214115
252,1349136608
251,1349137936
250,1348868038
249,1348864444
248,1348793234
247,1348868145
246,1348787296
245,1348845500
244,1348862097
243,1348789305
242,1348786439
241,1348790501
240,1348781124
239,1348769583
238,1348714961
237,1348768414
236,1348694926
235,1348708882
234,1348756853
233,1348721905
232,1348704438
231,1348706255
230,1348610504
229,1348704506
228,1348611286
227,1348617739
226,1348589406
225,1348600004
224,1348539651
223,1347570455
222,1348504977
221,1348518993
220,1348273494
219,1348243438
218,1348180039
217,1348177608
216,1348174802
215,1348075272
214,1346893809
213,1347570017
212,1346886282
211,1347924821
210,1347608620
209,1347668581
208,1347495832
207,1347403338
206,1347407645
205,1346262826
204,1347310466
203,1347317680
202,1347287574
201,1347294741
200,1346976441
199,1346801509
198,1346889478
197,1346885712
196,1346891125
195,1346798623
194,1346453128
193,1346450113
192,1346286532
191,1346373402
190,1346122181
189,1346177590
188,1346197499
187,1346122181
186,1346201910
185,1346186358
184,1346106060
183,1345589795
182,1346104187
181,1345762983
180,1344986750
179,1345225454
178,1345598913
177,1344560538
176,1345504601
175,1345247794
174,1345078938
173,1345053522
172,1344894488
171,1344895480
170,1344626781
169,1344293503
168,1344631841
167,1344467888
166,1344400505
165,1344018320
164,1343861349
163,1343419583
162,1343419816
161,1343673566
160,1343319090
159,1343341178
158,1343334301
157,1343180835
156,1343086259
155,1342141989
154,1341875336
153,1341528870
152,1341295918
151,1340743786
150,1340347996
149,1340322152
148,1340314976
147,1340234055
146,1340152520
145,1340052279
144,1339747095
143,1339029194
142,1337969532
141,1334598386
140,1332360646
139,1329505553
138,1329439309
137,1326904515
136,1322773121
135,1324393086
134,1324393070
133,1322714682
132,1322697085
131,1318283114
130,1318277428
129,1316066141
128,1317055935
127,1299627718
126,1296611767
125,1295371789
124,1292977645
123,1292281166
122,1291944808
121,1291777594
120,1291777019
119,1291775983
118,1289947734
117,1291163427
116,1291054111
115,1288841469
114,1288836881
113,1285890603
112,1282198793
111,1277507050
110,1277466582
109,1277444850
108,1277274796
107,1276900494
106,1276897839
105,1276747454
104,1276555047
103,1276302488
102,1275955592
101,1275953835
100,1275950104
99,1275946578
98,1275945944
97,1275945378
96,1275670972
95,1275522068
94,1275092583
93,1275081965
92,1274992989
91,1274983995
90,1274983649
89,1274837258
88,1274837101
87,1274823721
86,1274823297
85,1274812328
84,1274778427
83,1274775989
82,1274773523
81,1274773488
80,1274767792
79,1274755137
78,1274752565
77,1274738390
76,1274717048
75,1274495253
74,1274492934
73,1274489725
72,1274481415
71,1274481284
70,1274479643
69,1274378318
68,1274378208
67,1274301124
66,1274300567
65,1274294860
64,1274279514
63,1274279481
62,1274279440
61,1274279331
60,1274278921
59,1274258586
58,1274253416
57,1274251065
56,1274250134
55,1274250031
54,1274239123
53,1274233154
52,1274228796
51,1274228441
50,1274227985
49,1274226152
48,1274225258
47,1274222637
46,1274222852
45,1274221914
44,1274219567
43,1274200896
42,1274179188
41,1274178703
40,1274173383
39,1274168824
38,1274167866
37,1274167171
36,1274158247
35,1274152384
34,1274151538
33,1274151308
32,1274150406
31,1274146113
30,1274138507
29,1274137435
28,1274135558
27,1274134657
26,1274131933
25,1274130840
24,1274068917
23,1274068345
22,1274067868
21,1274067837
20,1274063937
19,1273992762
18,1273990899
17,1273982353
16,1273973328
15,1273893374
14,1273862324
13,1273786946
12,1273719677
11,1273714731
10,1273706322
9,1273703942
8,1273700614
7,1273691217
6,1273617092
5,1273529785
4,1273525406
3,1273521122
2,1273519250
1,1273515851
