total,time
130,1428178790
129,1428178418
128,1428140605
127,1426714672
126,1421081321
125,1420953573
124,1418835219
123,1418754441
122,1418674481
121,1418557751
120,1418365876
119,1417289702
118,1415389231
117,1415343523
116,1415153711
115,1414791912
114,1414779839
113,1414737143
112,1414464258
111,1414394113
110,1413821383
109,1413670533
108,1413128999
107,1411636086
106,1409821635
105,1408396810
104,1408186040
103,1407317574
102,1407145884
101,1405594461
100,1405520097
99,1404483929
98,1403532454
97,1403532302
96,1403531706
95,1402938457
94,1402912113
93,1402579920
92,1401200141
91,1399072209
90,1399033905
89,1398813002
88,1394713795
87,1392306732
86,1392209470
85,1392203795
84,1390851815
83,1388996035
82,1385072995
81,1381818070
80,1381769114
79,1380828494
78,1380553054
77,1379987205
76,1378716266
75,1378483796
74,1377798832
73,1376959739
72,1374220992
71,1372149139
70,1369382978
69,1366726785
68,1366718041
67,1364483444
66,1364483368
65,1362667636
64,1361832221
63,1361699454
62,1360707723
61,1360707563
60,1358216254
59,1357243021
58,1356710296
57,1355565354
56,1355123298
55,1354868418
54,1354834159
53,1353590648
52,1352859212
51,1352858283
50,1349818297
49,1349434584
48,1349236335
47,1347591760
46,1346241714
45,1345154706
44,1345000979
43,1344932536
42,1344413833
41,1340227614
40,1339516569
39,1339409886
38,1338109849
37,1337783803
36,1336682238
35,1335884803
34,1335831600
33,1335129734
32,1333348620
31,1332413382
30,1328870511
29,1328681483
28,1327384088
27,1324185346
26,1324171681
25,1322900987
24,1321447041
23,1321435828
22,1321148152
21,1319750168
20,1319051712
19,1318702030
18,1318607894
17,1316908348
16,1316560545
15,1314688161
14,1314204746
13,1313755688
12,1313741734
11,1313693418
10,1307040705
9,1305533790
8,1302720310
7,1302081786
6,1297390498
5,1295987774
4,1294928434
3,1291054329
2,1288915194
1,1283538584
