total,time
1490,1428787538
1489,1428779934
1488,1428779716
1487,1428778524
1486,1428704222
1485,1428674884
1484,1428671920
1483,1428670194
1482,1428592739
1481,1428588935
1480,1428575205
1479,1428529790
1478,1428526556
1477,1428524353
1476,1428511434
1475,1428510126
1474,1428440298
1473,1428427845
1472,1428426523
1471,1428326681
1470,1428319657
1469,1428165894
1468,1428204226
1467,1428074769
1466,1428017623
1465,1428017497
1464,1428013228
1463,1428012581
1462,1427978043
1461,1427977901
1460,1427976130
1459,1427975035
1458,1427980923
1457,1427977554
1456,1427949266
1455,1427948571
1454,1427947659
1453,1427906415
1452,1427901212
1451,1427881982
1450,1427898872
1449,1427895918
1448,1427838864
1447,1427838830
1446,1427809627
1445,1427809443
1444,1427808674
1443,1427808161
1442,1427772444
1441,1427760461
1440,1427736195
1439,1427708523
1438,1427707306
1437,1427707122
1436,1427701315
1435,1427700091
1434,1427697541
1433,1427696882
1432,1427695405
1431,1427663769
1430,1427663511
1429,1427561183
1428,1427559804
1427,1427559455
1426,1427559433
1425,1427555658
1424,1427554905
1423,1427551134
1422,1427551124
1421,1427551116
1420,1427550375
1419,1427545987
1418,1427543741
1417,1427543709
1416,1426778369
1415,1427543772
1414,1427500364
1413,1427500344
1412,1427496249
1411,1427487429
1410,1427418129
1409,1427417304
1408,1427417055
1407,1427408763
1406,1427408147
1405,1427407595
1404,1427405670
1403,1427405160
1402,1427404621
1401,1427404397
1400,1427403014
1399,1427402681
1398,1427402471
1397,1427401849
1396,1427372960
1395,1427310078
1394,1427309652
1393,1427308409
1392,1427292979
1391,1427290686
1390,1427230792
1389,1427230434
1388,1427146508
1387,1427030983
1386,1427030911
1385,1427027529
1384,1427025959
1383,1426966579
1382,1426948321
1381,1426947159
1380,1426945275
1379,1426940874
1378,1426938786
1377,1426938442
1376,1426878187
1375,1426876310
1374,1426866491
1373,1426722672
1372,1426695446
1371,1426689964
1370,1426693039
1369,1426692972
1368,1426689487
1367,1426689232
1366,1426688533
1365,1426686524
1364,1426686157
1363,1426685273
1362,1426680303
1361,1426672593
1360,1426666659
1359,1426637139
1358,1426628749
1357,1426626293
1356,1426625500
1355,1426622485
1354,1426621869
1353,1426620961
1352,1426620876
1351,1426620657
1350,1426617483
1349,1426613301
1348,1426544497
1347,1426602977
1346,1426601348
1345,1426593213
1344,1426589490
1343,1426589479
1342,1426586438
1341,1426586384
1340,1426504253
1339,1426500334
1338,1426494076
1337,1426493954
1336,1426493442
1335,1426490259
1334,1426453503
1333,1426452928
1332,1426409909
1331,1426267587
1330,1426406934
1329,1426404932
1328,1426249298
1327,1426247861
1326,1426245738
1325,1426245552
1324,1426245524
1323,1426245114
1322,1426244767
1321,1426244311
1320,1426196640
1319,1426062879
1318,1426021482
1317,1426018888
1316,1426243901
1315,1426232644
1314,1426232397
1313,1426231962
1312,1426231938
1311,1426231192
1310,1426227626
1309,1426226673
1308,1425894975
1307,1425854293
1306,1425854255
1305,1425851156
1304,1425850331
1303,1425847248
1302,1425847003
1301,1424791664
1300,1425827282
1299,1425820162
1298,1425809276
1297,1425743647
1296,1425742711
1295,1425742665
1294,1425741311
1293,1425740619
1292,1425740396
1291,1425740307
1290,1425738233
1289,1425736621
