total,time
222,1428764049
221,1428683813
220,1428599035
219,1427881735
218,1427878769
217,1427822034
216,1427656461
215,1427609970
214,1427171338
213,1427078269
212,1426946617
211,1426819502
210,1426646175
209,1426343777
208,1426223642
207,1425965392
206,1425959172
205,1425545529
204,1425444155
203,1425404082
202,1425317093
201,1425163290
200,1425004781
199,1424959192
198,1424934602
197,1424918174
196,1424539257
195,1424466976
194,1424383537
193,1424010346
192,1423883183
191,1423854499
190,1423653229
189,1423598637
188,1423511076
187,1423232901
186,1423185108
185,1423106532
184,1422965991
183,1422863286
182,1422577787
181,1422436219
180,1422362546
179,1422349541
178,1421666221
177,1421527584
176,1421344736
175,1421169236
174,1421141864
173,1421033762
172,1420537056
171,1420515726
170,1420443004
169,1419991328
168,1419631273
167,1419546775
166,1419162588
165,1419152875
164,1418866472
163,1418648000
162,1418593438
161,1418560304
160,1418544879
159,1418392835
158,1417592674
157,1416938354
156,1416922667
155,1416748441
154,1416731182
153,1416638292
152,1416498377
151,1416465427
150,1416408997
149,1416282168
148,1415951633
147,1415723808
146,1414620044
145,1414580727
144,1414456454
143,1414143075
142,1414043648
141,1413951775
140,1413574109
139,1413559688
138,1413488939
137,1413342279
136,1413321524
135,1413260579
134,1413128210
133,1412695326
132,1412411930
131,1411553327
130,1411292633
129,1411137353
128,1410713565
127,1409586514
126,1409308471
125,1408466332
124,1408412189
123,1406842422
122,1406647252
121,1406580369
120,1406559741
119,1406287879
118,1406280551
117,1406040949
116,1405283555
115,1405098988
114,1404994826
113,1404898143
112,1404812341
111,1404749248
110,1404624337
109,1404502378
108,1404186124
107,1403332717
106,1403275167
105,1402850662
104,1402650206
103,1402521237
102,1400632280
101,1400378940
100,1399756159
99,1399676224
98,1399158501
97,1398324282
96,1398182765
95,1398000323
94,1397666879
93,1397282041
92,1396620430
91,1396591748
90,1394818537
89,1394609682
88,1394381893
87,1394030572
86,1393995047
85,1393966806
84,1393607741
83,1393504339
82,1393358540
81,1393351949
80,1393270866
79,1392923412
78,1392640333
77,1392320376
76,1391841587
75,1391255714
74,1391069417
73,1390266028
72,1389481125
71,1389258804
70,1389146877
69,1389123797
68,1389105423
67,1388938549
66,1388888715
65,1388434071
64,1388413057
63,1387677499
62,1387551564
61,1387528367
60,1387333526
59,1387324494
58,1386766161
57,1386687301
56,1386517528
55,1386277959
54,1386231272
53,1386095818
52,1386067701
51,1386067455
50,1385926279
49,1385838396
48,1385728283
47,1385617619
46,1384938733
45,1384765831
44,1384033759
43,1384024126
42,1383081197
41,1382643383
40,1382432265
39,1382428701
38,1382281832
37,1381814029
36,1381276494
35,1381048367
34,1379443279
33,1378717988
32,1378129767
31,1376462837
30,1376373885
29,1373720974
28,1372795598
27,1372466836
26,1371663210
25,1370876090
24,1369773096
23,1369126399
22,1367517715
21,1363849711
20,1361861384
19,1361524431
18,1361055052
17,1359557857
16,1357270570
15,1354446870
14,1351807086
13,1349803730
12,1349438440
11,1348949498
10,1348316506
9,1348148040
8,1347208487
7,1343492250
6,1339240988
5,1331736613
4,1311416025
3,1309911730
2,1305593711
1,1301933464
