total,time
1554,1428787894
1553,1428781280
1552,1428778910
1551,1428777565
1550,1428749437
1549,1428675400
1548,1428664668
1547,1428623583
1546,1428622557
1545,1428612192
1544,1428596958
1543,1428590279
1542,1428524438
1541,1428512289
1540,1428510262
1539,1428484081
1538,1428449071
1537,1428423608
1536,1428409625
1535,1428372707
1534,1428364889
1533,1428356576
1532,1428354564
1531,1428338425
1530,1428079121
1529,1428072693
1528,1428063365
1527,1428028963
1526,1428012615
1525,1428007543
1524,1428005905
1523,1428004956
1522,1427977645
1521,1427976001
1520,1427949605
1519,1427934253
1518,1427934203
1517,1427908499
1516,1427897594
1515,1427897309
1514,1427897219
1513,1427882871
1512,1427882804
1511,1427841784
1510,1427837381
1509,1427820821
1508,1427815124
1507,1427812199
1506,1427760667
1505,1427750086
1504,1427739916
1503,1427739224
1502,1427728317
1501,1427702769
1500,1427658128
1499,1427651551
1498,1427635087
1497,1427583371
1496,1427556827
1495,1427544324
1494,1427507414
1493,1427501407
1492,1427485056
1491,1427477111
1490,1427455290
1489,1427431801
1488,1427421513
1487,1427418998
1486,1427418092
1485,1427408184
1484,1427397893
1483,1427397647
1482,1427397084
1481,1427291883
1480,1427230553
1479,1427224957
1478,1427219806
1477,1427140506
1476,1427136346
1475,1427108025
1474,1427105170
1473,1427089561
1472,1426966877
1471,1426927821
1470,1426915347
1469,1426913993
1468,1426909322
1467,1426888759
1466,1426886304
1465,1426885701
1464,1426885443
1463,1426879417
1462,1426877990
1461,1426803450
1460,1426796401
1459,1426782551
1458,1426781835
1457,1426774828
1456,1426720403
1455,1426720250
1454,1426706391
1453,1426693847
1452,1426691076
1451,1426681503
1450,1426680804
1449,1426680163
1448,1426645465
1447,1426642566
1446,1426631100
1445,1426626521
1444,1426616890
1443,1426609250
1442,1426602432
1441,1426573291
1440,1426535394
1439,1426517519
1438,1426411848
1437,1426369062
1436,1426326645
1435,1426322694
1434,1426279526
1433,1426222687
1432,1426212118
1431,1426186912
1430,1426141216
1429,1426096836
1428,1426075692
1427,1426074443
1426,1426068250
1425,1425990420
1424,1425847154
1423,1425845096
1422,1425817035
1421,1425815834
1420,1425815593
1419,1425770619
1418,1425737202
1417,1425693135
1416,1425599035
1415,1425594233
1414,1425546654
1413,1425477306
1412,1425441537
1411,1425397240
1410,1425393782
1409,1425377466
1408,1425350166
1407,1425341510
1406,1425333524
1405,1425322576
1404,1425320320
1403,1425307117
1402,1425295762
1401,1425294119
1400,1425290284
1399,1425287755
1398,1425271467
1397,1425222065
1396,1425133796
1395,1425129859
1394,1425077113
1393,1425024349
1392,1425021495
1391,1425012940
1390,1425002532
1389,1424988913
1388,1424970397
1387,1424963219
1386,1424958206
1385,1424949648
1384,1424943436
1383,1424943078
1382,1424940889
1381,1424922990
1380,1424917985
1379,1424917109
1378,1424912542
1377,1424902329
1376,1424875548
1375,1424864471
1374,1424858858
1373,1424853119
1372,1424851037
1371,1424811446
1370,1424811302
1369,1424804887
1368,1424798599
1367,1424791807
1366,1424765304
1365,1424733868
1364,1424729442
1363,1424712312
1362,1424708861
1361,1424705923
1360,1424698401
1359,1424656376
1358,1424639400
1357,1424633464
1356,1424623135
1355,1424622124
1354,1424617011
1353,1424613872
1352,1424612974
1351,1424566810
1350,1424564518
1349,1424562671
1348,1424558919
1347,1424555192
1346,1424549625
1345,1424540752
1344,1424529894
1343,1424513911
1342,1424468360
1341,1424467343
1340,1424466192
1339,1424464401
1338,1424458915
1337,1424454277
1336,1424448252
1335,1424447999
1334,1424443164
1333,1424442947
1332,1424428637
1331,1424422027
1330,1424381243
1329,1424357753
1328,1424298238
1327,1424295462
1326,1424293543
1325,1424292552
1324,1424242827
1323,1424139044
1322,1424129154
1321,1424129038
1320,1424120114
1319,1424099284
1318,1424094143
1317,1424083505
1316,1424048085
1315,1424023664
1314,1424022063
1313,1423982001
1312,1423971072
1311,1423971041
1310,1423930976
1309,1423923175
1308,1423908051
1307,1423883779
1306,1423861389
1305,1423833491
1304,1423822744
1303,1423814418
1302,1423773273
1301,1423771560
1300,1423768300
1299,1423741917
1298,1423741383
1297,1423741096
1296,1423738101
1295,1423736683
1294,1423713133
1293,1423709186
1292,1423664685
1291,1423664530
1290,1423662282
1289,1423652700
1288,1423638068
1287,1423606191
1286,1423605534
1285,1423600202
1284,1423545477
1283,1423520545
1282,1423520300
1281,1423514316
1280,1423492220
1279,1423475780
1278,1423475697
1277,1423438198
1276,1423437696
1275,1423434847
1274,1423427201
1273,1423422980
1272,1423371477
1271,1423348001
1270,1423326980
1269,1423322002
1268,1423310902
1267,1423245219
1266,1423243335
1265,1423236140
1264,1423206550
1263,1423162227
1262,1423146537
1261,1423116612
1260,1423092774
1259,1423089231
1258,1423078747
1257,1423068944
1256,1423063919
1255,1423062241
1254,1423056317
1253,1423048370
1252,1423035187
1251,1423034964
1250,1423020211
1249,1423019452
1248,1423011984
1247,1423006035
1246,1423002812
1245,1422994011
1244,1422993847
1243,1422978672
1242,1422964658
1241,1422957757
1240,1422945339
1239,1422942068
1238,1422914427
1237,1422907811
1236,1422907770
1235,1422897322
1234,1422895068
1233,1422894890
1232,1422889464
1231,1422887075
1230,1422876202
1229,1422875013
1228,1422872467
1227,1422869220
1226,1422869035
1225,1422861586
1224,1422860914
1223,1422857881
1222,1422827205
1221,1422824455
1220,1422822408
1219,1422822053
1218,1422806876
1217,1422799070
1216,1422797823
1215,1422789445
1214,1422741190
1213,1422736143
1212,1422733772
1211,1422733594
1210,1422733068
1209,1422726148
1208,1422725645
1207,1422725127
1206,1422724311
1205,1422712058
1204,1422705467
1203,1422664578
1202,1422646777
1201,1422645562
1200,1422611687
1199,1422549750
1198,1422546565
1197,1422517932
1196,1422517863
1195,1422502005
1194,1422413118
1193,1422377555
1192,1422340285
1191,1422202479
1190,1422118500
1189,1422116978
1188,1422083506
1187,1422044009
1186,1421954161
1185,1421677308
1184,1421530941
1183,1421505243
1182,1421489292
1181,1421379276
1180,1421355740
1179,1421354229
1178,1421351936
1177,1421349612
1176,1421325447
1175,1421278733
1174,1421252612
1173,1421247341
1172,1421188037
1171,1421156388
1170,1421146002
1169,1421004293
1168,1420820920
1167,1420715624
1166,1420668087
1165,1420570448
1164,1420546615
1163,1420540813
1162,1420493373
1161,1420409260
1160,1420409091
1159,1420326225
1158,1420284376
1157,1420269198
1156,1420208187
1155,1420097044
1154,1420062311
1153,1420016622
1152,1419990170
1151,1419898105
1150,1419840395
1149,1419838136
1148,1419658916
1147,1419496952
1146,1419485692
1145,1419421101
1144,1419365839
1143,1419233539
1142,1419100621
1141,1419077164
1140,1419020095
1139,1418976065
1138,1418675529
1137,1418648173
1136,1418449792
1135,1418399042
1134,1418382796
1133,1418379114
1132,1418376339
1131,1418363694
1130,1418337521
1129,1418327450
1128,1418318378
1127,1418265579
1126,1418261852
1125,1418232732
1124,1418134002
1123,1418133530
1122,1418108623
1121,1418106841
1120,1418071123
1119,1418037751
1118,1418032030
1117,1418000025
1116,1417940588
1115,1417896752
1114,1417877900
1113,1417869748
1112,1417862324
1111,1417860380
1110,1417816671
1109,1417793004
1108,1417636638
1107,1417583565
1106,1417581693
1105,1417556970
1104,1417551885
1103,1417479759
1102,1417478301
1101,1417351502
1100,1417351408
1099,1417275599
1098,1417275537
1097,1417275474
1096,1417275353
1095,1417275277
1094,1417274595
1093,1417265640
1092,1417263453
1091,1417241940
1090,1417237655
1089,1417206316
1088,1417186694
1087,1417185762
1086,1417183621
1085,1417176884
1084,1417155224
1083,1417074786
1082,1417048377
1081,1417026487
1080,1417024515
1079,1417024449
1078,1417005865
1077,1416998584
1076,1416997794
1075,1416992391
1074,1416981606
1073,1416977112
1072,1416976889
1071,1416976539
1070,1416975596
1069,1416973491
1068,1416962876
1067,1416958776
1066,1416958495
1065,1416957911
1064,1416957489
1063,1416955040
1062,1416954441
1061,1416953934
1060,1416953148
1059,1416950303
1058,1416950071
1057,1416945175
1056,1416944086
1055,1416942534
1054,1416940371
1053,1416938512
1052,1416925960
1051,1416923863
1050,1416922871
1049,1416919750
1048,1416919646
1047,1416919590
1046,1416906908
1045,1416897967
1044,1416888200
1043,1416875785
1042,1416859025
1041,1416855380
1040,1416811960
1039,1416775949
1038,1416767248
1037,1416764590
1036,1416763277
1035,1416762348
1034,1416756816
1033,1416746869
1032,1416745591
1031,1416614297
1030,1416605859
1029,1416596445
1028,1416558258
1027,1416555127
1026,1416514025
1025,1416467642
1024,1416438368
1023,1416438049
1022,1416436870
1021,1416436180
1020,1416424233
1019,1416422360
1018,1416410221
1017,1416367264
1016,1416360047
1015,1416359562
1014,1416359418
1013,1416358281
1012,1416358026
1011,1416331582
1010,1416330808
1009,1416328221
1008,1416296234
1007,1416289175
1006,1416288955
1005,1416269112
1004,1416170487
1003,1416153158
1002,1416152549
1001,1416072126
1000,1416065776
999,1416064616
998,1416040101
997,1416037179
996,1416004300
995,1416002555
994,1415986738
993,1415984397
992,1415917914
991,1415917726
990,1415903141
989,1415901304
988,1415900989
987,1415900504
986,1415877124
985,1415875666
984,1415860152
983,1415827820
982,1415818583
981,1415812617
980,1415809628
979,1415807130
978,1415756632
977,1415731986
976,1415724371
975,1415724113
974,1415702078
973,1415698158
972,1415695828
971,1415665390
970,1415641430
969,1415611902
968,1415571868
967,1415556101
966,1415548686
965,1415523782
