total,time
2751,1427135477
2750,1427134225
2749,1427133264
2748,1427129974
2747,1427129663
2746,1426882072
2745,1426800051
2744,1426725758
2743,1426717397
2742,1426713927
2741,1426627380
2740,1426607123
2739,1426277730
2738,1426231322
2737,1426189838
2736,1426167487
2735,1426123668
2734,1426093596
2733,1426085392
2732,1426021619
2731,1425750374
2730,1426005393
2729,1426003916
2728,1425930468
2727,1425923343
2726,1425910861
2725,1425673437
2724,1425508124
2723,1425502849
2722,1425419486
2721,1425346136
2720,1425309647
2719,1424997730
2718,1424986609
2717,1424972115
2716,1424879189
2715,1424825313
2714,1424812388
2713,1424803628
2712,1424795828
2711,1424743424
2710,1424731885
2709,1424730777
2708,1424729320
2707,1424720860
2706,1424720532
2705,1424718606
2704,1424715252
2703,1424495908
2702,1424488898
2701,1424476970
2700,1424453165
2699,1424453032
2698,1424450025
2697,1424415600
2696,1424394413
2695,1424370454
2694,1424308345
2693,1424306066
2692,1424303565
2691,1424275398
2690,1424204518
2689,1424193624
2688,1424193046
2687,1424114518
2686,1424090845
2685,1423862133
2684,1423851442
2683,1423778908
2682,1423774912
2681,1423763205
2680,1423761134
2679,1423756743
2678,1423693380
2677,1423689364
2676,1423666635
2675,1423651169
2674,1423635029
2673,1423634284
2672,1423602558
2671,1423601804
2670,1423585447
2669,1423581844
2668,1423504857
2667,1423275583
2666,1423256868
2665,1423159004
2664,1423076107
2663,1423040756
2662,1423003752
2661,1422999417
2660,1422926090
2659,1422922985
2658,1422897291
2657,1422891896
2656,1422641247
2655,1422630924
2654,1422607778
2653,1422572269
2652,1422569114
2651,1422562706
2650,1422562175
2649,1422557879
2648,1422557742
2647,1422557029
2646,1422555271
2645,1422553975
2644,1422553788
2643,1422552406
2642,1422551818
2641,1422551262
2640,1422472538
2639,1422465242
2638,1422393405
2637,1422355193
2636,1422353820
2635,1422299056
2634,1422059905
2633,1422040500
2632,1421971636
2631,1421965235
2630,1421962696
2629,1421961155
2628,1421956906
2627,1421952177
2626,1421875836
2625,1421869888
2624,1421858007
2623,1421858005
2622,1421773088
2621,1421765237
2620,1421441164
2619,1421440368
2618,1421439451
2617,1421425869
2616,1421366149
2615,1421345995
2614,1421345313
2613,1421342441
2612,1421278666
2611,1421275640
2610,1421260653
2609,1421259140
2608,1421174936
2607,1421130594
2606,1420835054
2605,1420832548
2604,1420823388
2603,1420747405
2602,1420746254
2601,1420680822
2600,1420662608
2599,1420662533
2598,1420658772
2597,1420656475
2596,1420647421
2595,1420565407
2594,1420559316
2593,1420559290
2592,1420491043
2591,1419916852
2590,1419372864
2589,1419292700
2588,1419018871
2587,1419014969
2586,1419014089
2585,1418944436
2584,1418857410
2583,1418768130
2582,1418672636
2581,1418672066
2580,1418670458
2579,1418667478
2578,1418251674
2577,1418250299
2576,1418247281
2575,1418228779
2574,1418067078
2573,1418060846
2572,1417908674
2571,1417821777
2570,1417820299
2569,1417814627
2568,1417730490
2567,1417728171
2566,1417711413
2565,1417619532
2564,1417563307
2563,1417551808
2562,1417534909
2561,1417473655
2560,1417462772
2559,1417019121
2558,1417018720
2557,1416969956
2556,1416944031
2555,1416862726
2554,1416607857
2553,1416597689
2552,1416596900
2551,1416521588
2550,1416349302
2549,1416346718
2548,1416342703
2547,1416252625
2546,1416013743
2545,1415989808
2544,1415924750
2543,1415903761
2542,1415728105
2541,1415666530
2540,1415649120
2539,1415648529
2538,1415646950
2537,1415640893
2536,1415392972
2535,1415390369
2534,1415314395
2533,1415304575
2532,1415300316
2531,1415230562
2530,1415224948
2529,1415219523
2528,1415219381
2527,1415133622
2526,1415078050
2525,1415065595
2524,1415043506
2523,1415042536
2522,1414783847
2521,1414687252
2520,1414608590
2519,1414600398
2518,1414600310
2517,1414596670
2516,1414594148
2515,1414593456
2514,1414593235
2513,1414515881
2512,1414507351
2511,1414506989
2510,1414506885
2509,1414506106
2508,1414503838
2507,1414429946
2506,1414191856
2505,1414191416
2504,1414191385
2503,1414190884
2502,1414179455
2501,1414160062
2500,1414084236
2499,1414082678
2498,1414081511
2497,1413906371
2496,1413849888
2495,1413841699
2494,1413828767
2493,1413571186
2492,1413502130
2491,1412888216
2490,1412110107
2489,1411766354
2488,1411757850
2487,1411683013
2486,1411665147
2485,1411664797
2484,1411664735
2483,1411584721
2482,1411581517
2481,1411579735
2480,1411570548
2479,1411506843
2478,1411505776
2477,1411503455
2476,1411501701
2475,1411498013
2474,1411494139
2473,1411492458
2472,1411422288
2471,1411158465
2470,1411082330
2469,1411080630
2468,1411078746
2467,1411069064
2466,1410985275
2465,1410805019
2464,1410798750
2463,1410794808
2462,1410531618
2461,1410472202
2460,1410469960
2459,1410456163
2458,1410370634
2457,1410138127
2456,1409945122
2455,1409938345
2454,1409925815
2453,1409869429
2452,1409857374
2451,1409831300
2450,1409775029
2449,1409774859
2448,1409758687
2447,1409666728
2446,1408941196
2445,1408560875
2444,1408560674
2443,1408560386
2442,1408559213
