total,time
533,1428756708
532,1428739221
531,1428733829
530,1428702375
529,1428666334
528,1428657773
527,1428586375
526,1428578344
525,1428567202
524,1428561881
523,1428518086
522,1428493082
521,1428476488
520,1428472499
519,1428463208
518,1428393088
517,1428390794
516,1428382809
515,1428376796
514,1428297381
513,1428224655
512,1428214562
511,1428154069
510,1428150618
509,1428131131
508,1428069230
507,1428063465
506,1428057920
505,1428056202
504,1428028400
503,1428016157
502,1427997023
501,1427990376
500,1427972253
499,1427942118
498,1427893011
497,1427884285
496,1427883824
495,1427875987
494,1427872177
493,1427870401
492,1427869993
491,1427869566
490,1427858424
489,1427858247
488,1427858241
487,1427854860
486,1427822785
485,1427811520
484,1427800527
483,1427792760
482,1427791894
481,1427785393
480,1427780313
479,1427777717
478,1427773668
477,1427704172
476,1427703794
475,1427684184
474,1427679922
473,1427628558
472,1427623087
471,1427614305
470,1427542851
469,1427513228
468,1427453639
467,1427445969
466,1427432925
465,1427424641
464,1427423194
463,1427420967
462,1427415218
461,1427350761
460,1427348883
459,1427339317
458,1427334529
457,1427322012
456,1427258196
455,1427254099
454,1427253935
453,1427245515
452,1427192036
451,1427191155
450,1427182726
449,1427157155
448,1427127365
447,1427108004
446,1427105121
445,1427103899
444,1427094769
443,1427065647
442,1426979477
441,1426962895
440,1426941007
439,1426932834
438,1426901573
437,1426838303
436,1426819564
435,1426759307
434,1426746913
433,1426743288
432,1426715745
431,1426714706
430,1426675867
429,1426674139
428,1426672687
427,1426663017
426,1426658626
425,1426640049
424,1426606374
423,1426600185
422,1426583127
421,1426505900
420,1426483110
419,1426476736
418,1426452876
417,1426448578
416,1426442638
415,1426431876
414,1426425353
413,1426388530
412,1426288201
411,1426253180
410,1426252532
409,1426251749
408,1426241458
407,1426232370
406,1426228454
405,1426178324
404,1426166749
403,1426164668
402,1426161244
401,1426152662
400,1426152120
399,1426146703
398,1426122082
397,1426100763
396,1426081178
395,1426066193
394,1426036774
393,1425973521
392,1425973387
391,1425967092
390,1425964185
389,1425956666
388,1425891932
387,1425877288
386,1425871973
385,1425828487
384,1425815229
383,1425777890
382,1425740218
381,1425737649
380,1425712731
379,1425712545
378,1425700947
377,1425633074
376,1425600955
375,1425571243
374,1425553084
373,1425547374
