total,time
2029,1428768200
2028,1428682972
2027,1428657968
2026,1428618452
2025,1428388449
2024,1428339107
2023,1428182277
2022,1428078682
2021,1427879051
2020,1427840848
2019,1427826119
2018,1427760815
2017,1427630376
2016,1427463352
2015,1427357722
2014,1427300295
2013,1427293075
2012,1427152573
2011,1427067405
2010,1426926160
2009,1426860762
2008,1426805603
2007,1426776649
2006,1426773590
2005,1426735050
2004,1426734782
2003,1426616590
2002,1426576370
2001,1426544962
2000,1426282458
1999,1426184849
1998,1426182116
1997,1426128168
1996,1426074080
1995,1426024110
1994,1425987201
1993,1425985921
1992,1425958344
1991,1425915362
1990,1425740943
1989,1425681273
1988,1425676020
1987,1425585136
1986,1425564133
1985,1425470249
1984,1425344737
1983,1425312160
1982,1425045584
1981,1424704132
1980,1424556088
1979,1424529298
1978,1424391145
1977,1424361288
1976,1424277016
1975,1424222707
1974,1423842124
1973,1423832700
1972,1423739766
1971,1423738214
1970,1423666701
1969,1423666090
1968,1423518168
1967,1423448491
1966,1423254205
1965,1423223848
1964,1423223658
1963,1423223606
1962,1423068195
1961,1422913738
1960,1422906722
1959,1422597065
1958,1422569913
1957,1422550528
1956,1422545771
1955,1422542503
1954,1422542358
1953,1422478471
1952,1421958806
1951,1421871119
1950,1421436752
1949,1421431679
1948,1421330414
1947,1421258984
1946,1421172053
1945,1421158406
1944,1421090727
1943,1421058862
1942,1421044104
1941,1421004946
1940,1420849694
1939,1420839294
1938,1420566677
1937,1420475343
1936,1419978557
1935,1419972241
1934,1419940877
1933,1419892756
1932,1419870416
1931,1419374680
1930,1419371510
1929,1419371375
1928,1419322028
1927,1419272737
1926,1418925173
1925,1418923105
1924,1418850388
1923,1418843178
1922,1418833385
1921,1418715915
1920,1418710757
1919,1418650942
1918,1418568249
1917,1418411649
1916,1418375093
1915,1418311491
1914,1418300657
1913,1418285660
1912,1418206998
1911,1418083598
1910,1418082017
1909,1418080809
1908,1418080000
1907,1418079430
1906,1418078334
1905,1417819366
1904,1417806522
1903,1417716171
1902,1417622503
1901,1417615971
1900,1417559753
1899,1417552656
1898,1417179238
1897,1417109187
1896,1416932428
1895,1416606986
1894,1416473934
1893,1416472562
1892,1416263931
1891,1416087205
1890,1415992016
1889,1415984195
1888,1415983577
1887,1415792060
1886,1415719276
1885,1415387401
1884,1415256430
1883,1415234472
1882,1415230446
1881,1415198430
1880,1415173041
1879,1415164785
1878,1415136645
1877,1415005582
1876,1415005202
1875,1414996605
1874,1414880118
1873,1414778528
1872,1414778526
1871,1414778524
1870,1414778522
1869,1414778520
1868,1414778518
1867,1414778516
1866,1414778513
1865,1414778511
1864,1414778509
1863,1414778507
1862,1414778505
1861,1414778503
1860,1414778501
1859,1414778499
1858,1414778496
1857,1414778494
1856,1414778492
1855,1414778490
1854,1414778488
1853,1414778486
1852,1414778484
1851,1414778482
1850,1414778479
1849,1414778477
1848,1414778475
1847,1414778473
1846,1414778471
1845,1414778469
1844,1414778467
1843,1414778465
1842,1414778463
1841,1414778460
1840,1414778458
1839,1414778456
1838,1414778454
1837,1414778452
1836,1414778450
1835,1414778448
1834,1414778446
1833,1414778444
1832,1414778442
1831,1414778439
1830,1414778437
1829,1414778435
1828,1414778433
1827,1414778431
1826,1414778429
1825,1414778427
1824,1414778425
1823,1414778422
1822,1414778420
1821,1414778418
1820,1414778416
1819,1414778414
1818,1414778412
1817,1414778409
1816,1414778407
1815,1414778405
1814,1414778403
1813,1414778400
1812,1414778398
1811,1414778396
1810,1414778394
1809,1414778392
1808,1414778390
1807,1414778388
1806,1414778386
1805,1414778384
1804,1414778382
1803,1414778380
1802,1414778377
1801,1414778375
1800,1414778373
1799,1414778371
1798,1414778369
1797,1414778367
1796,1414778365
1795,1414778363
1794,1414778361
1793,1414778359
1792,1414778357
1791,1414778354
1790,1414778352
1789,1414778350
1788,1414778348
1787,1414778346
1786,1414778344
1785,1414778342
1784,1414778340
1783,1414778338
1782,1414778336
1781,1414778334
1780,1414778331
1779,1414778329
1778,1414778327
1777,1414778325
1776,1414778323
1775,1414778321
1774,1414778319
1773,1414778317
1772,1414778315
1771,1414778313
1770,1414778311
1769,1414778308
1768,1414778306
1767,1414778304
1766,1414778302
1765,1414778300
1764,1414778298
1763,1414778296
1762,1414778294
1761,1414778292
1760,1414778290
1759,1414778287
1758,1414778285
1757,1414778283
1756,1414778281
1755,1414778279
1754,1414778277
1753,1414778275
1752,1414778272
1751,1414778270
1750,1414778268
1749,1414778266
1748,1414778264
1747,1414778262
1746,1414778260
1745,1414778258
1744,1414778256
1743,1414778253
1742,1414778251
1741,1414778249
1740,1414778247
1739,1414778245
1738,1414778243
1737,1414778241
1736,1414778239
1735,1414778237
1734,1414778234
1733,1414778232
1732,1414778230
1731,1414778228
1730,1414778226
1729,1414778224
1728,1414778222
1727,1414778220
1726,1414778218
1725,1414778216
1724,1414778214
1723,1414778211
1722,1414778209
1721,1414778207
1720,1414778205
1719,1414778203
1718,1414778201
1717,1414778199
1716,1414778197
1715,1414778195
1714,1414778192
1713,1414778190
1712,1414778188
1711,1414778186
1710,1414778184
1709,1414778182
1708,1414778180
1707,1414778178
1706,1414778176
1705,1414778174
1704,1414778172
1703,1414778169
1702,1414778167
1701,1414778165
1700,1414778163
1699,1414778161
1698,1414778159
1697,1414778157
1696,1414778155
1695,1414778153
1694,1414778151
1693,1414778148
1692,1414778146
1691,1414778144
1690,1414778142
1689,1414778140
1688,1414778138
1687,1414778136
1686,1414778134
1685,1414778132
1684,1414778130
1683,1414778127
1682,1414778125
1681,1414778123
1680,1414778121
1679,1414778119
1678,1414778117
1677,1414778115
1676,1414778113
1675,1414778111
1674,1414778109
1673,1414778106
1672,1414778104
1671,1414778102
1670,1414778100
1669,1414778098
1668,1414778096
1667,1414778094
1666,1414778092
1665,1414778090
1664,1414778088
1663,1414778085
1662,1414778083
1661,1414778081
1660,1414778079
1659,1414778077
1658,1414778075
1657,1414778073
1656,1414778070
1655,1414778068
1654,1414778066
1653,1414778064
1652,1414778062
1651,1414778060
1650,1414778058
1649,1414778056
1648,1414778054
1647,1414778052
1646,1414778050
1645,1414778048
1644,1414778045
1643,1414778043
1642,1414778041
1641,1414778039
1640,1414778037
1639,1414778035
1638,1414778033
1637,1414778031
1636,1414778029
1635,1414778027
1634,1414778024
1633,1414778022
1632,1414778020
1631,1414778018
1630,1414778016
1629,1414778014
1628,1414778012
1627,1414778010
1626,1414778008
1625,1414778006
1624,1414778004
1623,1414778001
1622,1414777999
1621,1414777997
1620,1414777995
1619,1414777993
1618,1414777991
1617,1414777989
1616,1414777987
1615,1414777984
1614,1414777982
1613,1414777980
1612,1414777978
1611,1414777976
1610,1414777974
1609,1414777972
1608,1414777970
1607,1414777968
1606,1414777966
1605,1414777963
1604,1414777961
1603,1414777959
1602,1414777957
1601,1414777955
1600,1414777953
1599,1414777951
1598,1414777949
1597,1414777947
1596,1414777945
1595,1414777943
1594,1414777940
1593,1414777938
1592,1414777936
1591,1414777934
1590,1414777932
1589,1414777930
1588,1414777928
1587,1414777926
1586,1414777923
1585,1414777921
1584,1414777919
1583,1414777917
1582,1414777915
1581,1414777913
1580,1414777910
1579,1414777908
1578,1414777906
1577,1414777904
1576,1414777902
1575,1414777900
1574,1414777898
1573,1414777896
1572,1414777894
1571,1414777891
1570,1414777889
1569,1414777887
1568,1414777885
1567,1414777883
1566,1414777881
1565,1414777879
1564,1414777877
1563,1414777875
1562,1414777873
1561,1414777871
1560,1414777868
1559,1414777866
1558,1414777864
1557,1414777862
1556,1414777860
1555,1414777858
1554,1414777856
1553,1414777854
1552,1414777852
1551,1414777850
1550,1414777848
1549,1414777845
1548,1414777843
1547,1414777841
1546,1414777839
1545,1414777837
1544,1414777835
1543,1414777833
1542,1414777831
1541,1414777829
1540,1414777827
1539,1414777824
1538,1414777822
1537,1414777820
1536,1414777818
1535,1414777816
1534,1414777814
1533,1414777812
1532,1414777810
1531,1414777808
1530,1414777805
1529,1414777803
1528,1414777801
1527,1414777799
1526,1414777797
1525,1414777795
1524,1414777793
1523,1414777791
1522,1414777788
1521,1414777786
1520,1414777784
1519,1414777782
1518,1414777780
1517,1414777778
1516,1414777776
1515,1414777774
1514,1414777771
1513,1414777769
1512,1414777767
1511,1414777765
1510,1414777763
1509,1414777761
1508,1414777759
1507,1414777757
1506,1414777754
1505,1414777752
1504,1414777750
1503,1414777748
1502,1414777746
1501,1414777744
1500,1414777742
1499,1414777740
1498,1414777738
1497,1414777735
1496,1414777733
1495,1414777731
1494,1414777729
1493,1414777727
1492,1414777725
1491,1414777723
1490,1414777721
1489,1414777719
1488,1414777717
1487,1414777715
1486,1414777712
1485,1414777710
1484,1414777708
1483,1414777706
1482,1414777704
1481,1414777702
1480,1414777700
1479,1414777698
1478,1414777696
1477,1414777694
1476,1414777691
1475,1414777689
1474,1414777687
1473,1414777685
1472,1414777683
1471,1414777681
1470,1414777679
1469,1414777677
1468,1414777674
1467,1414777672
1466,1414777670
1465,1414777668
1464,1414777666
1463,1414777664
1462,1414777662
1461,1414777660
1460,1414777658
1459,1414777656
1458,1414777653
1457,1414777651
1456,1414777649
1455,1414777647
1454,1414777645
1453,1414777643
1452,1414777641
1451,1414777639
1450,1414777637
1449,1414777634
1448,1414777632
1447,1414777630
1446,1414777628
1445,1414777626
1444,1414777624
1443,1414777622
1442,1414777620
1441,1414777618
1440,1414777616
1439,1414777614
1438,1414777611
1437,1414777609
1436,1414777607
1435,1414777605
1434,1414777603
1433,1414777601
1432,1414777599
1431,1414777597
1430,1414777595
1429,1414777593
1428,1414777591
1427,1414777588
1426,1414777586
1425,1414777584
1424,1414777582
1423,1414777580
1422,1414777578
1421,1414777576
1420,1414777574
1419,1414777572
1418,1414777570
1417,1414777568
1416,1414777565
1415,1414777563
1414,1414777561
1413,1414777559
1412,1414777557
1411,1414777555
1410,1414777553
1409,1414777551
1408,1414777548
1407,1414777546
1406,1414777544
1405,1414777542
1404,1414777540
1403,1414777538
1402,1414777536
1401,1414777534
1400,1414777532
1399,1414777530
1398,1414777527
1397,1414777525
1396,1414777523
1395,1414777521
1394,1414777519
1393,1414777517
1392,1414777515
1391,1414777513
1390,1414777511
1389,1414777509
1388,1414777506
1387,1414777504
1386,1414777502
1385,1414777500
1384,1414777498
1383,1414777496
1382,1414777494
1381,1414777492
1380,1414777490
1379,1414777488
1378,1414777485
1377,1414777483
1376,1414777481
1375,1414777479
1374,1414777477
1373,1414777475
1372,1414777473
1371,1414777471
1370,1414777469
1369,1414777467
1368,1414777464
1367,1414777462
1366,1414777460
1365,1414777458
1364,1414777456
1363,1414777454
1362,1414777452
1361,1414777450
1360,1414777448
1359,1414777446
1358,1414777443
1357,1414777441
1356,1414777441
1355,1414777439
1354,1414777437
1353,1414777435
1352,1414777433
1351,1414777431
1350,1414777428
1349,1414777426
1348,1414777424
1347,1414777422
1346,1414777420
1345,1414777418
1344,1414777418
1343,1414777416
1342,1414777414
1341,1414777412
1340,1414777410
1339,1414777407
1338,1414777405
1337,1414777403
1336,1414777401
1335,1414777399
1334,1414777397
1333,1414777395
1332,1414777393
1331,1414777391
1330,1414777389
1329,1414777386
1328,1414777384
1327,1414777382
1326,1414777380
1325,1414777378
1324,1414777376
1323,1414777374
1322,1414777372
1321,1414777370
1320,1414777367
1319,1414777365
1318,1414777363
