total,time
1419,1428509689
1418,1428258827
1417,1427226695
1416,1427141087
1415,1426879785
1414,1425319896
1413,1427128449
1412,1426957275
1411,1424882954
1410,1424819501
1409,1424475037
1408,1424474396
1407,1424459029
1406,1424457850
1405,1424399812
1404,1424297383
1403,1424290033
1402,1424196732
1401,1423611464
1400,1423090474
1399,1423021172
1398,1422925012
1397,1422914873
1396,1422909925
1395,1422325070
1394,1422312159
1393,1420678911
1392,1420489970
1391,1418942656
1390,1418661663
1389,1422139274
1388,1421723853
1387,1420645421
1386,1420645037
1385,1419046730
1384,1417823093
1383,1417820728
1382,1415386817
1381,1415385485
1380,1415382223
1379,1415313118
1378,1415136772
1377,1415120878
1376,1415115167
1375,1415114201
1374,1415112166
1373,1415103971
1372,1414517415
1371,1414190165
1370,1413925726
1369,1413925185
1368,1413922128
1367,1413913130
1366,1413837048
1365,1413836163
1364,1413829762
1363,1413826371
1362,1413826439
1361,1413578958
1360,1413824922
1359,1413643263
1358,1413548384
1357,1412901765
1356,1412880528
1355,1412789259
1354,1412721132
1353,1412693210
1352,1412607027
1351,1412606830
1350,1408284047
1349,1412429757
1348,1410110417
1347,1410110365
1346,1412351275
1345,1412334423
1344,1411596314
1343,1411592382
1342,1411590367
1341,1411590355
1340,1411057288
1339,1410547121
1338,1410446684
1337,1410381364
1336,1410799725
1335,1410792911
1334,1410101314
1333,1408283041
1332,1407791425
1331,1407791172
1330,1407790338
1329,1407785940
1328,1407785752
1327,1407777862
1326,1407777784
1325,1407608464
1324,1407542099
1323,1407521835
1322,1407432301
1321,1407429994
1320,1407375981
1319,1407354894
1318,1407340642
1317,1407340586
1316,1407340525
1315,1407340469
1314,1407340411
1313,1406470083
1312,1406293816
1311,1406252368
1310,1406121176
1309,1406065934
1308,1405977202
1307,1405970342
1306,1405969928
1305,1405965088
1304,1405875951
1303,1405875789
1302,1405692084
1301,1405691006
1300,1405689576
1299,1405637820
1298,1405635548
1297,1405526070
1296,1405523971
1295,1403768336
1294,1405104310
1293,1405103559
1292,1405102829
1291,1405037532
1290,1405035238
1289,1405030997
1288,1405029428
1287,1405027213
1286,1405024412
1285,1405024342
1284,1405024307
1283,1405018832
1282,1404997042
1281,1404961844
1280,1404953999
1279,1404952255
1278,1404952223
1277,1404952187
1276,1404952151
1275,1404952115
1274,1404952080
1273,1404935677
1272,1404935244
1271,1404934936
1270,1404934506
1269,1404932333
1268,1404931677
1267,1404931421
1266,1404931140
1265,1404929695
1264,1404929182
1263,1404928791
1262,1404928791
1261,1404928573
1260,1404924846
1259,1404867090
1258,1404845663
1257,1404767814
1256,1404767784
1255,1404767764
1254,1404248173
1253,1404248103
1252,1404248021
1251,1404247979
1250,1404247886
1249,1401225800
1248,1400883552
1247,1400774587
1246,1400704259
1245,1400643311
1244,1399732484
1243,1399732456
1242,1399092246
1241,1399092219
1240,1399092190
1239,1399092159
1238,1399092128
1237,1399092098
1236,1399092036
1235,1399092005
1234,1399091975
1233,1399091937
1232,1399091906
1231,1397171931
1230,1397171906
1229,1397171881
1228,1397171857
1227,1397171831
1226,1396974384
1225,1396974333
1224,1396974295
1223,1396390251
1222,1396390193
1221,1396390133
1220,1396390075
1219,1396390022
1218,1396389847
1217,1396290799
1216,1395373142
1215,1395373054
1214,1395371617
1213,1395371392
1212,1395371166
1211,1395370054
1210,1395370025
1209,1395348997
1208,1394474321
1207,1394470321
1206,1394470277
1205,1394470234
1204,1394470186
1203,1394470145
1202,1392317732
1201,1392316644
1200,1391539036
1199,1391538462
1198,1386805281
1197,1386805258
1196,1386617179
1195,1386442386
1194,1386442236
1193,1386442180
1192,1386441763
1191,1386441449
1190,1386441304
1189,1386441252
1188,1386441182
1187,1386440638
1186,1386438454
1185,1386367705
1184,1386367681
1183,1386367654
1182,1386367627
1181,1386367600
1180,1386367572
1179,1386367544
1178,1386367517
1177,1386367488
1176,1386367458
1175,1384326442
1174,1384326391
1173,1384326364
1172,1381007139
1171,1381007093
1170,1379723933
1169,1379723550
1168,1379723427
1167,1379527190
1166,1379527140
1165,1379527085
1164,1379527055
1163,1379527014
1162,1379526921
1161,1379526921
1160,1376071815
1159,1376071793
1158,1376071656
1157,1376071627
1156,1376071585
1155,1376071527
1154,1376071505
1153,1376071440
1152,1375321989
1151,1375311415
1150,1375114724
1149,1375114601
1148,1372293791
1147,1372282476
1146,1372282453
1145,1370559347
1144,1368728001
1143,1368727568
1142,1368727254
1141,1368726791
1140,1368716180
1139,1368715781
1138,1368670307
1137,1368669925
1136,1368669574
1135,1368668355
1134,1368665565
1133,1368664372
1132,1368661521
1131,1368648983
1130,1346406093
1129,1346404496
1128,1338508484
1127,1338508444
1126,1338140646
1125,1338140611
1124,1338140576
1123,1338140533
1122,1338140427
1121,1338140399
1120,1338140367
1119,1338140310
1118,1330629686
1117,1330309492
1116,1330309399
