total,time
243,1428655420
242,1428647334
241,1428509413
240,1428404368
239,1428225312
238,1428044898
237,1428022140
236,1427887965
235,1427855149
234,1427769229
233,1427693674
232,1427686244
231,1427523602
230,1427377203
229,1427189559
228,1427188505
227,1427100738
226,1427007162
225,1426969208
224,1426956074
223,1426784585
222,1426745669
221,1426714885
220,1426656933
219,1426609109
218,1426583108
217,1426444695
216,1426401464
215,1426362316
214,1426172434
213,1426154597
212,1426141669
211,1426127736
210,1426058153
209,1426057426
208,1426005900
207,1425946272
206,1425747696
205,1425143156
204,1425118038
203,1425106471
202,1425101005
201,1424923052
200,1424638713
199,1424498714
198,1424483244
197,1424217581
196,1424107555
195,1423919675
194,1423823712
193,1423621186
192,1423370580
191,1423191071
190,1423121081
189,1423104300
188,1423001696
187,1422717357
186,1422505155
185,1422498625
184,1422469591
183,1422351696
182,1422341926
181,1422301277
180,1422257677
179,1422113229
178,1421884030
177,1421847065
176,1421824074
175,1421822043
174,1421645772
173,1421635926
172,1421633393
171,1421598870
170,1421573269
169,1421512687
168,1421505381
167,1421429220
166,1421396835
165,1421234980
164,1421043806
163,1421038216
162,1420971495
161,1420941995
160,1420813331
159,1420802939
158,1420798752
157,1420797401
156,1420780069
155,1420747863
154,1420704322
153,1420367629
152,1420215163
151,1420012339
150,1419696164
149,1419554329
148,1419542789
147,1419540399
146,1418999528
145,1418983285
144,1418924355
143,1418890671
142,1418889826
141,1418788097
140,1418785686
139,1418612590
138,1418564447
137,1418552498
136,1418361995
135,1418360492
134,1418111743
133,1417875186
132,1417716436
131,1417492178
130,1417459646
129,1417413294
128,1417352407
127,1417329012
126,1417156552
125,1417151317
124,1416917122
123,1416880209
122,1416822424
121,1416558126
120,1416477171
119,1415963385
118,1415841036
117,1415761654
116,1415726695
115,1415672522
114,1415634450
113,1415526373
112,1415521932
111,1415471596
110,1415359738
109,1415278238
108,1415203066
107,1415199511
106,1415095222
105,1414914928
104,1414572382
103,1414463759
102,1414404336
101,1414086838
100,1414034232
99,1413973852
98,1413795423
97,1413555379
96,1413547870
95,1413532353
94,1413426542
93,1413343671
92,1413305820
91,1413276899
90,1413269364
89,1412990692
88,1412915699
87,1412880129
86,1412757895
85,1412674256
84,1412548133
83,1412334026
82,1412279872
81,1412249199
80,1412015422
79,1411667186
78,1411590038
77,1411520297
76,1411290740
75,1411281683
74,1411264708
73,1411134207
72,1411125030
71,1411096983
70,1411024693
69,1410860418
68,1410834470
67,1410831760
66,1410691330
65,1410666829
64,1410444745
63,1410346742
62,1410335195
61,1410200612
60,1410134134
59,1409860300
58,1409842679
57,1409790962
56,1409707849
55,1409705957
54,1409491679
53,1409245528
52,1409163644
51,1409068915
50,1408679827
49,1408663048
48,1408643509
47,1408613285
46,1408548691
45,1408394794
44,1408356164
43,1408347157
42,1408282941
41,1408278685
40,1408022160
39,1407790308
38,1407742389
37,1407683270
36,1407608699
35,1407477836
34,1407343090
33,1407335320
32,1407248126
31,1407232476
30,1407135949
29,1406856905
28,1406800929
27,1406784703
26,1406724035
25,1406487957
24,1406247965
23,1406194619
22,1406192990
21,1406146149
20,1406115387
19,1406087125
18,1405716134
17,1405651792
16,1405495609
15,1405429007
14,1405376063
13,1405320679
12,1405317200
11,1405184393
10,1405115182
9,1405102202
8,1405090719
7,1405040229
6,1404973324
5,1404955091
4,1404898248
3,1404865938
2,1404837705
1,1404771201
