total,time
914,1428783055
913,1428064923
912,1427150268
911,1426958018
910,1426869335
909,1426646019
908,1425143459
907,1424938055
906,1424729916
905,1424460608
904,1424247187
903,1423611712
902,1423005119
901,1422904156
900,1422639226
899,1422403319
898,1422336294
897,1422141052
896,1422032647
895,1421912342
894,1421909063
893,1421436219
892,1420873935
891,1420741806
890,1420217310
889,1419047416
888,1418968098
887,1418895386
886,1418894641
885,1417821341
884,1417789048
883,1417738004
882,1416648064
881,1415972534
880,1415727675
879,1415389290
878,1415384696
877,1415374251
876,1415372508
875,1415027844
874,1414860451
873,1414801251
872,1414785581
871,1414783839
870,1414523481
869,1414504969
868,1414439719
867,1414161050
866,1414089251
865,1414084457
864,1413834117
863,1413825366
862,1413548407
861,1413547793
860,1412880639
859,1412787088
858,1412633346
857,1412335447
856,1411594988
855,1411590611
854,1411584223
853,1411542158
852,1411414371
851,1410793083
850,1410790974
849,1410789883
848,1410763348
847,1410671566
846,1410617376
845,1410111187
844,1410103974
843,1409835448
842,1409109312
841,1408712824
840,1408455546
839,1408284259
838,1408283788
837,1408104096
836,1408040716
835,1407790350
834,1407778178
833,1407608679
832,1407522005
831,1407430008
830,1407429767
829,1407348526
828,1406569754
827,1406293874
826,1406252091
825,1406211190
824,1406018466
823,1405977540
822,1405876206
821,1405635840
820,1405510660
819,1405456156
818,1405103183
817,1405102321
816,1405031048
815,1405024949
814,1404952747
813,1404931483
812,1404867322
811,1404760513
810,1404760512
809,1404760508
808,1404760507
807,1404760504
806,1404760499
805,1404760498
804,1404760495
803,1404760494
802,1404760493
801,1404760491
800,1404760491
799,1404760489
798,1404760487
797,1404760486
796,1404760484
795,1404760478
794,1404760476
793,1404760474
792,1404760473
791,1404760471
790,1404760469
789,1404760467
788,1404760466
787,1404760464
786,1404760463
785,1404760457
784,1404760454
783,1404760452
782,1404760448
781,1404760447
780,1404760446
779,1404760444
778,1404760441
777,1404760438
776,1404760435
775,1404760433
774,1404760431
773,1404760431
772,1404760429
771,1404760424
770,1404760423
769,1404760420
768,1404760418
767,1404760416
766,1404760414
765,1404760413
764,1404760411
763,1404760409
762,1404760408
761,1404760406
760,1404760295
759,1404760291
758,1404760287
757,1404760278
756,1404760273
755,1404760269
754,1404760266
753,1404760265
752,1404760263
751,1404760261
750,1404760259
749,1404760258
748,1404760256
747,1404760255
746,1404760254
745,1404760253
744,1404760251
743,1404760248
742,1404760246
741,1404760245
740,1404760243
739,1404760241
738,1404760240
737,1404760237
736,1404760236
735,1404760234
734,1404760232
733,1404760231
732,1404760230
731,1404760228
730,1404760226
729,1404760222
728,1404760220
727,1404760220
726,1404760218
725,1404760216
724,1404760215
723,1404760214
722,1404760211
721,1404760209
