total,time
488,1411485403
487,1411485394
486,1411485377
485,1393612350
484,1393348724
483,1393343378
482,1393312882
481,1393312759
480,1393309373
479,1393309344
478,1392823074
477,1392404786
476,1392319315
475,1392319296
474,1392318451
473,1392318432
472,1392318405
471,1392253067
470,1392252903
469,1391813754
468,1391813501
467,1391810842
466,1391810773
465,1391809947
464,1391808217
463,1391807945
462,1391807614
461,1391807608
460,1391807587
459,1391807573
458,1391806622
457,1391800350
456,1391800010
455,1391794612
454,1391794306
453,1391793369
452,1391792560
451,1391753377
450,1391748742
449,1391748478
448,1391725505
447,1391725505
446,1391736365
445,1391725121
444,1391724265
443,1391723888
442,1391723855
441,1391723547
440,1391723356
439,1391721486
438,1391721462
437,1391721237
436,1391714313
435,1391713068
434,1391712548
433,1391712471
432,1391672995
431,1391671746
430,1391662973
429,1391662923
428,1391662865
427,1391646670
426,1391645178
425,1391641671
424,1391641524
423,1391641516
422,1391641168
421,1391640383
420,1391640368
419,1391639847
418,1391638624
417,1391638567
416,1391637168
415,1391637157
414,1391637911
413,1391637765
412,1391637432
411,1391635183
410,1391635071
409,1391633389
408,1391632237
407,1391629005
406,1391625562
405,1391625494
404,1391625469
403,1391625770
402,1391625239
401,1391616714
400,1391576132
399,1391562447
398,1391562147
397,1391560809
396,1391559682
395,1391557565
394,1391553707
393,1391553698
392,1391553686
391,1391553678
390,1391552007
389,1391551376
388,1391549954
387,1391549040
386,1391549010
385,1391548948
384,1391547162
383,1391535541
382,1391544193
381,1391543837
380,1391541707
379,1391541137
378,1391541112
377,1391540925
376,1391540886
375,1391539798
374,1391539379
373,1391539339
372,1391537213
371,1391535799
370,1391535619
369,1391513575
368,1391511846
367,1391511821
366,1391511805
365,1391510162
364,1391509575
363,1391507004
362,1391506277
361,1391505823
360,1391505597
359,1391505387
358,1391504212
357,1391502131
356,1391501775
355,1391501090
354,1391501013
353,1391476273
352,1391475343
351,1391475014
350,1391465665
349,1391465245
348,1391465189
347,1391463963
346,1391461821
345,1391461671
344,1391461661
343,1391461061
342,1391460677
341,1391460062
340,1391459970
339,1391459945
338,1391457879
337,1391457690
336,1391457163
335,1391455363
334,1391454762
333,1391454750
332,1391454433
331,1391453899
330,1391305052
329,1391275808
328,1391274009
327,1391271739
326,1391269090
325,1391234044
324,1391228212
323,1391227560
322,1391213974
321,1391213908
320,1391208633
319,1391208512
318,1391206420
317,1391206282
316,1391205969
315,1391205368
314,1391205257
313,1391205155
312,1391204210
311,1391201041
310,1391200997
309,1391197031
308,1391196483
307,1391190562
306,1391190533
305,1391190444
304,1391125361
303,1391124724
302,1391124175
301,1391124036
300,1391124019
299,1391123895
298,1391123881
297,1391123625
296,1391123519
295,1391123433
294,1391123117
293,1391122939
292,1391121994
291,1391121088
290,1391118746
289,1391118020
288,1391117960
287,1391117718
286,1391115962
285,1391114494
284,1391111322
283,1391106957
282,1391102152
281,1391102103
280,1391099076
279,1391099063
278,1391056452
277,1391039362
276,1391039350
275,1391029321
274,1391029171
273,1391016631
272,1391016572
271,1391016552
270,1391028905
269,1391024981
268,1391024952
267,1391024306
266,1391023925
265,1391016133
264,1391010494
263,1390937275
262,1390936408
261,1390933997
260,1390933396
259,1390932604
258,1390930790
257,1390930327
256,1390871046
255,1390870607
254,1390867805
253,1390862110
252,1390857131
251,1390857007
250,1390856959
249,1390609989
248,1390608124
247,1390606048
246,1390604748
245,1390599983
244,1390599938
243,1390598684
242,1390597508
241,1390594326
240,1390594216
239,1390592105
238,1390591923
237,1390591669
236,1390589896
235,1390588140
234,1390587560
233,1390587505
232,1390587491
231,1390587474
230,1390587221
229,1390584786
228,1390580502
227,1390524487
226,1390521991
225,1390521584
224,1390519312
223,1390519308
222,1390519116
221,1390519092
220,1390519063
219,1390518708
218,1390517541
217,1390516318
216,1390515983
215,1390512816
214,1390503948
213,1390503532
212,1390502053
211,1390501901
210,1390501402
209,1390497304
208,1390492857
207,1390492855
206,1390492809
205,1390492792
204,1390492752
203,1390431461
202,1390428005
