total,time
321,1394304989
320,1394304964
319,1394304928
318,1393524731
317,1393347709
316,1393344682
315,1393333829
314,1393262711
313,1392740141
312,1392311188
311,1392302666
310,1392249571
309,1391975667
308,1391975534
307,1391815824
306,1391815790
305,1391815744
304,1391815711
303,1391815135
302,1391814955
301,1391814927
300,1391814839
299,1391813841
298,1391811564
297,1391807210
296,1391804047
295,1391795955
294,1391795809
293,1391792242
292,1391723158
291,1391711371
290,1391710333
289,1391710023
288,1391709939
287,1391709802
286,1391709758
285,1391709657
284,1391708042
283,1391707800
282,1391707760
281,1391707534
280,1391706091
279,1391706045
278,1391705855
277,1391705410
276,1391704666
275,1391701881
274,1391667229
273,1391663476
272,1391646033
271,1391646003
270,1391642089
269,1391631729
268,1391626510
267,1391625682
266,1391556091
265,1391556062
264,1391554651
263,1391554513
262,1391551678
261,1391549900
260,1391542123
259,1391541490
258,1391539474
257,1391535155
256,1391535099
255,1391535064
254,1391535026
253,1391488477
252,1391488384
251,1391488340
250,1391488307
249,1391488202
248,1391488165
247,1391488131
246,1391488079
245,1391488039
244,1391487905
243,1391471376
242,1391471352
241,1391471260
240,1391471249
239,1391471235
238,1391471173
237,1391471129
236,1391471098
235,1391471053
234,1391471018
233,1391470959
232,1391470893
231,1391470829
230,1391470788
229,1391470740
228,1391465385
227,1391463009
226,1391453329
225,1391452810
224,1391443711
223,1391443648
222,1391443567
221,1391443525
220,1391443466
219,1391443432
218,1391355048
217,1391315918
216,1391271605
215,1391228750
214,1391209498
213,1391200705
212,1391194167
211,1391194072
210,1391194004
209,1391193949
208,1391191577
207,1391188530
206,1391188117
205,1391188047
204,1391187929
203,1391187852
202,1391187814
201,1391187800
200,1391187236
199,1391187086
198,1391187003
197,1391186309
196,1391125648
195,1391124420
194,1391124036
193,1391123160
192,1391110530
191,1391110497
190,1391110471
189,1391110403
188,1391110371
187,1391110338
186,1391110315
185,1391110283
184,1391109416
183,1391108832
182,1391106699
181,1391103161
180,1391102362
179,1391102239
178,1391098681
177,1391063002
176,1391059350
175,1391059281
174,1391044272
173,1391044168
172,1391043920
171,1391033953
170,1391033895
169,1391027957
168,1390951968
167,1390951859
166,1390937366
165,1390932726
164,1390862557
163,1390862286
162,1390846615
161,1390846421
160,1390846371
159,1390846334
158,1390604709
157,1390604658
156,1390604617
155,1390586304
154,1390585934
153,1390578721
152,1390522496
151,1390516711
150,1390516638
149,1390507538
148,1390502156
147,1390464979
146,1390464692
145,1390335571
144,1390334503
143,1389921283
142,1389921255
141,1389921199
140,1389921164
139,1389921119
138,1389921075
137,1389921037
136,1389920987
135,1389920953
134,1389920312
133,1389920085
132,1389920004
131,1389919479
130,1389919356
129,1389919310
128,1389919287
127,1389918016
126,1389917914
125,1389917786
124,1389832321
123,1389832260
122,1389812180
121,1389735415
120,1389734312
119,1389389919
118,1389194689
117,1389119458
116,1389114425
115,1389048506
114,1389048412
113,1389047531
112,1389046332
111,1389046038
110,1389045693
109,1389039504
108,1389039296
107,1389035949
106,1389034815
105,1389034741
104,1389034304
103,1388788250
102,1388704941
101,1388673330
100,1387583948
99,1387582293
98,1387582150
97,1387581844
96,1387580147
95,1387574924
94,1387568363
93,1387567670
92,1387567401
91,1387567083
90,1387561478
89,1387561360
88,1387560986
87,1387560204
86,1387558715
85,1387557620
84,1387499555
83,1387498462
82,1387497590
81,1387496625
80,1387493743
79,1387491703
78,1387491290
77,1387490488
76,1387490302
75,1387490105
74,1387489221
73,1387489207
72,1387488751
71,1387488737
70,1387488693
69,1387488419
68,1387488402
67,1387487922
66,1387487864
65,1387487777
64,1387487746
63,1387487478
62,1387478288
61,1387477289
60,1387476839
59,1387346045
58,1387307880
57,1387305906
56,1387239646
55,1387236114
54,1387221565
53,1387217163
52,1386966437
51,1386961809
50,1386960586
49,1386886271
48,1386881151
47,1386873551
46,1386873545
45,1386873533
44,1386873495
43,1386871850
42,1386870959
41,1386869842
40,1386869811
39,1386869775
38,1386869746
37,1386869712
36,1386869481
35,1386869476
34,1386869464
33,1386869408
32,1386869368
31,1386869342
30,1386869255
29,1386869213
28,1386868874
27,1386868862
26,1386868834
25,1386790817
24,1386781065
23,1386781032
22,1386780499
21,1386780299
20,1386780284
19,1386780260
18,1386780225
17,1386780108
16,1386780042
15,1386780010
14,1386779900
13,1386779831
12,1386779714
11,1386779688
10,1386779640
9,1386779599
8,1386779574
7,1386779559
6,1386779557
5,1386779541
4,1386779525
3,1386779523
2,1386779438
1,1386779336
