total,time
1093,1428185130
1092,1427872431
1091,1427767290
1090,1427659743
1089,1427499251
1088,1427497717
1087,1427496324
1086,1427495535
1085,1427476365
1084,1427476305
1083,1427476268
1082,1427434013
1081,1426441689
1080,1426059844
1079,1426024549
1078,1426022910
1077,1426000085
1076,1425961173
1075,1425960296
1074,1425914408
1073,1425894143
1072,1425883544
1071,1425882841
1070,1425882830
1069,1425871611
1068,1425866531
1067,1425789551
1066,1425636100
1065,1425559610
1064,1425559403
1063,1425506452
1062,1425506114
1061,1425502784
1060,1425343602
1059,1425290387
1058,1425246820
1057,1425126754
1056,1425132254
1055,1425132000
1054,1424603840
1053,1424585770
1052,1424462950
1051,1423756261
1050,1423751809
1049,1423746438
1048,1423746304
1047,1423337382
1046,1423337162
1045,1423335806
1044,1423088356
1043,1422981242
1042,1422950116
1041,1422736600
1040,1422736565
1039,1422724191
1038,1422723501
1037,1422722949
1036,1422715381
1035,1422715140
1034,1422653928
1033,1422282292
1032,1422102018
1031,1421898822
1030,1421684138
1029,1421683688
1028,1421683507
1027,1421670390
1026,1421450119
1025,1421425012
1024,1421275073
1023,1421189970
1022,1421187484
1021,1421183449
1020,1421180248
1019,1421176937
1018,1421176492
1017,1420645947
1016,1420647862
1015,1420740535
1014,1421108999
1013,1421106095
1012,1420740919
1011,1420740535
1010,1420723357
1009,1420723068
1008,1420722536
1007,1420631602
1006,1420624476
1005,1420591148
1004,1420585819
1003,1420584720
1002,1420582950
1001,1420582206
1000,1420555813
999,1420476317
998,1420475946
997,1420226479
996,1420225886
995,1420123560
994,1420084115
993,1420083287
992,1420062189
991,1419208739
990,1419167346
989,1418942216
988,1418934868
987,1418885818
986,1418796810
985,1418794817
984,1418711155
983,1418559610
982,1418345708
981,1418341867
980,1418306084
979,1418304158
978,1418302906
977,1418297838
976,1418284950
975,1418224705
974,1418224263
973,1418224173
972,1417427501
971,1417381276
970,1417380819
969,1417129246
968,1416919019
967,1416828222
966,1416174042
965,1413942350
964,1415852459
963,1415801863
962,1415660439
961,1415660432
960,1415660211
959,1415658713
958,1415658698
957,1415639049
956,1415369503
955,1415325149
954,1415324931
953,1415324704
952,1415320924
951,1415320860
950,1415320632
949,1415108537
948,1414024567
947,1413890071
946,1413873027
945,1413796643
944,1413750137
943,1413730964
942,1413709833
941,1413706935
940,1413706495
939,1413660127
938,1412856485
937,1412813203
936,1412812302
935,1412811306
934,1412800649
933,1412487374
932,1412486677
931,1412474469
930,1412473925
929,1412471937
928,1412471924
927,1412439765
926,1412368569
925,1412356980
924,1412355454
923,1412347863
922,1412347791
921,1412346202
920,1412346066
919,1411946547
918,1411946470
917,1411946365
916,1411946216
915,1411945666
914,1411945363
913,1411945171
912,1411835862
911,1411821980
910,1411818142
909,1411800073
908,1411799248
907,1411794553
906,1411791828
905,1411637209
904,1411697164
903,1411368892
902,1411330984
901,1411157367
900,1411156489
899,1411080934
898,1411080713
897,1411001678
896,1411000390
895,1410738626
894,1410737868
893,1410720198
892,1410627476
891,1410573288
890,1410529899
889,1410512435
