total,time
1007,1428731037
1006,1428643131
1005,1428601000
1004,1428569508
1003,1428558154
1002,1428464891
1001,1428414463
1000,1428412436
999,1428398487
998,1428395601
997,1428388466
996,1428319224
995,1428294730
994,1428150027
993,1428081357
992,1428055325
991,1428047435
990,1428036001
989,1427990245
988,1427979711
987,1427948254
986,1427941159
985,1427937569
984,1427870150
983,1427819353
982,1427817617
981,1427769680
980,1427766430
979,1427752359
978,1427741041
977,1427697399
976,1427678701
975,1427659596
974,1427623438
973,1427566857
972,1427554826
971,1427551155
970,1427538633
969,1427470931
968,1427456520
967,1427440919
966,1427293137
965,1427278612
964,1427211774
963,1427183076
962,1427098333
961,1426928448
960,1426912302
959,1426901684
958,1426846090
957,1426834735
956,1426818285
955,1426758270
954,1426733585
953,1426666009
952,1426661061
951,1426574853
950,1426559899
949,1426490067
948,1426483091
947,1426416666
946,1426355999
945,1426232690
944,1426218964
943,1426211264
942,1426153732
941,1426108354
940,1426000563
939,1425957924
938,1425681372
937,1425626290
936,1425625550
935,1425541503
934,1425535396
933,1425316064
932,1425130636
931,1425120125
930,1425042630
929,1425030425
928,1424950235
927,1424681364
926,1424417912
925,1424395791
924,1424296818
923,1424164573
922,1423746099
921,1423732168
920,1423699386
919,1423655071
918,1423647684
917,1423636752
916,1423614714
915,1423586819
914,1423579523
913,1423549252
912,1423474277
911,1423469292
910,1423449733
909,1423389050
908,1423214712
907,1423214554
906,1422865203
905,1422713414
904,1422689372
903,1422633420
902,1422554431
901,1422547462
900,1422518567
899,1422515874
898,1422370397
897,1422326334
896,1422172861
895,1422155493
894,1422072295
893,1421991741
892,1421907579
891,1421895609
890,1421653630
889,1421648191
888,1421424169
887,1421406317
886,1421376971
885,1421218752
884,1421133946
883,1421118716
882,1421112635
881,1421034907
880,1420970749
879,1420804070
878,1420792042
877,1420781397
876,1420707144
875,1420637799
874,1420621985
873,1420615775
872,1420596974
871,1420596911
870,1420555475
869,1420530775
868,1420469424
867,1420359188
866,1420350168
865,1420299876
864,1420267000
863,1420181889
862,1420010925
861,1419904686
860,1419528514
859,1419497845
858,1419489145
857,1419412548
856,1419338153
855,1419324806
854,1419297377
853,1419253316
852,1419084053
851,1419059419
850,1419014819
849,1418991805
848,1418990489
847,1418830122
846,1418813631
845,1418747481
844,1418737833
843,1418722019
842,1418717314
841,1418710435
840,1418671460
839,1418609456
838,1418368493
837,1418288299
836,1418203642
835,1418202817
834,1418180764
833,1418144156
832,1418134719
831,1418121938
830,1418119583
829,1418107647
828,1418106931
827,1418066589
826,1418048115
825,1418029764
824,1418001821
823,1417835397
822,1417819707
821,1417684794
820,1417683345
819,1417676833
818,1417593247
817,1417592069
816,1417588285
815,1417508517
814,1417478997
813,1417380868
812,1417326877
811,1417154240
810,1417064234
809,1417059284
808,1416943439
807,1416918043
806,1416909926
805,1416869511
804,1416852801
803,1416817074
802,1416562402
801,1416557291
800,1416468412
799,1416395227
798,1416379147
797,1416306430
796,1416213865
795,1416193938
794,1415967037
793,1415932845
792,1415690299
791,1415652566
790,1415598216
789,1415570625
788,1415512864
787,1415484425
786,1415446337
785,1415329738
784,1415175771
783,1415154275
782,1415127321
781,1415069421
780,1415025460
779,1415000570
778,1414768934
777,1414729929
776,1414644833
775,1414639031
774,1414571120
773,1414548901
772,1414470617
771,1414467378
770,1414375619
769,1414374895
768,1414330879
767,1414133027
766,1414119937
765,1414051793
764,1414050558
763,1413917866
762,1413901750
761,1413895164
760,1413877592
759,1413875016
758,1413840788
757,1413795864
756,1413795336
755,1413786130
754,1413781536
753,1413455157
752,1413451956
751,1413435922
750,1413338719
749,1413338578
748,1413250644
747,1413183265
746,1412942585
745,1412902841
744,1412849244
743,1412774476
742,1412610127
741,1412367935
740,1412060005
739,1412043217
738,1411995519
737,1411978229
736,1411892664
735,1411811593
734,1411720246
733,1411704281
732,1411578956
731,1411474658
730,1411443910
729,1411379734
728,1411121987
727,1411105980
726,1411095774
725,1411091761
724,1411040330
723,1411006100
722,1410975465
721,1410949026
720,1410835770
719,1410764190
718,1410752134
717,1410277267
716,1409815929
715,1409796744
714,1409792937
713,1409780916
712,1409723784
711,1409662650
710,1409651314
709,1409644843
708,1409585832
707,1409579353
706,1409429818
705,1409332657
704,1409236936
703,1409217966
702,1409135197
701,1409111641
700,1409051404
699,1408893557
698,1408810335
697,1408808847
696,1408751868
695,1408745773
694,1408675790
693,1408645738
692,1408642566
691,1408637349
690,1408600338
689,1408494374
688,1408366953
687,1408337216
686,1407997387
685,1407908299
684,1407894858
683,1407854977
682,1407648776
681,1407460697
680,1407397723
679,1407294420
678,1407213454
677,1407088599
676,1407002250
675,1406905742
674,1406776061
673,1406728669
672,1406724763
671,1406723585
670,1406713221
669,1406689911
668,1406623631
667,1406586044
666,1406440760
665,1406338919
664,1406280396
663,1406251015
662,1406119589
661,1406115355
660,1406109357
659,1406083252
658,1405930354
657,1405928565
656,1405904166
655,1405826092
654,1405743120
653,1405695988
652,1405686696
651,1405630489
650,1405590568
649,1405586248
648,1405566305
647,1405492047
646,1405490723
645,1405443507
644,1405153803
643,1405109050
642,1405049536
641,1404996058
640,1404905169
639,1404902648
638,1404811600
637,1404802147
636,1404758317
635,1404740879
634,1404489077
633,1404465509
632,1404453309
631,1404369536
630,1404296008
629,1404219336
628,1404195892
627,1404180241
626,1404175890
625,1404108378
624,1403943085
623,1403779188
