total,time
945,1428605875
944,1428579574
943,1428475873
942,1428439291
941,1428334540
940,1428053226
939,1427948255
938,1427872578
937,1427820708
936,1427787319
935,1427775636
934,1427745805
933,1427708733
932,1427632494
931,1427536015
930,1427476380
929,1427467425
928,1427447194
927,1427434081
926,1427308439
925,1426941452
924,1426663110
923,1426662948
922,1426604288
921,1426522945
920,1426442741
919,1426220332
918,1426064252
917,1426062629
916,1425911242
915,1425893975
914,1425884197
913,1425883780
912,1425883604
911,1425789654
910,1425781791
909,1425682369
908,1425681267
907,1425646870
906,1425624088
905,1425506640
904,1425506222
903,1425503152
902,1425390095
901,1425350250
900,1425290562
899,1425132096
898,1425127862
897,1425127330
896,1425126570
895,1424941627
894,1424898966
893,1424567963
892,1424566707
891,1424488095
890,1424485862
889,1424463062
888,1424445842
887,1424096864
886,1423747088
885,1423565042
884,1423549736
883,1423528686
882,1423491183
881,1423466863
880,1423414855
879,1423246329
878,1423191781
877,1423100695
876,1423040372
875,1422980363
874,1422950195
873,1422724212
872,1422723521
871,1422715700
870,1422693806
869,1422653977
868,1422518632
867,1422259340
866,1422007576
865,1421904125
864,1421827015
863,1421818480
862,1421818423
861,1421683613
860,1421450653
859,1421425049
858,1421400021
857,1421364978
856,1421332873
855,1421326366
854,1421180295
853,1421131454
852,1421106165
851,1421080407
850,1421031733
849,1421028068
848,1420793864
847,1420764190
846,1420740549
845,1420725263
844,1420701509
843,1420648038
842,1420645974
841,1420631623
840,1420600350
839,1420585923
838,1420555981
837,1420471507
836,1420458439
835,1420226425
834,1420123827
833,1420062229
832,1420062052
831,1420059093
830,1419278710
829,1419222409
828,1419167476
827,1419017993
826,1418934900
825,1418795976
824,1418786947
823,1418716428
822,1418559734
821,1418341955
820,1418325926
819,1418297975
818,1418297352
817,1418289994
816,1418289250
815,1418285251
814,1418280534
813,1418278823
812,1418224961
811,1418217956
810,1418215210
809,1418180987
808,1418110656
807,1418106470
806,1418058945
805,1418024122
804,1418005499
803,1417797279
802,1417564132
801,1417498182
800,1417464168
799,1417381230
798,1417381013
797,1417129561
796,1417080777
795,1416933324
794,1416853959
793,1416853809
792,1416828454
791,1416561735
790,1416336826
789,1416284861
788,1416120182
787,1415943986
786,1415796738
785,1415325391
784,1415140103
783,1415108661
782,1415026029
781,1414703571
780,1413942568
779,1413933027
778,1413873151
777,1413872353
776,1413856206
775,1413816156
774,1413801792
773,1413794707
772,1413707462
771,1413691509
770,1413660742
769,1413447511
768,1413292360
767,1413245885
766,1412810400
765,1412809300
764,1412808869
763,1412605356
762,1412487757
761,1412368823
760,1412355691
759,1412346188
758,1412130750
757,1412033392
756,1411822209
755,1411818442
754,1411800433
753,1411799472
752,1411795436
751,1411792054
750,1411697728
749,1411653070
748,1411637508
747,1411156790
746,1411142055
745,1411140937
744,1411084104
743,1411080921
742,1411067313
741,1411001507
740,1410959648
739,1410955521
738,1410795559
737,1410737976
736,1410720281
735,1410573452
734,1410557153
733,1410512033
732,1410477281
731,1410392371
730,1410350475
729,1409867559
728,1409865759
727,1409684730
726,1409660855
725,1409587275
724,1409564639
723,1409563643
722,1409481746
721,1409274882
720,1409262784
719,1409237577
718,1409217467
717,1409169909
716,1409127003
715,1409068337
714,1409062507
713,1409058833
712,1409014022
711,1408913016
710,1408810508
709,1408809442
708,1408808384
707,1408671476
706,1408650128
705,1408579056
704,1408567989
703,1408529441
702,1408398751
701,1408142769
700,1408140117
699,1408131893
698,1408020362
697,1407947251
696,1407931129
695,1407922694
694,1407912825
693,1407879683
692,1407753114
691,1407752409
690,1407592678
689,1407251974
688,1407225228
687,1407199730
686,1407166570
685,1407112405
684,1406993106
683,1406906937
682,1406664272
681,1406339893
680,1406293978
679,1406100392
678,1405635146
677,1405631596
676,1405629764
675,1405586457
674,1405007221
673,1404879328
672,1404785012
671,1404650455
670,1404359510
669,1404313218
668,1404254808
667,1404251593
666,1404220325
665,1404212423
664,1404055988
663,1403532582
662,1403505673
661,1403147636
660,1402988558
659,1402903930
658,1402836886
657,1402624032
656,1402407918
655,1402294347
654,1401869794
653,1401869136
652,1401867189
651,1401377996
650,1401261371
649,1401259716
648,1401223102
647,1400935843
646,1400833547
645,1400777440
644,1400726300
643,1400726000
642,1400724038
641,1400695974
640,1400684887
639,1400661303
638,1400661269
637,1400628729
636,1400586401
635,1400512885
634,1400307923
633,1399598100
632,1399402323
631,1399170110
630,1398781434
629,1398780622
628,1398730375
627,1398720422
626,1398698643
625,1398544017
624,1398327106
623,1398320901
622,1398308744
621,1398275921
620,1398178088
619,1397927771
618,1397509589
617,1397354426
616,1397028073
615,1396742981
614,1396711599
613,1396573355
612,1396568773
611,1396534068
610,1396406711
609,1396374684
608,1396290127
607,1396064976
606,1396016370
605,1395930923
604,1395865976
603,1395846930
602,1395818630
601,1395479005
600,1395393521
599,1395341346
598,1395192665
597,1395186795
596,1395137286
595,1395097909
594,1395088590
593,1395054610
592,1394978740
591,1394962613
590,1394843655
589,1394818986
588,1394698518
587,1394634942
586,1394628381
585,1394620392
584,1394605360
583,1394534515
582,1394463638
581,1394417344
580,1394161344
579,1394126820
578,1394063176
577,1394057345
576,1394057285
575,1393975801
574,1393945419
573,1393894846
572,1393827494
571,1393595129
570,1393527577
569,1393527224
568,1393502119
567,1393425505
566,1393420219
565,1393346694
564,1393328664
563,1393170973
562,1393019661
561,1392992378
560,1392910226
559,1392882698
558,1392814549
557,1392788232
556,1392782915
555,1392773593
554,1392771635
553,1392726140
552,1392711671
551,1392636463
550,1392632283
549,1392611942
548,1392603586
547,1392595979
546,1392463883
545,1392438144
544,1392302291
543,1392245439
542,1392229240
541,1392176385
540,1392140041
539,1392097957
538,1391997571
537,1391986782
536,1391983962
535,1391924942
534,1391898318
533,1391841369
532,1391809274
531,1391712070
530,1391685221
529,1391638317
528,1391632650
527,1391564114
526,1391558932
525,1391190048
524,1391185506
523,1391184593
522,1391184080
521,1391130111
520,1391098434
519,1391093264
518,1390891592
517,1390798482
516,1390794762
515,1390755288
514,1390587618
513,1390491370
512,1390318372
511,1390173319
510,1390021178
