total,time
2036,1428498254
2035,1428449615
2034,1428941850
2033,1425600696
2032,1425600318
2031,1425599653
2030,1428172247
2029,1426016267
2028,1426015014
2027,1426014851
2026,1425284747
2025,1425234962
2024,1425138737
2023,1424976502
2022,1425133377
2021,1424033632
2020,1420404312
2019,1420572926
2018,1421593955
2017,1421267976
2016,1421259468
2015,1420406425
2014,1418196650
2013,1419710119
2012,1419173674
2011,1418984100
2010,1418681325
2009,1418672725
2008,1418069970
2007,1418069707
2006,1418069676
2005,1418069665
2004,1418069641
2003,1418069600
2002,1418069455
2001,1418069428
2000,1418069318
1999,1418069290
1998,1418069192
1997,1418069154
1996,1418069060
1995,1418546321
1994,1418068950
1993,1418151602
1992,1417980182
1991,1417979681
1990,1418108311
1989,1417470798
1988,1417898103
1987,1417897696
1986,1417895727
1985,1417713193
1984,1417709638
1983,1417709636
1982,1417641345
1981,1417641331
1980,1417480656
1979,1414353193
1978,1408713711
1977,1403999539
1976,1403975211
1975,1406672436
1974,1415645538
1973,1415541865
1972,1415574209
1971,1415548164
1970,1415548161
1969,1415515174
1968,1415461840
1967,1415486043
1966,1415479855
1965,1415479177
1964,1415478825
1963,1415321994
1962,1415212755
1961,1415271452
1960,1415270623
1959,1415201554
1958,1415176198
1957,1415044013
1956,1413878186
1955,1414952846
1954,1414853891
1953,1413926765
1952,1413897686
1951,1413879456
1950,1413879439
1949,1413879327
1948,1413879305
1947,1413879258
1946,1413878513
1945,1413877964
1944,1413877592
1943,1413173578
1942,1411878909
1941,1411882600
1940,1411856363
1939,1411624250
1938,1411624248
1937,1411593255
1936,1410367727
1935,1411577845
1934,1411323067
1933,1410893606
1932,1410867077
1931,1410716758
1930,1410625671
1929,1410050744
1928,1410049447
1927,1410563103
1926,1410562617
1925,1407786097
1924,1410551812
1923,1410466640
1922,1410451277
1921,1410445953
1920,1410362822
1919,1410278670
1918,1410024580
1917,1409830342
1916,1410107157
1915,1410020839
1914,1410018875
1913,1409722755
1912,1409721795
1911,1408050969
1910,1407958932
1909,1407939502
1908,1407862486
1907,1407251726
1906,1407245103
1905,1406659857
1904,1406581677
1903,1406579628
1902,1406576615
1901,1406576524
1900,1406576500
1899,1406574970
1898,1406569138
1897,1406569137
1896,1406493449
1895,1406493446
1894,1406493000
1893,1406492947
1892,1406491002
1891,1406490294
1890,1406489799
1889,1406489043
1888,1406489041
1887,1406271047
1886,1406268569
1885,1405452032
1884,1406193648
1883,1406187491
1882,1405632578
1881,1405630665
1880,1401445437
1879,1404323776
1878,1404323124
1877,1402881167
1876,1403636126
1875,1403617603
1874,1403598406
1873,1403594774
1872,1403591696
1871,1403563144
1870,1403556763
1869,1403556712
1868,1403552852
1867,1403549192
1866,1403541780
1865,1403460734
1864,1403459881
1863,1402244108
1862,1403151349
1861,1402946202
1860,1402952279
1859,1403081024
1858,1402943850
1857,1401116569
1856,1402102068
1855,1401377480
1854,1401201987
1853,1401112657
1852,1401110775
1851,1400779642
1850,1400105710
1849,1399136987
1848,1400047669
1847,1400045984
1846,1399921937
1845,1399895223
1844,1399883171
1843,1399639357
1842,1399635256
1841,1399545474
1840,1399542790
1839,1398473890
1838,1398379084
1837,1398372202
1836,1398376250
1835,1398472431
1834,1399275650
1833,1398906612
1832,1399123015
1831,1399118509
1830,1399101458
1829,1399068164
1828,1399062058
1827,1399058081
1826,1398694124
1825,1391950287
1824,1398471194
1823,1398462299
1822,1398461157
1821,1398455696
1820,1398239954
1819,1396735824
1818,1396735323
1817,1396729467
1816,1398110208
1815,1397943621
1814,1397780419
1813,1397622060
1812,1397490748
1811,1397272316
1810,1396984786
1809,1396895701
1808,1396804638
1807,1396640795
1806,1396547950
1805,1396112468
1804,1396044379
1803,1396039782
1802,1396005141
1801,1395399616
1800,1395399150
1799,1395346481
1798,1395346377
1797,1395323784
1796,1395314116
1795,1395314016
1794,1395313946
1793,1395313942
1792,1394061295
1791,1392181626
1790,1393969390
1789,1393883832
1788,1393628023
1787,1393494513
1786,1393494380
1785,1393446445
1784,1385415432
1783,1385109606
1782,1385019904
1781,1393418492
1780,1393352644
1779,1393351450
1778,1383260065
1777,1393323608
1776,1393258324
1775,1393005285
1774,1392993350
1773,1392991194
1772,1392897542
1771,1392923946
1770,1392923426
1769,1392923343
1768,1392923222
1767,1392922906
1766,1392922754
1765,1392922449
1764,1392914408
1763,1392914011
1762,1392913842
1761,1392911676
1760,1392798373
1759,1392745694
1758,1392559043
1757,1392744438
1756,1392469198
1755,1392437081
1754,1392373718
1753,1392313189
1752,1392311125
1751,1392286527
1750,1392281035
1749,1392207703
1748,1392201673
1747,1392200765
1746,1391588896
1745,1391550245
1744,1391550142
1743,1391475237
1742,1391475165
1741,1391467617
1740,1390954022
1739,1390545052
1738,1380237202
1737,1390189448
1736,1389796156
1735,1389384831
1734,1389364904
1733,1389362882
1732,1389362409
1731,1389362303
1730,1389276246
1729,1389082939
1728,1389082396
1727,1389081645
1726,1389057935
1725,1389057922
1724,1388977569
1723,1388870347
1722,1388846471
1721,1387753327
1720,1387752055
1719,1387750997
1718,1387749906
1717,1387981270
1716,1387980721
1715,1387907816
1714,1387906343
1713,1387648193
1712,1387566966
1711,1387474850
1710,1387273258
1709,1387202866
1708,1386984664
1707,1385433998
1706,1386167574
1705,1385953044
1704,1385988782
1703,1385988720
1702,1385724664
1701,1385724628
1700,1385661066
1699,1385101124
1698,1384988697
1697,1384449073
1696,1384571232
1695,1384546010
1694,1384398496
1693,1384295385
1692,1384289271
1691,1384206383
1690,1384206335
1689,1384084869
1688,1384031791
1687,1383655056
1686,1383251066
1685,1383246688
1684,1383245156
1683,1383236689
1682,1383182351
1681,1383077815
1680,1382981761
1679,1382747978
1678,1382677184
1677,1382575102
1676,1382566362
1675,1382562970
1674,1382397370
1673,1382396586
1672,1382396488
1671,1382394058
1670,1382393993
1669,1382393270
1668,1382393196
1667,1382303391
1666,1382301657
1665,1382299487
1664,1382288613
1663,1382288292
1662,1382280466
1661,1382280422
1660,1382279170
1659,1382279080
1658,1382278458
1657,1382277615
1656,1382148139
1655,1382135521
1654,1382051602
1653,1381962737
1652,1378251807
1651,1378251572
1650,1375819812
1649,1381535898
1648,1381519092
1647,1381483138
1646,1381277885
1645,1381250446
1644,1380067444
1643,1379991100
1642,1381030742
1641,1379578361
1640,1379547217
1639,1379467858
1638,1379365396
1637,1379320030
1636,1379305817
1635,1379305667
1634,1379297628
1633,1379280322
1632,1379278404
1631,1377759457
1630,1372764200
1629,1370262473
1628,1369719405
1627,1380849074
1626,1380735624
1625,1380735147
1624,1380583753
1623,1380239538
1622,1380239408
1621,1380062067
1620,1379642392
1619,1379369469
1618,1379120578
1617,1379098584
1616,1379093547
1615,1379048516
1614,1378500774
1613,1378162743
