total,time
1343,1429109820
1342,1429062348
1341,1429058405
1340,1429038130
1339,1428981066
1338,1428979990
1337,1428949233
1336,1428926711
1335,1428916270
1334,1428894239
1333,1428673736
1332,1428658592
1331,1428651584
1330,1428530969
1329,1428478921
1328,1428469059
1327,1428417349
1326,1428402761
1325,1428390792
1324,1428339492
1323,1428333838
1322,1428284030
1321,1428246405
1320,1428223732
1319,1428193755
1318,1428161237
1317,1428130854
1316,1428116599
1315,1428093372
1314,1427987216
1313,1427956167
1312,1427932556
1311,1427861028
1310,1427855781
1309,1427692267
1308,1427622940
1307,1427490183
1306,1427466808
1305,1427466038
1304,1427337194
1303,1427317457
1302,1427306282
1301,1427247481
1300,1427239082
1299,1427229351
1298,1427180422
1297,1427165519
1296,1427161732
1295,1427104904
1294,1427099204
1293,1427092075
1292,1427092055
1291,1427090427
1290,1427073036
1289,1426933829
1288,1426932299
1287,1426873919
1286,1426767739
1285,1426730577
1284,1426657224
1283,1426637621
1282,1426634662
1281,1426615286
1280,1426602828
1279,1426276415
1278,1426266138
1277,1426218785
1276,1426214979
1275,1426182101
1274,1426165977
1273,1426158582
1272,1426153126
1271,1426143230
1270,1426132877
1269,1426074298
1268,1426072449
1267,1426057113
1266,1425990382
1265,1425889506
1264,1425680435
1263,1425677007
1262,1425618325
1261,1425607731
1260,1425540347
1259,1425526428
1258,1425484371
1257,1425477109
1256,1425474574
1255,1425311435
1254,1425300741
1253,1425299434
1252,1425275127
1251,1425234571
1250,1425165106
1249,1425138548
1248,1425003185
1247,1424976293
1246,1424939171
1245,1424881185
1244,1424851537
1243,1424762802
1242,1424587705
1241,1424532766
1240,1424425370
1239,1424226136
1238,1424031996
1237,1424018674
1236,1423849377
1235,1423805196
1234,1423767727
1233,1423764196
1232,1423730911
1231,1423704442
1230,1423674863
1229,1423576897
1228,1423571598
1227,1423563722
1226,1423557652
1225,1423487204
1224,1423458870
1223,1423295335
1222,1423196059
1221,1423191615
1220,1423190734
1219,1423190590
1218,1423181377
1217,1423147424
1216,1423137890
1215,1423119917
1214,1423036299
1213,1423023516
1212,1423005362
1211,1422982519
1210,1422865010
1209,1422797143
1208,1422766531
1207,1422764929
1206,1422717709
1205,1422659983
1204,1422632781
1203,1422598562
1202,1422550416
1201,1422512780
1200,1422451557
1199,1422427786
1198,1422182508
1197,1422160975
1196,1422090217
1195,1422086098
1194,1422081332
1193,1421991725
1192,1421984919
1191,1421980827
1190,1421978170
1189,1421936195
1188,1421907727
1187,1421852129
1186,1421843647
1185,1421761050
1184,1421743980
1183,1421661600
1182,1421637405
1181,1421635270
1180,1421593786
1179,1421454581
1178,1421375826
1177,1421319509
1176,1421302869
1175,1421295211
1174,1421275241
1173,1421259833
1172,1421251600
1171,1421226360
1170,1421224742
1169,1421223154
1168,1421160337
1167,1421133437
1166,1421067811
1165,1421029579
1164,1420910481
1163,1420698345
1162,1420682195
1161,1420620130
1160,1420556763
1159,1420549427
1158,1420539265
1157,1420465168
1156,1420402628
1155,1420355950
1154,1420185637
1153,1420033611
1152,1419947042
1151,1419856665
1150,1419826668
1149,1419820099
1148,1419808739
1147,1419754161
1146,1419566324
1145,1419562400
1144,1419505298
1143,1419475458
