total,time
1119,1428959332
1118,1428554135
1117,1428533487
1116,1428529458
1115,1428512367
1114,1428498305
1113,1428497295
1112,1428469156
1111,1428439115
1110,1428436518
1109,1428431985
1108,1428266641
1107,1428172522
1106,1428146351
1105,1427994697
1104,1427902010
1103,1427829497
1102,1427818372
1101,1427694922
1100,1427681672
1099,1427361950
1098,1427290099
1097,1427289505
1096,1426624583
1095,1426614890
1094,1426249574
1093,1426183497
1092,1426159688
1091,1426017586
1090,1425935306
1089,1425932742
1088,1425837795
1087,1425688631
1086,1425678688
1085,1425564098
1084,1425487065
1083,1425485216
1082,1425235055
1081,1425140724
1080,1425138736
1079,1424976616
1078,1424343878
1077,1424033774
1076,1423257637
1075,1422867677
1074,1422793511
1073,1422670044
1072,1422464924
1071,1422464003
1070,1422432917
1069,1421921316
1068,1421789389
1067,1421641675
1066,1421593973
1065,1421510704
1064,1421259926
1063,1421225350
1062,1420986757
1061,1420914453
1060,1420574115
1059,1420414841
1058,1420414593
1057,1420406818
1056,1420404363
1055,1420361089
1054,1420299252
1053,1419964073
1052,1419890698
1051,1419844953
1050,1419822262
1049,1419711068
1048,1419403417
1047,1419086248
1046,1418984380
1045,1418915154
1044,1418915018
1043,1418914518
1042,1418914185
1041,1418748769
1040,1418458206
1039,1418196927
1038,1418108695
1037,1418069857
1036,1417980214
1035,1417980008
1034,1417898547
1033,1417480669
1032,1417471463
1031,1417454598
1030,1417243434
1029,1417242230
1028,1416589150
1027,1416357197
1026,1415698842
1025,1415642564
1024,1415574145
1023,1415485408
1022,1415485326
1021,1415479931
1020,1415479032
1019,1415462483
1018,1415374535
1017,1415272233
1016,1415218149
1015,1414953271
1014,1414950208
1013,1414905220
1012,1414892861
1011,1414866466
1010,1414855497
1009,1414719465
1008,1414353294
1007,1413962885
1006,1413889511
1005,1413879637
1004,1413878558
1003,1413878223
1002,1413877851
1001,1413877647
1000,1413877084
999,1413213458
998,1413061199
997,1412265825
996,1411991033
995,1411879040
994,1411856405
993,1411739907
992,1411654745
991,1411654108
990,1411654010
989,1411323138
988,1411322484
987,1410972459
986,1410894059
985,1410867117
984,1410552598
983,1410550506
982,1410451434
981,1410050039
980,1410025127
979,1410021204
978,1409852860
977,1409830699
976,1409721990
975,1409641240
974,1408742129
973,1408130659
972,1407962778
971,1407941029
970,1407871646
969,1407590688
968,1407582154
967,1407245177
966,1407144118
965,1407074266
964,1406734741
963,1406673097
962,1406580175
961,1406563163
960,1406552775
959,1406494614
958,1406489706
957,1406269392
956,1406188719
955,1406017804
954,1406010265
953,1405802446
952,1405630720
951,1405453428
950,1405265048
949,1405261323
948,1405255368
947,1405248888
946,1405165319
945,1405070061
944,1404768773
943,1404373542
942,1404150210
941,1404149159
940,1404045787
939,1404037271
938,1404027364
937,1404020447
936,1403970281
935,1403637967
934,1403595006
933,1403563394
932,1403556873
931,1403552522
930,1403549733
929,1403459635
928,1403005760
927,1402954100
926,1402881619
925,1402691751
924,1402391943
923,1402244200
922,1401735638
921,1401694449
920,1401646013
919,1401517443
918,1401457272
917,1401445661
916,1401116816
915,1401112844
914,1401111741
913,1400782182
912,1400580919
911,1400523100
910,1400094232
909,1400046046
908,1399953704
907,1399883407
906,1399643731
905,1399635556
904,1399612952
903,1399551229
902,1399543265
901,1399461050
900,1399148466
899,1399138835
898,1399137109
897,1399101804
896,1399101397
895,1399077220
894,1399068548
893,1399058225
892,1399036082
891,1398990260
890,1398971351
889,1398956418
888,1398884260
887,1398782213
886,1398762971
885,1398586328
884,1398529131
883,1398529089
882,1398462961
881,1398461588
880,1398456873
879,1398456301
878,1398380662
877,1398171640
876,1398152808
875,1398082203
874,1397943880
873,1397746455
872,1397577851
871,1397490866
870,1397488199
869,1397409279
868,1397387798
867,1397043564
866,1396987221
865,1396985188
864,1396984117
863,1396956680
862,1396805313
861,1396735977
860,1396642442
859,1396642287
858,1396641887
857,1396641124
856,1396612997
855,1396340702
854,1396040213
853,1396005149
852,1395995661
851,1395994490
850,1395950152
849,1395925107
848,1395924836
847,1395912441
846,1395763987
845,1395732646
844,1395399164
843,1395386443
842,1395354003
841,1395324118
840,1395314001
839,1394719891
838,1394542731
837,1394505604
836,1394504465
835,1394503199
834,1394497727
833,1394497532
832,1394145648
831,1393883845
830,1393707334
829,1393332233
828,1393082048
827,1393018193
826,1392994316
825,1392972023
824,1392923493
823,1392920911
822,1392911692
821,1392746358
820,1392662379
819,1392633660
818,1392470104
817,1392457767
816,1392312372
815,1392311714
814,1392207825
813,1392184451
812,1391950426
811,1391949083
810,1391786326
809,1391675295
808,1391647767
807,1391623296
806,1391551376
805,1391468165
804,1391447426
803,1390954165
802,1390549219
801,1390548102
800,1390331988
799,1390166256
798,1390165754
797,1389815345
796,1389597840
795,1389375780
794,1389366070
793,1389276651
792,1389106881
791,1388870359
790,1388846523
789,1388798367
788,1388056322
787,1387889279
786,1387754087
785,1387648293
784,1387475098
783,1387224528
782,1387203847
781,1387012256
780,1386789058
779,1386348625
778,1386230479
777,1386109104
776,1386078513
775,1385992115
774,1385974614
773,1385949338
772,1385661298
771,1385593199
770,1385509059
769,1385508913
768,1385433893
767,1385237639
766,1385158331
765,1385149224
764,1385134438
763,1385130947
762,1384967009
761,1384895994
760,1384546743
759,1384511024
758,1384401791
757,1384085431
756,1383939328
755,1383488864
754,1383251433
753,1383168375
752,1383079888
751,1383077899
750,1382853689
749,1382677524
748,1382650128
747,1382399284
746,1382102557
745,1382051776
744,1381793821
743,1381750089
742,1381350804
741,1381350378
740,1381250558
739,1380691319
738,1380239444
737,1380222971
736,1380130389
735,1379603488
734,1379514219
733,1379433500
732,1379254656
731,1379121608
730,1379048664
729,1378985098
728,1378842752
727,1378841273
726,1378195214
725,1378162839
724,1378004868
723,1377328005
722,1377266238
721,1377196831
720,1377121772
719,1377117222
718,1377111629
717,1376942767
716,1376857897
715,1376744225
714,1376610387
713,1376610219
712,1376610181
711,1376530248
710,1376092395
709,1375869781
708,1375400045
707,1375259513
706,1375209457
705,1375167979
704,1375167905
703,1375094347
702,1374624421
701,1374316244
700,1374097636
699,1374063690
698,1374004175
697,1372894970
696,1372795067
695,1372326893
694,1371842292
693,1371736580
692,1371678756
691,1371669058
690,1371370023
689,1370774457
688,1370771381
687,1370548545
686,1370471383
685,1370462983
684,1370270746
683,1370255309
682,1370025901
681,1369858680
680,1369784166
679,1369734384
678,1369612063
677,1369610305
676,1369425569
675,1369254595
674,1368962587
673,1368960941
672,1368793589
671,1368624479
670,1368092504
669,1368023241
668,1367663976
667,1367598464
666,1367510475
665,1367499201
664,1366922402
663,1366905172
662,1365802651
661,1365722384
660,1365684705
659,1365638949
658,1365422161
657,1365351450
656,1365329663
655,1365208445
654,1364928802
653,1364774349
652,1364711707
651,1364252016
650,1363667864
649,1363483186
648,1363476015
647,1363249440
646,1362968635
645,1362675440
644,1362675184
643,1362292338
642,1362100306
641,1361903465
640,1361887599
639,1361847423
638,1361640903
637,1361359042
636,1361143157
635,1361125420
634,1361119326
633,1361118725
632,1361115839
631,1360946522
630,1360868431
629,1360653584
628,1360523554
627,1360447889
626,1360195221
625,1360181221
624,1360170120
623,1360164999
622,1360148247
621,1360086633
620,1359914677
619,1359631268
618,1359414507
617,1359384869
616,1359313664
615,1359034810
614,1359034588
613,1358867672
612,1358806576
611,1358759247
610,1358690761
609,1358418072
608,1358271985
607,1358104979
606,1358099445
605,1358094820
604,1358072944
603,1358033894
602,1358027233
601,1358021558
600,1357791272
599,1357777035
598,1357775363
597,1357736423
596,1357681812
595,1357424941
594,1357423324
593,1357411604
592,1357395612
591,1357340068
590,1357264761
589,1357218090
588,1357215801
587,1357215483
586,1357212904
585,1357208622
584,1357208618
583,1357162292
582,1357090774
581,1356391803
580,1356391256
579,1356315405
578,1356295019
577,1356200698
576,1356151904
575,1356007946
574,1356007569
573,1355943396
572,1355877314
571,1355873854
570,1355673534
569,1355485879
568,1355345475
567,1355342998
566,1355341903
