total,time
11029,1428772611
11028,1428744689
11027,1428679942
11026,1428678832
11025,1428678275
11024,1428678058
11023,1428678001
11022,1428676821
11021,1428655970
11020,1428655699
11019,1428654964
11018,1428653615
11017,1428653209
11016,1428597558
11015,1428597546
11014,1428552159
11013,1428524468
11012,1428523273
11011,1428517706
11010,1428508363
11009,1428499511
11008,1428454247
11007,1428454242
11006,1428416418
11005,1428407787
11004,1428401816
11003,1428376189
11002,1428376145
11001,1428334269
11000,1428333981
10999,1428331219
10998,1428324497
10997,1428279685
10996,1428279675
10995,1428279624
10994,1428239293
10993,1428169398
10992,1428168341
10991,1428165919
10990,1428092833
10989,1428092724
10988,1428092718
10987,1428092169
10986,1427950145
10985,1427948950
10984,1427948915
10983,1427948509
10982,1427931917
10981,1427903588
10980,1427874955
10979,1427842637
10978,1427842591
10977,1427842530
10976,1427671629
10975,1427662866
10974,1427662446
10973,1427632696
10972,1427577572
10971,1427572586
10970,1427563595
10969,1427555508
10968,1427505292
10967,1427502680
10966,1427500529
10965,1427499101
10964,1427499094
10963,1427499085
10962,1427499075
10961,1427493006
10960,1427491818
10959,1427456609
10958,1427452150
10957,1427432021
10956,1427422699
10955,1427416766
10954,1427416589
10953,1427416584
10952,1427416543
10951,1427416516
10950,1427416506
10949,1427376454
10948,1427372340
10947,1427368018
10946,1427327329
10945,1427326865
10944,1427326827
10943,1427320269
10942,1427320205
10941,1427320199
10940,1427302657
10939,1427302650
10938,1427302644
10937,1427289751
10936,1427284686
10935,1427273565
10934,1427218034
10933,1427217178
10932,1427216907
10931,1427216804
10930,1427214764
10929,1427214188
10928,1427213665
10927,1427212497
10926,1427212443
10925,1427054511
10924,1427052761
10923,1427049612
10922,1426880055
10921,1426774727
10920,1426861990
10919,1426789758
10918,1426789554
10917,1426783471
10916,1426764447
10915,1426764036
10914,1426762886
10913,1426762550
10912,1426739552
10911,1426738756
10910,1426726450
10909,1426726412
10908,1426714895
10907,1426714325
10906,1426714278
10905,1426628354
10904,1426622637
10903,1426543352
10902,1426543328
10901,1426418777
10900,1426417223
10899,1426354614
10898,1426351001
10897,1426348698
10896,1426339438
10895,1426336604
10894,1426336597
10893,1426336340
10892,1426287625
10891,1426284665
10890,1426283880
10889,1426263918
10888,1426256219
10887,1426181568
10886,1426171236
10885,1426079728
10884,1426046891
10883,1426010898
10882,1425919283
10881,1425914507
10880,1425914193
10879,1425910806
10878,1425910645
10877,1425909865
10876,1425865055
10875,1425858856
10874,1425849329
10873,1425829715
10872,1425829440
10871,1425812266
10870,1425808357
10869,1425796445
10868,1425765916
10867,1425765804
10866,1425757971
10865,1425745149
10864,1425732726
10863,1425730805
10862,1425700868
10861,1425668583
10860,1425665225
10859,1425660787
10858,1425659441
10857,1425656103
10856,1425654957
10855,1425654151
10854,1425653328
10853,1425643362
10852,1425639248
10851,1425633565
10850,1425632853
10849,1425619282
10848,1425618976
10847,1425618963
10846,1425602282
10845,1425599340
10844,1425569956
10843,1425567320
10842,1425493605
10841,1425493600
10840,1425493506
10839,1425487798
10838,1425477943
10837,1425477595
10836,1425427979
10835,1425400444
10834,1425390016
10833,1425376027
10832,1425356506
10831,1425356502
10830,1425349933
10829,1425347137
10828,1425221442
10827,1425221212
10826,1425221172
10825,1425221133
10824,1425184288
10823,1425182303
10822,1425157868
10821,1425083685
10820,1424892437
10819,1424892366
10818,1424808509
10817,1424722705
10816,1424708706
10815,1424708700
10814,1424708691
