total,time
3770,1428770739
3769,1428744276
3768,1428699517
3767,1428698011
3766,1428694527
3765,1428672432
3764,1428666557
3763,1428652400
3762,1428602973
3761,1428585816
3760,1428569640
3759,1428440165
3758,1428436360
3757,1428434924
3756,1428430406
3755,1428419294
3754,1428417093
3753,1428400448
3752,1428398441
3751,1428386824
3750,1428381610
3749,1428377859
3748,1428373047
3747,1428357163
3746,1428332774
3745,1428320534
3744,1428312222
3743,1428284034
3742,1428257020
3741,1428240887
3740,1428189755
3739,1428180931
3738,1428166118
3737,1428156529
3736,1428135597
3735,1428116582
3734,1428107812
3733,1428089395
3732,1428087060
3731,1428047007
3730,1428038791
3729,1428002978
3728,1428001690
3727,1428000725
3726,1427971067
3725,1427955535
3724,1427949735
3723,1427931826
3722,1427931259
3721,1427928674
3720,1427924252
3719,1427919049
3718,1427909222
3717,1427898727
3716,1427894541
3715,1427880955
3714,1427846394
3713,1427820239
3712,1427813387
3711,1427808298
3710,1427804885
3709,1427670653
3708,1427655336
3707,1427650899
3706,1427578076
3705,1427568467
3704,1427560740
3703,1427533135
3702,1427488230
3701,1427474026
3700,1427453797
3699,1427446124
3698,1427392564
3697,1427363530
3696,1427350654
3695,1427335289
3694,1427331204
3693,1427271993
3692,1427203040
3691,1427201754
3690,1427171101
3689,1427155048
3688,1427146554
3687,1427132448
3686,1427113226
3685,1427067045
3684,1427012150
3683,1426996872
3682,1426947927
3681,1426852699
3680,1426844731
3679,1426840465
3678,1426821813
3677,1426820686
3676,1426784668
3675,1426762145
3674,1426686306
3673,1426683829
3672,1426679513
3671,1426585910
3670,1426581573
3669,1426579428
3668,1426572578
3667,1426539498
3666,1426489069
3665,1426471852
3664,1426350974
3663,1426347461
3662,1426260695
3661,1426237980
3660,1426221670
3659,1426196283
3658,1426172426
3657,1426158238
3656,1426142718
3655,1426127955
3654,1426127916
3653,1426085724
3652,1426067167
3651,1426062445
3650,1426056313
3649,1426055753
3648,1426048849
3647,1426046887
3646,1425986469
3645,1425983156
3644,1425982720
