total,time
3019,1428690628
3018,1428673117
3017,1428666552
3016,1428653115
3015,1428582599
3014,1428579721
3013,1428568747
3012,1428567557
3011,1428558672
3010,1428523290
3009,1428517833
3008,1428482003
3007,1428377118
3006,1428376590
3005,1428337553
3004,1428323217
3003,1428201045
3002,1428175382
3001,1428167549
3000,1428164562
2999,1428156354
2998,1428092198
2997,1427994789
2996,1427991273
2995,1427937886
2994,1427932324
2993,1427910430
2992,1427839215
2991,1427802510
2990,1427761576
2989,1427756841
2988,1427748360
2987,1427714662
2986,1427662521
2985,1427652665
2984,1427573591
2983,1427548344
2982,1427538936
2981,1427492232
2980,1427473054
2979,1427430446
2978,1427425729
2977,1427424181
2976,1427386066
2975,1427335576
2974,1427284709
2973,1427244501
2972,1427239769
2971,1427217312
2970,1427216436
2969,1427080705
2968,1427058803
2967,1427049635
2966,1426986246
2965,1426985002
2964,1426949859
2963,1426948423
2962,1426947209
2961,1426902961
2960,1426875960
2959,1426862240
2958,1426831338
2957,1426774122
2956,1426771247
2955,1426750235
2954,1426736896
2953,1426729918
2952,1426729445
2951,1426645592
2950,1426640089
2949,1426606219
2948,1426587016
2947,1426555126
2946,1426545445
2945,1426525362
2944,1426522510
2943,1426474397
2942,1426464779
2941,1426453274
2940,1426432969
2939,1426427136
2938,1426424007
2937,1426423904
2936,1426418553
2935,1426384102
2934,1426327959
2933,1426324751
2932,1426270111
2931,1426254515
2930,1426250398
2929,1426232604
2928,1426176073
2927,1426104395
2926,1426064488
2925,1425986675
2924,1425979362
2923,1425917002
2922,1425912541
2921,1425906798
2920,1425857247
2919,1425848274
2918,1425829586
2917,1425799264
2916,1425758010
2915,1425701292
2914,1425671531
2913,1425669558
2912,1425664526
2911,1425659457
2910,1425654571
2909,1425653287
2908,1425634159
2907,1425633168
2906,1425598194
2905,1425570374
2904,1425568498
2903,1425566454
2902,1425513769
2901,1425485187
2900,1425478229
2899,1425474529
2898,1425427277
2897,1425400212
2896,1425399313
2895,1425377361
2894,1425375594
2893,1425347540
2892,1425341685
2891,1425288979
2890,1425288765
2889,1425249222
2888,1425242528
2887,1425225476
2886,1425185481
2885,1425184287
2884,1425171441
2883,1425146658
2882,1425108731
2881,1425092512
2880,1425030452
2879,1425007813
2878,1424991729
2877,1424972024
2876,1424796294
2875,1424785327
2874,1424703923
2873,1424639351
2872,1424636919
2871,1424608175
2870,1424585895
2869,1424585751
2868,1424533721
2867,1424532780
2866,1424531164
2865,1424468476
2864,1424465262
2863,1424451472
2862,1424440093
2861,1424435012
2860,1424383468
2859,1424362526
2858,1424330771
2857,1424323694
2856,1424308981
2855,1424274676
2854,1424220472
2853,1424205691
2852,1424163250
2851,1424135912
2850,1424013972
2849,1424011083
2848,1423949218
2847,1423940524
2846,1423935317
2845,1423934192
2844,1423924677
2843,1423918505
2842,1423913028
2841,1423885272
2840,1423884858
2839,1423868202
2838,1423778638
2837,1423769679
2836,1423715948
2835,1423667813
2834,1423666582
2833,1423649476
2832,1423604923
2831,1423602002
2830,1423590140
2829,1423562165
2828,1423510713
2827,1423509807
2826,1423505975
2825,1423493968
2824,1423432631
2823,1423422473
2822,1423421273
2821,1423413643
2820,1423411626
2819,1423360136
2818,1423354147
2817,1423252232
2816,1423248780
2815,1423230036
2814,1423215951
2813,1423187050
2812,1423177902
2811,1423162710
2810,1423145057
2809,1423099073
2808,1423064540
2807,1423055744
2806,1423054701
2805,1423036298
2804,1423011885
2803,1423000297
2802,1422929997
2801,1422904793
2800,1422862447
2799,1422829614
2798,1422825192
2797,1422824134
2796,1422786875
2795,1422782620
2794,1422743779
2793,1422741688
2792,1422713141
2791,1422712444
2790,1422708913
2789,1422706816
2788,1422692245
2787,1422664969
