total,time
1814,1428515226
1813,1428504141
1812,1427978428
1811,1427978389
1810,1427850105
1809,1427316658
1808,1427136377
1807,1427124321
1806,1427074249
1805,1427071371
1804,1427042279
1803,1427041504
1802,1426806355
1801,1426803529
1800,1426559292
1799,1426559289
1798,1426558597
1797,1426522150
1796,1426521635
1795,1426471993
1794,1426471357
1793,1426468090
1792,1426459524
1791,1426464766
1790,1426460709
1789,1426454138
1788,1426453493
1787,1426446091
1786,1426443603
1785,1426443389
1784,1426441522
1783,1426392017
1782,1426391665
1781,1426390499
1780,1426390462
1779,1426383701
1778,1426383261
1777,1426381776
1776,1426374170
1775,1426371673
1774,1426372432
1773,1426360444
1772,1426222942
1771,1426224955
1770,1426222791
1769,1426211867
1768,1426211548
1767,1426211255
1766,1426044458
1765,1426209154
1764,1426209040
1763,1426090673
1762,1426086895
1761,1426040131
1760,1426039716
1759,1426039270
1758,1425947939
1757,1425940629
1756,1425911912
1755,1425909971
1754,1425874754
1753,1425872747
1752,1425870251
1751,1425869185
1750,1425866151
1749,1425865018
1748,1425858763
1747,1425853354
1746,1425851253
1745,1425790474
1744,1425788157
1743,1425770237
1742,1425760019
1741,1425759408
1740,1425665136
1739,1425629266
1738,1425413395
1737,1425619849
1736,1424808462
1735,1424807435
1734,1424665614
1733,1424665095
1732,1424660845
1731,1424659791
1730,1424653848
1729,1424645403
1728,1423734423
1727,1423712880
1726,1423712207
1725,1423698217
1724,1423687000
1723,1423544931
1722,1423542640
1721,1423272355
1720,1423175525
1719,1422744433
1718,1422744294
1717,1422743252
1716,1422657682
1715,1422643518
1714,1422642425
1713,1422627469
1712,1422469029
1711,1422286021
1710,1422006696
1709,1422231475
1708,1421898971
1707,1421861579
1706,1421606853
1705,1421466869
1704,1421466774
1703,1421005655
1702,1421401048
1701,1421334512
1700,1421332873
1699,1421318220
1698,1421267094
1697,1421244144
1696,1420730581
1695,1421192534
1694,1421192017
1693,1421191043
1692,1421190902
1691,1421190770
1690,1421187146
1689,1421186994
1688,1421185860
1687,1421161167
1686,1421157703
1685,1421157663
1684,1421102277
1683,1421156906
1682,1421143382
1681,1421154899
1680,1421110208
1679,1421105133
1678,1421072724
1677,1421064090
1676,1421059818
1675,1421011978
1674,1420973266
1673,1420819492
1672,1420811791
1671,1420677155
1670,1418729475
1669,1420573935
1668,1420545454
1667,1420526514
1666,1420524985
1665,1420481362
1664,1420439714
1663,1420471971
1662,1420471917
1661,1420471892
1660,1420471840
1659,1420471806
1658,1420447216
1657,1420446450
1656,1420229846
1655,1420440640
1654,1420441604
1653,1420440973
1652,1420440785
1651,1420437958
1650,1420422637
1649,1420437846
1648,1420437826
1647,1420437101
1646,1420436457
1645,1420421874
1644,1420420888
1643,1420420383
1642,1420369297
1641,1420408666
1640,1420368136
1639,1420361908
