total,time
916,1428774896
915,1428663487
914,1428657713
913,1428654466
912,1428642307
911,1428633784
910,1428565031
909,1428497811
908,1428484081
907,1428474371
906,1428416254
905,1428393745
904,1428387177
903,1428375446
902,1428370179
901,1428367766
900,1428365186
899,1428353041
898,1428334847
897,1428330389
896,1428330215
895,1428233031
894,1428218534
893,1428139462
892,1428077676
891,1428059479
890,1428047274
889,1428044564
888,1428042300
887,1428039298
886,1428027037
885,1428022290
884,1427901579
883,1427900699
882,1427898561
881,1427881513
880,1427871702
879,1427854722
878,1427852792
877,1427845827
876,1427804989
875,1427787494
874,1427779597
873,1427729759
872,1427712574
871,1427709653
870,1427707581
869,1427699653
868,1427687164
867,1427684976
866,1427652593
865,1427635701
864,1427617806
863,1427449942
862,1427446887
861,1427444879
860,1427444756
859,1427433423
858,1427428219
857,1427427496
856,1427425015
855,1427388889
854,1427295858
853,1427287438
852,1427284626
851,1427273522
850,1427265209
849,1427264152
848,1427254790
847,1427171009
846,1427165682
845,1427165141
844,1427133296
843,1427117579
842,1427102930
841,1427093667
840,1427091962
839,1427078686
838,1427041179
837,1426992788
836,1426982938
835,1426953719
834,1426937631
833,1426887504
832,1426837598
831,1426833183
830,1426825159
829,1426803403
828,1426783835
827,1426755202
826,1426737638
825,1426725370
824,1426665974
823,1426664596
822,1426661702
821,1426648055
820,1426645970
819,1426591861
818,1426581716
817,1426577800
816,1426577095
815,1426562998
814,1426486056
813,1426479682
812,1426469564
811,1426464451
810,1426436688
809,1426429874
808,1426423971
807,1426248438
806,1426236931
805,1426173939
804,1426161617
803,1426146822
802,1426137761
801,1426039332
800,1426007534
799,1425992614
798,1425980946
797,1425952231
796,1425914983
795,1425909603
794,1425903685
793,1425899737
792,1425894121
791,1425824548
790,1425803842
789,1425713948
788,1425704262
787,1425657627
786,1425634804
785,1425622613
784,1425600621
783,1425542249
782,1425467036
781,1425455537
780,1425448860
779,1425407618
778,1425406052
777,1425380660
776,1425372095
775,1425030282
774,1425027811
773,1425019869
772,1425017397
771,1425014477
770,1425010855
769,1424977680
768,1424965690
767,1424924744
766,1424913363
765,1424894701
764,1424877524
763,1424845814
762,1424843407
761,1424787507
760,1424779528
759,1424756618
758,1424510364
757,1424437070
756,1424423277
755,1424383353
754,1424365324
753,1424357507
752,1424348615
751,1424281411
750,1424084667
749,1424080413
748,1424079752
747,1424079219
746,1424058554
745,1424056632
744,1424012547
743,1423997272
742,1423977255
741,1423815641
740,1423753976
739,1423750054
738,1423747015
737,1423711747
736,1423684709
735,1423644309
734,1423636147
733,1423634484
732,1423622957
731,1423588077
730,1423578907
729,1423553293
728,1423549699
727,1423541763
726,1423436304
725,1423380801
724,1423362961
723,1423231016
722,1423227191
721,1423226850
720,1423212338
719,1423202973
718,1423202241
717,1423200232
716,1423185955
715,1423173647
714,1423159769
713,1423152715
712,1423133014
711,1423045151
710,1423042042
709,1422987018
708,1422946964
707,1422935027
706,1422934623
705,1422850562
704,1422813177
703,1422759842
702,1422748252
701,1422674043
700,1422633647
699,1422623722
698,1422607583
697,1422601636
696,1422590148
695,1422497783
694,1422454803
693,1422450804
692,1422447643
691,1422409704
690,1422374882
689,1422336917
688,1422326885
687,1422284815
686,1422283266
685,1422273464
684,1422260088
683,1422244477
682,1422148877
681,1422078993
680,1421978382
679,1421908092
678,1421827747
677,1421824658
676,1421725514
675,1421648778
674,1421631303
673,1421595678
672,1421484673
671,1421419683
670,1421383690
669,1421365063
668,1421339517
667,1421312208
666,1421297410
665,1421249280
664,1421248351
663,1421238208
662,1421211127
661,1421175405
660,1421133910
659,1421124817
658,1421118983
657,1421110022
656,1421054328
655,1421052798
654,1421042601
653,1421039816
652,1421036863
651,1421031462
650,1421022776
649,1421004659
648,1420972433
647,1420870623
646,1420865269
645,1420863699
644,1420782057
643,1420736806
642,1420730469
641,1420728359
640,1420713250
639,1420703870
638,1420698589
637,1420610946
636,1420558259
635,1420500254
634,1420442112
633,1420423946
632,1420382604
631,1420360459
630,1420298620
629,1420035103
628,1420032914
627,1419995831
626,1419935906
625,1419915343
624,1419757152
623,1419749779
622,1419508137
621,1419477431
620,1419442474
619,1419297548
618,1419070170
617,1419017152
616,1418918464
615,1418893377
614,1418888845
613,1418874947
612,1418784662
611,1418783849
610,1418724389
609,1418723452
608,1418704475
607,1418696956
606,1418536081
605,1418224581
604,1418109010
603,1418091330
602,1418079825
601,1418057855
600,1418052759
599,1418051159
598,1417879647
597,1417804112
596,1417786961
595,1417771436
594,1417761140
593,1417668942
592,1417642694
591,1417573995
590,1417571739
589,1417530123
588,1417492079
587,1417331086
586,1417265240
585,1417160529
584,1416985112
583,1416925901
582,1416912940
581,1416884625
580,1416836385
579,1416799806
578,1416728054
577,1416567610
576,1416562827
575,1416538910
574,1416491436
573,1416453655
572,1416450617
571,1416299533
570,1416234304
569,1416203006
568,1416114979
567,1415978303
566,1415945528
565,1415922595
564,1415880559
563,1415868140
562,1415855936
561,1415854747
560,1415821797
559,1415807791
558,1415672381
557,1415665081
556,1415616727
555,1415602908
554,1415535541
553,1415521997
552,1415328419
551,1415306494
550,1415280027
549,1415263740
548,1415260288
547,1415207778
546,1415205953
545,1415199342
544,1415175128
543,1415159871
542,1415083927
541,1415006143
540,1414982185
539,1414945843
538,1414732172
537,1414704923
536,1414675027
535,1414664707
534,1414657518
533,1414498117
532,1414456757
531,1414437870
530,1414392539
529,1414382307
528,1414369645
527,1414335162
526,1414329526
525,1414323698
524,1414301445
523,1414235819
522,1414224836
521,1414223559
520,1414209170
519,1414087492
518,1414082780
517,1414053999
516,1414052553
515,1413966118
514,1413958529
513,1413802470
512,1413801976
511,1413768731
510,1413532613
509,1413499734
508,1413442945
507,1413323191
506,1413297892
505,1413235148
504,1413165968
503,1412846199
502,1412799110
501,1412789891
500,1412733974
499,1412609122
498,1412255868
497,1412219411
496,1412116193
495,1412063999
494,1412058538
493,1412044530
492,1411988366
