total,time
1487,1428668876
1486,1428485777
1485,1428374080
1484,1428331558
1483,1428308658
1482,1428006631
1481,1427882607
1480,1427875486
1479,1427868600
1478,1427850560
1477,1427773929
1476,1427705180
1475,1427642965
1474,1427622375
1473,1427492587
1472,1427456283
1471,1427377012
1470,1427371220
1469,1427316739
1468,1427315636
1467,1427198211
1466,1427124619
1465,1427072796
1464,1427071481
1463,1426958584
1462,1426902378
1461,1426880182
1460,1426869772
1459,1426863398
1458,1426848148
1457,1426826067
1456,1426803607
1455,1426799400
1454,1426799312
1453,1426786583
1452,1426748918
1451,1426677234
1450,1426676611
1449,1426621736
1448,1426557878
1447,1426521790
1446,1426507098
1445,1426471383
1444,1426460715
1443,1426460471
1442,1426453554
1441,1426444640
1440,1426443506
1439,1426441630
1438,1426441542
1437,1426383738
1436,1426383277
1435,1426381813
1434,1426372555
1433,1426360893
1432,1426360583
1431,1426354724
1430,1426222954
1429,1426222953
1428,1426211263
1427,1426180232
1426,1426091265
1425,1426087145
1424,1426044477
1423,1426042336
1422,1426039304
1421,1426033807
1420,1425979447
1419,1425979442
1418,1425940652
1417,1425910015
1416,1425872764
1415,1425869245
1414,1425860816
1413,1425858920
1412,1425858792
1411,1425851303
1410,1425788227
1409,1425759414
1408,1425748028
1407,1425665537
1406,1425607001
1405,1425474133
1404,1425468064
1403,1425461053
1402,1425413857
1401,1425406593
1400,1425316815
1399,1425167601
1398,1425150574
1397,1424914696
1396,1424874429
1395,1424835213
1394,1424807440
1393,1424803021
1392,1424801379
1391,1424782746
1390,1424773495
1389,1424736695
1388,1424665100
1387,1424659798
1386,1424645509
1385,1424443587
1384,1424393369
1383,1424364664
1382,1424358688
1381,1424210863
1380,1424201118
1379,1424185663
1378,1424169084
1377,1423860215
1376,1423834346
1375,1423777617
1374,1423752472
1373,1423743047
1372,1423734673
1371,1423712541
1370,1423692174
1369,1423687122
1368,1423686543
1367,1423651469
1366,1423542742
1365,1423244604
1364,1423179746
1363,1423104232
1362,1423068889
1361,1423062465
1360,1422759859
1359,1422755973
1358,1422750519
1357,1422743264
1356,1422742765
1355,1422643524
1354,1422638019
1353,1422627475
1352,1422622793
1351,1422576563
1350,1422487502
1349,1422376777
1348,1422034358
1347,1422007421
1346,1422003747
1345,1421956984
1344,1421937204
1343,1421934612
1342,1421893838
1341,1421861767
1340,1421848271
1339,1421692943
1338,1421685042
1337,1421546752
1336,1421544833
1335,1421523559
1334,1421454547
1333,1421398256
1332,1421367527
1331,1421338815
1330,1421334708
1329,1421332129
1328,1421323092
1327,1421322526
1326,1421318516
1325,1421309669
1324,1421244532
1323,1421192030
1322,1421161925
1321,1421157193
1320,1421156813
1319,1421155767
1318,1421127987
1317,1421110632
1316,1421105149
1315,1421102326
1314,1421097840
1313,1421069065
1312,1421060208
1311,1421016717
1310,1420974755
1309,1420898081
1308,1420827171
1307,1420817658
1306,1420788955
1305,1420744438
1304,1420738098
1303,1420720053
1302,1420713329
1301,1420632056
1300,1420621823
1299,1420545973
1298,1420526543
1297,1420525419
1296,1420447781
1295,1420447365
1294,1420443689
1293,1420441842
1292,1420440987
1291,1420440805
1290,1420440685
1289,1420439738
1288,1420437122
1287,1420436468
1286,1420423294
1285,1420420918
1284,1420395928
1283,1420370534
1282,1420368353
1281,1420284389
1280,1420283338
1279,1420275455
1278,1420275406
1277,1420252022
1276,1420248330
1275,1420243668
1274,1420239318
1273,1420236782
1272,1420235929
1271,1420235043
1270,1420233350
1269,1420230653
1268,1420224434
1267,1420185407
1266,1420179662
1265,1420143802
1264,1420050821
1263,1420039162
1262,1420006932
1261,1420004589
1260,1420001718
1259,1419983225
1258,1419956558
1257,1419953799
1256,1419950266
1255,1419945260
1254,1419893697
1253,1419893595
1252,1419891622
1251,1419881139
1250,1419876400
1249,1419820409
1248,1419737987
1247,1419723657
1246,1419708840
1245,1419703609
1244,1419703427
1243,1419635601
1242,1419601943
1241,1419590638
1240,1419586548
1239,1419575213
1238,1419574842
1237,1419572586
1236,1419569101
1235,1419559555
1234,1419464925
1233,1419457632
1232,1419451493
1231,1419451371
1230,1419451071
1229,1419449661
1228,1419449638
1227,1419439132
1226,1419388912
1225,1419369412
1224,1419321213
1223,1419312323
1222,1419296824
1221,1419293722
1220,1419263477
1219,1419222120
1218,1419186438
1217,1419160463
1216,1419156451
1215,1419152254
1214,1419057733
1213,1418999687
1212,1418980856
1211,1418919641
1210,1418905281
1209,1418786510
1208,1418744732
1207,1418718628
1206,1418695186
1205,1418692233
1204,1418690393
1203,1418684536
1202,1418662002
1201,1418653849
1200,1418589419
1199,1418418103
1198,1418402836
1197,1418382884
1196,1418228722
1195,1418088987
1194,1418065010
1193,1418028097
1192,1417831140
1191,1417822777
1190,1417811402
1189,1417806223
1188,1417777498
1187,1417721146
1186,1417700423
1185,1417643671
1184,1417630442
1183,1417591458
1182,1417508335
1181,1417493350
1180,1417459650
1179,1417452417
1178,1417426655
1177,1417385551
1176,1417346802
1175,1417345779
1174,1417343893
1173,1417335840
1172,1417313784
1171,1417183933
1170,1417024161
1169,1417021264
1168,1417011561
1167,1416972091
1166,1416946951
1165,1416946871
1164,1416927839
1163,1416852599
1162,1416814162
1161,1416780725
1160,1416435801
1159,1416371700
1158,1416333932
1157,1416299534
1156,1416287297
1155,1416284150
1154,1416235140
1153,1416186898
1152,1415982213
1151,1415873583
1150,1415852721
1149,1415844750
1148,1415812818
1147,1415769306
1146,1415696643
1145,1415684186
1144,1415683280
1143,1415663244
1142,1415637892
1141,1415632787
1140,1415617055
1139,1415555822
1138,1415466232
1137,1415408414
1136,1415361035
1135,1415306933
1134,1415230675
1133,1415217619
1132,1415210619
1131,1415199716
1130,1415190469
1129,1415169856
1128,1415155354
1127,1415150690
1126,1415139501
1125,1415114498
1124,1415113497
1123,1415076278
1122,1415068277
1121,1415067785
1120,1415065593
1119,1415037084
1118,1414969082
1117,1414949266
1116,1414943515
1115,1414939414
1114,1414857426
1113,1414857195
1112,1414854406
1111,1414739953
1110,1414501196
1109,1414478493
1108,1414426326
1107,1414338542
1106,1414333730
1105,1414317318
1104,1414291793
1103,1414276512
1102,1414251836
1101,1414236291
1100,1414121987
1099,1414106629
1098,1414097908
1097,1414072820
1096,1414002187
1095,1413435889
1094,1413407289
1093,1413299247
1092,1413275254
1091,1413275192
1090,1413275129
1089,1413218568
1088,1413171289
1087,1413148300
1086,1413079461
1085,1413036719
1084,1413033070
1083,1413032805
1082,1412996832
1081,1412992533
1080,1412990421
1079,1412989532
1078,1412981095
1077,1412790733
1076,1412790154
1075,1412753979
1074,1412583344
1073,1412557949
1072,1412440653
1071,1412276046
1070,1412204967
1069,1412023165
1068,1411996437
1067,1411971400
1066,1411965757
1065,1411930923
1064,1411926843
1063,1411873141
1062,1411868769
1061,1411865320
1060,1411634578
1059,1411546952
1058,1411496616
1057,1411403776
1056,1411215284
1055,1411038464
1054,1410893457
1053,1410871486
1052,1410861069
1051,1410774327
1050,1410534918
1049,1410447474
1048,1410309989
1047,1410305894
1046,1410283642
1045,1409914152
1044,1409850638
1043,1409792321
1042,1409629704
1041,1409328674
1040,1409255816
1039,1409248219
1038,1409240065
1037,1409226134
1036,1409199173
1035,1409093022
1034,1409034636
1033,1408753605
1032,1408657024
1031,1408635978
1030,1408571565
1029,1408560614
1028,1408465003
1027,1408463820
1026,1408450093
1025,1408376987
1024,1408328772
1023,1408316133
1022,1408034233
1021,1407997904
1020,1407541446
1019,1407508505
1018,1407330324
1017,1407314470
1016,1407294903
1015,1407287547
1014,1407256901
1013,1406986726
1012,1406862076
1011,1406827120
1010,1406803070
1009,1406777522
1008,1406761673
1007,1406672549
1006,1406644377
1005,1406624875
1004,1406496879
1003,1406431180
1002,1406226477
1001,1406163453
1000,1406139006
999,1406138536
998,1406015151
997,1405974232
996,1405912089
995,1405661268
994,1405592863
993,1405551696
992,1405444787
991,1405260336
990,1405023846
989,1405004789
988,1404983853
987,1404889436
986,1404837266
985,1404735310
984,1404674766
983,1404487579
982,1404469612
981,1404312471
980,1404311396
979,1404228345
978,1404174746
977,1404094596
976,1404090025
975,1404067285
974,1404019291
973,1403985832
972,1403967379
971,1403944494
970,1403943884
969,1403942446
968,1403836720
967,1403814174
966,1403758209
965,1403758102
964,1403728263
963,1403705776
962,1403646366
961,1403584255
960,1403576162
959,1403557127
958,1403489268
957,1403489232
956,1403413088
955,1403389739
954,1403376085
953,1403323409
952,1403306585
951,1403284109
950,1403282625
949,1403217381
948,1403181148
947,1403173504
946,1403109270
945,1403108611
944,1403101002
943,1403094748
942,1403083443
941,1403073858
940,1403063184
939,1403058363
938,1403057073
937,1403056875
936,1403045103
935,1403037461
934,1403015383
933,1403008098
932,1402952088
931,1402750754
930,1402671057
929,1402649786
928,1402649472
927,1402648329
926,1402640440
925,1402566140
924,1402547720
923,1402545260
922,1402538951
921,1402538913
920,1402530811
919,1402494147
918,1402462146
917,1402461032
916,1402453698
915,1402453580
914,1402452084
913,1402444040
912,1402418738
911,1402376269
