total,time
529,1423708136
528,1418978584
527,1418978057
526,1418977406
525,1418977367
524,1418977272
523,1418876772
522,1418876740
521,1418874695
520,1418873001
519,1418800112
518,1418792569
517,1418792125
516,1418791869
515,1418752956
514,1418655286
513,1418273541
512,1418273402
511,1418273154
510,1418273067
509,1418273052
508,1418273028
507,1418182598
506,1418006588
505,1417587697
504,1417503815
503,1417503327
502,1417491278
501,1417401443
500,1417052035
499,1417052024
498,1417051132
497,1417005888
496,1416969554
495,1416969472
494,1416912580
493,1416903991
492,1416903874
491,1416882739
490,1416882693
489,1416447101
488,1416387554
487,1416284576
486,1416284360
485,1416282859
484,1416280768
483,1416280210
482,1416276290
481,1416276238
480,1415818234
479,1415788855
478,1415784267
477,1415154512
476,1415101966
475,1415092859
474,1415092792
473,1415092741
472,1415092611
471,1415092477
470,1415074558
469,1415074469
468,1415073182
467,1415073136
466,1415073027
465,1415072957
464,1415072579
463,1415072497
462,1415071885
461,1415071082
460,1415070403
459,1415069949
458,1415024298
457,1415024233
456,1414747465
455,1414658863
454,1414585953
453,1414585132
452,1414585124
451,1414585026
450,1414584968
449,1414509698
448,1414484061
447,1414475935
446,1413958341
445,1413958320
444,1413958256
443,1413540015
442,1413539686
441,1413533619
440,1413533522
439,1413270858
438,1413259522
437,1413257921
436,1413257764
435,1412844452
434,1412844306
433,1412823060
432,1412822945
431,1412801425
430,1412801131
429,1412801049
428,1412677120
427,1412677019
426,1412585530
425,1412584171
424,1412584160
423,1412583640
422,1412583219
421,1412578781
420,1412577663
419,1412569756
418,1412562627
417,1412509399
416,1412331435
415,1412314390
414,1412314205
413,1412313946
412,1412249754
411,1412249381
410,1412242731
409,1412236614
408,1412236524
407,1412221056
406,1412175681
405,1412175422
404,1412147978
403,1412009524
402,1411963945
401,1411963876
400,1411963811
399,1411960624
398,1411960498
397,1411960287
396,1411955904
395,1411955597
394,1411742898
393,1411732893
392,1411717041
391,1411714974
390,1411651599
389,1411563905
388,1411563533
387,1411541850
386,1411524829
385,1411523417
384,1411032855
383,1411044814
382,1410229223
381,1410228697
380,1410228613
379,1410228471
378,1410202590
377,1410215216
376,1409797660
375,1409716109
374,1409715995
373,1408934101
372,1408934082
371,1408933438
370,1408698604
369,1408068995
368,1408067995
367,1407971991
366,1406516576
365,1406516531
364,1406516210
363,1406515832
362,1406515751
361,1406261171
360,1406260970
359,1406260839
358,1406260729
357,1406258231
356,1406258168
355,1406257656
354,1406257616
353,1406257419
352,1406256708
351,1406256406
350,1406255560
349,1406254789
348,1406253532
347,1406173163
346,1406173123
345,1406107380
344,1406107308
343,1406104490
342,1406104236
341,1406104088
340,1406103977
339,1406085230
338,1406080778
337,1406009019
336,1406008975
335,1406001863
334,1406001810
333,1405999306
332,1405999298
331,1405999190
330,1405998716
329,1405821049
328,1405426146
327,1405094877
326,1405060386
325,1404988241
324,1404988167
323,1404988049
322,1404987840
321,1404982102
320,1404981991
319,1404979551
318,1404979453
317,1404979387
316,1404979077
315,1404912444
314,1404791682
313,1404791491
312,1404791476
311,1404787231
310,1404293068
309,1403600385
308,1403186156
307,1402930724
306,1402909847
305,1402909814
304,1402909106
303,1402880055
302,1402860020
301,1402323346
300,1402193551
299,1402193410
298,1401350323
297,1401262244
296,1401262162
295,1401167288
294,1401167232
293,1401167166
292,1401166947
291,1401165971
290,1401165955
289,1401165226
288,1401164936
287,1401164267
286,1401164217
285,1401162911
284,1400470112
283,1400469429
282,1400468948
281,1398566210
280,1398154189
279,1398153178
278,1398150772
277,1398150540
276,1398150148
275,1398149992
274,1397033948
273,1397033044
272,1397026079
271,1397025841
270,1396811069
269,1396810990
268,1396535581
267,1396517192
266,1396456773
265,1396456510
264,1396456101
263,1396455470
262,1396455307
261,1396455195
260,1396455090
259,1396454213
258,1396450557
257,1396450435
256,1396449385
255,1396449281
254,1396447189
253,1396329708
252,1396329601
251,1396329210
250,1396322489
249,1396285836
248,1396282681
247,1396028132
246,1395806527
245,1395804066
244,1395641545
243,1394618020
242,1394617833
241,1394009818
240,1391569690
239,1391421060
238,1391102184
237,1391068943
236,1391062117
235,1390312749
234,1389947254
233,1387582027
232,1382129183
231,1379900077
230,1379898719
229,1379898355
228,1379892530
227,1375135677
226,1374791931
225,1377625494
224,1377597859
223,1377026868
222,1377011943
221,1376071620
220,1376061972
219,1374709299
218,1373325445
217,1372281864
216,1372198008
215,1371841559
214,1371517656
213,1371410676
212,1371250293
211,1371243083
210,1371242896
209,1370578060
208,1370243499
207,1369916051
206,1369905616
205,1369905538
204,1366327928
203,1365555679
202,1365033250
201,1365033231
200,1364970316
199,1364946741
198,1364941216
197,1364428386
196,1364428327
195,1364225222
194,1364074708
193,1364074565
192,1363995969
191,1363987781
190,1363987461
189,1363913122
188,1363908795
187,1362546027
186,1362544801
185,1361570699
184,1361480507
183,1361408595
182,1361408018
181,1360871213
180,1360796226
179,1359591354
178,1355533681
177,1353525553
176,1353350106
175,1353154370
174,1351888099
173,1351811591
172,1351550495
171,1351014617
170,1351014468
169,1350433082
168,1350075329
167,1350071958
166,1350065959
165,1350065447
164,1349486228
163,1349473011
162,1349472908
161,1349472533
160,1345819239
159,1345819106
158,1345819017
157,1345818540
156,1349472501
155,1345819239
154,1345819106
153,1345819017
152,1345818540
151,1345720581
150,1341001492
149,1340996903
148,1340241383
147,1340128050
146,1339711709
145,1339350033
144,1337667845
143,1333010711
142,1332995393
141,1332993170
140,1332990329
139,1332990312
138,1332964796
137,1332964346
136,1332962668
135,1332961860
134,1332918099
133,1332831746
132,1332830536
131,1332775803
130,1332750511
129,1332749816
128,1332745070
127,1332743812
126,1332743544
125,1332450499
124,1332412574
123,1332399740
122,1332399685
121,1332399447
120,1332269321
119,1331641132
118,1331636103
117,1331562542
116,1331559703
115,1331538583
114,1331496576
113,1331344192
112,1331250894
111,1331066594
110,1331063281
109,1326872319
108,1326751934
107,1326751879
106,1326750710
105,1326410660
104,1326410214
103,1326407066
102,1326407008
101,1326403608
100,1326403591
99,1326397829
98,1323724068
97,1326337267
