total,time
880,1429107935
879,1429028495
878,1429005702
877,1428975586
876,1428943121
875,1428664415
874,1428646799
873,1428585525
872,1428567661
871,1428566476
870,1428527031
869,1428392667
868,1428328902
867,1428245430
866,1428151998
865,1427976226
864,1427896319
863,1427891088
862,1427872671
861,1427601771
860,1427313415
859,1427308327
858,1427218344
857,1427183197
856,1427180752
855,1427142045
854,1427134878
853,1426984846
852,1426964671
851,1426936798
850,1426851641
849,1426828600
848,1426823964
847,1426754903
846,1426690920
845,1426223788
844,1425997367
843,1425973814
842,1425969623
841,1425946869
840,1425936669
839,1425906466
838,1425876688
837,1425772319
836,1425643256
835,1425630015
834,1425579136
833,1425568133
832,1425449590
831,1425424934
830,1425255712
829,1425220645
828,1425196078
827,1425124184
826,1424846338
825,1424708408
824,1424670810
823,1424544293
822,1424396392
821,1424356232
820,1424304248
819,1424250664
818,1424169848
817,1424138778
816,1423728291
815,1423708642
814,1423664289
813,1423637071
812,1423632269
811,1423533344
810,1423337067
809,1423150641
808,1423051406
807,1423048782
806,1423000816
805,1422923662
804,1422870266
803,1422860460
802,1422618772
801,1422616564
800,1422360043
799,1422319903
798,1422232536
797,1421863443
796,1421516505
795,1421387249
794,1421350299
793,1421331243
792,1421292588
791,1421242592
790,1421231230
789,1421203740
788,1421156681
787,1421053116
786,1421039228
785,1420777484
784,1420752142
783,1420729940
782,1420579441
781,1420561020
780,1420550136
779,1420456365
778,1420446873
777,1420423414
776,1420422061
775,1420396771
774,1420274776
773,1420145085
772,1419870269
771,1419743488
770,1419528087
769,1419449127
768,1419447106
767,1419428411
766,1419315991
765,1419246172
764,1419243815
763,1419242416
762,1419239603
761,1419239538
760,1419179219
759,1419009775
758,1418928254
757,1418748828
756,1418724901
755,1418662497
754,1418651514
753,1418559569
752,1418471033
751,1418353371
750,1418229599
749,1418072647
748,1417817187
747,1417774537
746,1417731611
745,1417726269
744,1417702377
743,1417455169
742,1417392636
741,1417080946
740,1417078143
739,1417075868
738,1416850040
737,1416713577
736,1416580386
735,1416563801
734,1416458721
733,1416457273
732,1416448868
731,1416437904
730,1416389375
729,1416232557
728,1416210518
727,1416152593
726,1415955028
725,1415832564
724,1415818035
723,1415702795
722,1415640089
721,1415637214
720,1415274098
719,1415018270
718,1415001338
717,1414750443
716,1414677926
715,1414602766
714,1414591080
713,1414585161
712,1414575856
711,1414440538
710,1414435184
709,1414076602
708,1414011443
707,1413780830
706,1413732928
705,1413713234
704,1413691370
703,1413643103
702,1413490876
701,1413451456
700,1413429571
699,1413363537
698,1413340845
697,1413297700
696,1412872308
695,1412857471
694,1412757858
693,1412672534
692,1412658070
691,1412372534
690,1412295023
689,1412167582
688,1412088339
687,1412071745
686,1411640632
685,1411626829
684,1411525825
683,1411513183
682,1411500820
681,1411476664
680,1411412429
679,1411370382
678,1411316810
677,1411033860
676,1410951077
675,1410884931
674,1410846036
673,1410686094
672,1410617680
671,1410517165
670,1410513079
669,1410460271
668,1410311850
667,1410199634
666,1410185368
665,1410083831
664,1409768906
663,1409761614
662,1409725224
661,1409324120
660,1409176378
659,1409083418
658,1408954256
657,1408645766
656,1408418641
655,1408319090
654,1408245714
653,1408193688
652,1408124799
651,1408110098
650,1408023361
649,1408022928
648,1408004999
647,1407810615
646,1407506132
645,1407422219
644,1407397701
643,1407248223
642,1407127118
641,1406920641
640,1406855049
639,1406714072
638,1406639931
637,1406599474
636,1406313226
635,1406221145
634,1406193138
633,1406057849
632,1406033094
631,1406018779
630,1405974387
629,1405958075
628,1405654532
627,1405602150
626,1405574689
625,1405485624
624,1405381208
623,1405365759
622,1405359262
621,1405327610
620,1405305112
619,1405079929
618,1405053977
617,1404758001
616,1404508548
615,1404483669
614,1404430864
613,1404406853
612,1404292445
611,1404287415
610,1404219444
609,1404181064
608,1404134834
607,1404119217
606,1404096911
605,1403873040
604,1403834962
603,1403599607
602,1403504658
601,1403491863
600,1403354600
599,1403314104
598,1403300886
597,1403278867
596,1402998166
595,1402986540
594,1402966270
593,1402928997
592,1402859712
591,1402842378
590,1402704622
589,1402373682
588,1402351686
587,1402296575
586,1402095642
585,1402090331
584,1402071074
583,1402008238
582,1401986076
581,1401865979
580,1401771036
579,1401585572
578,1401577458
577,1401440002
576,1401365668
575,1401363416
574,1401202534
573,1401118819
572,1401026751
571,1400976298
570,1400833866
569,1400825407
568,1400604662
567,1400425219
566,1400259961
565,1400137136
564,1399903829
563,1399902448
562,1399754516
561,1399640159
560,1399579884
559,1399398713
558,1399294644
557,1399289453
556,1399127243
555,1399123434
554,1399095476
553,1399027158
552,1398957414
551,1398904525
550,1398787678
549,1398666937
548,1398585379
547,1398372546
546,1398276097
545,1398201374
544,1398114146
543,1398028658
542,1397742865
541,1397654308
540,1397634098
539,1397479874
538,1397450298
537,1397167891
536,1396931873
535,1396824565
534,1396810949
533,1396653402
532,1396638255
531,1396603253
530,1396437908
529,1396212817
528,1396146293
527,1396103996
526,1396028111
525,1396019398
524,1395936711
523,1395927447
522,1395902801
521,1395756194
520,1395668423
519,1395523990
518,1395298899
517,1395255181
516,1395235736
515,1395166599
514,1395101925
513,1395088546
512,1395043864
511,1395029642
510,1395023240
509,1394764514
508,1394466550
507,1394198059
506,1394149063
505,1394023530
504,1393422129
503,1393412903
502,1393316792
501,1393278789
500,1393241017
499,1393188753
498,1393008982
497,1392839335
496,1392794938
495,1392764831
494,1392748495
493,1392634784
492,1392626828
491,1392391708
490,1392271731
489,1392134664
488,1392124982
487,1392095621
486,1391947469
485,1391659698
484,1391539217
483,1391284227
482,1391260088
481,1390997371
480,1390965467
479,1390502588
478,1390330990
477,1390320353
476,1390258872
475,1390215903
474,1389946622
473,1389898356
472,1389613056
471,1389464902
470,1389414385
469,1389059978
468,1389046089
467,1388991377
466,1388787770
465,1388577917
464,1388529587
463,1388481635
462,1388146722
461,1388124658
460,1387814425
459,1387802389
458,1387547414
457,1387529421
456,1387493183
455,1387272898
454,1387230106
453,1387026904
452,1386974316
451,1386938976
450,1386932271
449,1386788952
448,1386719038
447,1386577566
446,1386577365
445,1386271808
444,1386119289
443,1386087814
442,1385992581
441,1385984324
440,1385631232
439,1385514370
438,1385496003
437,1385414902
436,1385038412
435,1385029627
434,1384984364
433,1384927018
432,1384924909
431,1384627152
430,1384507829
429,1384438522
428,1384372023
427,1384309557
426,1384240227
425,1384237017
424,1384096016
423,1384009870
422,1383885083
421,1383843330
420,1383732395
419,1383612646
418,1383566412
417,1382971864
416,1382632765
415,1382628482
414,1382531420
413,1382414256
412,1382346148
411,1382292341
410,1382190338
409,1382039306
408,1381849559
407,1381792471
406,1381752673
405,1381742434
404,1381678823
403,1381651799
402,1381582075
401,1381433949
400,1381312096
399,1381311477
398,1381300643
397,1381144497
396,1381142531
395,1381140263
394,1380892779
393,1380811373
392,1380729854
391,1380691341
390,1380651016
389,1380646781
388,1380577281
387,1380280013
386,1380175450
385,1380133196
384,1380027697
383,1379978963
382,1379796027
381,1379756852
380,1379744560
379,1379685483
378,1379672256
377,1379507448
376,1379428651
375,1379303679
374,1379233825
373,1379087347
372,1378642170
371,1378620493
370,1378456966
369,1378290246
368,1378223439
367,1378214748
366,1378160664
365,1378101146
364,1377891602
363,1377859787
362,1377839551
361,1377766909
360,1377597482
359,1377579038
358,1377397205
357,1377270743
356,1377074898
355,1376982941
354,1376980685
