total,time
980,1429111355
979,1429109203
978,1429041004
977,1429025094
976,1428996035
975,1428940338
974,1428671565
973,1428579888
972,1428544178
971,1428506344
970,1428298249
969,1428120155
968,1427825842
967,1427705757
966,1427659593
965,1427460726
964,1427455603
963,1427353674
962,1427290228
961,1427276722
960,1427183293
959,1427162239
958,1426944045
957,1426847953
956,1426830750
955,1426773793
954,1426755928
953,1426725836
952,1426505255
951,1426499562
950,1426494900
949,1426433942
948,1426428691
947,1426257314
946,1426232167
945,1425996314
944,1425995907
943,1425779441
942,1425668324
941,1425638445
940,1425588012
939,1425237833
938,1424894830
937,1424829532
936,1424758712
935,1424719625
934,1424689079
933,1424518889
932,1424433465
931,1424291240
930,1424261169
929,1424233177
928,1424179016
927,1424162556
926,1424156773
925,1424081751
924,1423953316
923,1423749529
922,1423687119
921,1423666155
920,1423258237
919,1423213951
918,1423124425
917,1423070938
916,1423051615
915,1422888019
914,1422879482
913,1422877445
912,1422618991
911,1422603865
910,1422562363
909,1422545833
908,1422502977
907,1422374318
906,1422296686
905,1422232757
904,1421923100
903,1421874645
902,1421859806
901,1421836456
900,1421760252
899,1421727073
898,1421677445
897,1421644303
896,1421446791
895,1421182103
894,1421112087
893,1421093539
892,1421078779
891,1421004295
890,1420815836
889,1420800172
888,1420719693
887,1420684075
886,1420549166
885,1420548612
884,1420547766
883,1420523292
882,1420488976
881,1420445996
880,1420423439
879,1420422952
878,1420397286
877,1420378370
876,1420212804
875,1420198264
874,1420039749
873,1419985414
872,1419874746
871,1419874654
870,1419730673
869,1419712157
868,1419706552
867,1419581312
866,1419528037
865,1419459500
864,1419378780
863,1419243962
862,1419010381
861,1418978577
860,1418887273
859,1418875128
858,1418873206
857,1418873159
856,1418811048
855,1418800874
854,1418792297
853,1418736341
852,1418702452
851,1418696899
850,1418678497
849,1418655342
848,1418568198
847,1418478443
846,1418478026
845,1418468672
844,1418317787
843,1418300408
842,1418287344
841,1418286815
840,1418285538
839,1418281913
838,1418273227
837,1418247409
836,1418229633
835,1418225752
834,1418054063
833,1417890991
832,1417826602
831,1417748851
830,1417704122
829,1417700086
828,1417681795
827,1417597899
826,1417591384
825,1417581945
824,1417575080
823,1417503685
822,1417434423
821,1417291297
820,1417220662
819,1417169088
818,1417081619
817,1417071989
816,1417051997
815,1417047237
814,1417008073
813,1417006002
812,1416969550
811,1416925264
810,1416919373
809,1416911865
808,1416910023
807,1416907555
806,1416907477
805,1416882727
804,1416695079
803,1416594351
802,1416578415
801,1416572701
800,1416529473
799,1416478815
798,1416452531
797,1416390438
796,1416284550
795,1416274325
794,1415967089
793,1415818920
792,1415817060
791,1415799077
790,1415790968
789,1415788670
788,1415782734
787,1415652266
786,1415526916
785,1415471922
784,1415189887
783,1415102032
782,1415092849
781,1415074134
780,1415073179
779,1415072988
778,1415072575
777,1415024704
776,1415024367
775,1415022064
774,1414991616
773,1414962335
772,1414957889
771,1414939303
770,1414768509
769,1414750198
768,1414670763
767,1414658908
766,1414601477
765,1414595633
764,1414585963
763,1414481051
762,1414476066
761,1414411463
760,1414404313
759,1414233368
758,1414163423
757,1414155442
756,1414144381
755,1414095649
754,1414000767
753,1413999681
752,1413968498
751,1413948363
750,1413895439
749,1413891983
748,1413796441
747,1413635567
746,1413630175
745,1413554246
744,1413553955
743,1413553234
742,1413546544
741,1413540067
740,1413536391
739,1413536204
738,1413534980
737,1413533566
736,1413445305
735,1413444209
734,1413411627
733,1413411342
732,1413391104
731,1413379263
730,1413334952
729,1413258187
728,1413257962
727,1413140124
726,1413115588
725,1413028566
724,1412856755
723,1412844324
722,1412805082
721,1412801440
720,1412801234
719,1412793792
718,1412763041
717,1412756763
716,1412699749
715,1412621339
714,1412585008
713,1412584167
712,1412583428
711,1412509673
710,1412464010
709,1412438222
708,1412400704
707,1412374402
706,1412314415
705,1412256407
704,1412228965
703,1412228907
702,1412228865
701,1412192023
700,1412175701
699,1412155355
698,1412155234
697,1412155081
696,1412098603
695,1412096877
694,1412085466
693,1411979168
692,1411963911
691,1411963874
690,1411960621
689,1411919503
688,1411775925
687,1411735080
686,1411627039
685,1411567029
684,1411558388
683,1411539851
682,1411524847
681,1411523415
680,1411516380
679,1411516317
678,1411483008
677,1411414285
676,1411383873
675,1411382835
674,1411215929
673,1411127958
672,1411059195
671,1411050336
670,1411045143
669,1411036661
668,1410969378
667,1410952306
666,1410932343
665,1410828173
664,1410793335
663,1410657403
662,1410603469
661,1410436772
660,1410343315
659,1410341824
658,1410315219
657,1410228636
656,1410226766
655,1410226757
654,1410215232
653,1410205373
652,1410008971
651,1409934727
650,1409892471
649,1409798615
648,1409763096
647,1409716025
646,1409695104
645,1409628111
644,1409594484
643,1409579241
642,1409480214
641,1409260880
640,1409201911
639,1409046811
638,1408971563
637,1408958149
636,1408954361
635,1408934097
634,1408933430
633,1408737198
632,1408717843
631,1408678579
630,1408657805
629,1408656498
628,1408581249
627,1408397825
626,1408392698
625,1408345911
624,1408330335
623,1408111750
622,1408082942
621,1408013015
620,1408008017
619,1407972386
618,1407848616
617,1407811063
616,1407797662
615,1407796013
614,1407791352
613,1407731664
612,1407714269
611,1407675007
610,1407546953
609,1407506357
608,1407506226
607,1407467261
606,1407451401
605,1407438622
604,1407336889
603,1407254404
602,1407197456
601,1407136413
600,1407124388
599,1407086622
598,1406842106
597,1406796832
596,1406793457
595,1406708724
594,1406701113
593,1406700819
592,1406647679
591,1406570395
590,1406516567
589,1406516227
588,1406515814
587,1406324340
586,1406321919
585,1406313383
584,1406284988
583,1406261040
582,1406260832
581,1406258226
580,1406257650
579,1406256599
578,1406212421
577,1406203042
576,1406197374
575,1406173158
574,1406171166
573,1406117498
572,1406107375
571,1406107362
570,1406059895
569,1406055594
568,1406009014
567,1406005451
566,1406001856
565,1405999219
564,1405998726
563,1405967724
562,1405950979
561,1405892364
560,1405866852
559,1405823227
558,1405654436
557,1405639918
556,1405613301
555,1405582862
554,1405314720
553,1405265020
552,1405212701
551,1405101627
550,1405024876
549,1405013790
548,1404987916
547,1404982090
546,1404979523
545,1404936336
544,1404823344
543,1404808416
542,1404800474
541,1404791648
540,1404791486
539,1404754579
538,1404733586
537,1404406069
536,1404394110
535,1404343945
534,1404293140
533,1404204261
532,1404137279
531,1404121820
530,1404013434
529,1403975745
528,1403873169
527,1403796205
526,1403785980
525,1403641729
524,1403607687
523,1403537935
522,1403534077
521,1403510062
520,1403242995
519,1403214644
518,1403102193
517,1402915502
516,1402883337
515,1402860070
514,1402725855
513,1402668893
512,1402621508
