total,time
861,1426824369
860,1426815625
859,1422939123
858,1422695650
857,1422779471
856,1422779302
855,1422749829
854,1422681518
853,1422670304
852,1422666304
851,1422662145
850,1422661634
849,1422658972
848,1422604611
847,1422599019
846,1422596596
845,1422594506
844,1422594421
843,1422582319
842,1422593931
841,1422581650
840,1422580692
839,1422579770
838,1422523990
837,1420696585
836,1420695313
835,1420695309
834,1420690547
833,1420694494
832,1420692750
831,1420372318
830,1420371649
829,1420032248
828,1420011375
827,1420007357
826,1419912397
825,1419070066
824,1419069800
823,1419060073
822,1419059759
821,1418863241
820,1418858953
819,1416885818
818,1416815944
817,1416678223
816,1416747759
815,1416732169
814,1416442086
813,1416438953
812,1416437240
811,1416434584
810,1416333042
809,1416326863
808,1416326492
807,1415775609
806,1415760064
805,1415603549
804,1415584591
803,1414086375
802,1413475331
801,1413473372
800,1413416742
799,1413416453
798,1413349581
797,1412993850
796,1412920685
795,1412987350
794,1412987312
793,1412987300
792,1412987215
791,1412925674
790,1412924953
789,1412924215
788,1412923687
787,1412823921
786,1412812902
785,1412809548
784,1412807866
783,1412793430
782,1412793421
781,1412793246
780,1412664320
779,1412663632
778,1412663352
777,1412662711
776,1412662185
775,1412660360
774,1406967534
773,1412642961
772,1412642136
771,1412412130
770,1412638150
769,1412409560
768,1412515121
767,1412414846
766,1412414802
765,1412414759
764,1412413030
763,1412412993
762,1412412494
761,1412403803
760,1412399296
759,1412363278
758,1412056621
757,1412359006
756,1412358960
755,1412355137
754,1412354410
753,1411824024
752,1411804796
751,1410900889
750,1410900396
749,1410801116
748,1410207233
747,1410483329
746,1410483105
745,1407369909
744,1407369640
743,1406967271
742,1406651695
741,1406650133
740,1406643711
739,1406303881
738,1406258080
737,1404841466
736,1404840271
735,1404329156
734,1404329138
733,1404328941
732,1404328425
731,1404328171
730,1404327903
729,1404327099
728,1404326733
727,1404324762
726,1404323730
725,1403580703
724,1403553611
723,1402173118
722,1402105337
721,1402105329
720,1402104960
719,1402034485
718,1402034291
717,1402034269
716,1401795919
715,1402019647
714,1401991364
713,1401990465
712,1401989643
711,1401819374
710,1401818432
709,1401816666
708,1401816639
707,1401753626
706,1401749844
705,1401516244
704,1401500334
703,1401478056
702,1401474064
701,1401413990
700,1401407401
699,1401398502
698,1401239863
697,1401239178
696,1400862985
695,1400791560
694,1400861896
693,1400797344
692,1400796953
691,1400794847
690,1400794244
689,1400794330
688,1400793522
687,1400787931
686,1400782255
685,1400781922
684,1400781592
683,1400777392
682,1400279411
681,1400276577
680,1400272647
679,1400272521
678,1400088821
677,1400088621
676,1399565065
675,1399565056
674,1399564865
673,1399563538
672,1398692829
671,1399503498
670,1399501315
669,1399008840
668,1398964562
667,1398198429
666,1395794907
665,1395674817
664,1395384726
663,1395384718
662,1395384551
661,1395384098
660,1395383997
659,1395351631
658,1395351318
657,1395253939
656,1395215047
655,1394820599
654,1394820113
653,1394783165
652,1394777464
651,1394087934
650,1394087147
649,1393908406
648,1393897425
647,1393023257
646,1393022421
645,1392998614
644,1392969904
643,1391412531
642,1392939902
641,1392937707
640,1392937314
639,1392936922
638,1392936412
637,1392928187
636,1392927069
635,1392924364
634,1392920085
633,1392181527
632,1392025757
631,1391301851
630,1391286335
629,1391286328
628,1391286231
627,1391241369
626,1391241362
625,1391240908
624,1391240721
623,1391240094
622,1391240082
621,1391239879
620,1391239848
619,1391239802
618,1391238520
617,1391238502
616,1391238475
615,1391238457
614,1391237826
613,1391236441
612,1391235864
611,1391235658
610,1391224335
609,1391224122
608,1391223459
607,1391222827
606,1391222172
605,1391221758
604,1391220430
603,1391212111
602,1391207507
601,1391206771
600,1391130626
599,1391129140
598,1391128178
597,1390525767
596,1390525561
595,1390522335
594,1390520953
593,1390519360
592,1390518993
591,1390518340
590,1390510861
589,1390508809
588,1390503610
587,1390481530
586,1390369756
585,1390210400
584,1390156726
583,1389736439
582,1389736414
581,1389735986
580,1389735863
579,1389734747
578,1389692748
577,1389691983
576,1389251083
575,1389234137
574,1389231495
573,1389222890
572,1389078056
571,1389077075
570,1388787656
569,1387963943
568,1387963838
567,1387962303
566,1387852073
565,1377660980
564,1387475258
563,1387472782
562,1387400155
561,1386613597
560,1386533288
559,1386505955
558,1386006713
557,1385949135
556,1378847349
555,1374801427
554,1385408635
553,1385408633
552,1385408546
551,1384647837
550,1384633748
549,1384563727
548,1384561775
547,1384561637
546,1384277518
545,1384043975
544,1384112009
543,1384111367
542,1384110103
541,1384103856
540,1384026867
539,1384026497
538,1383949162
537,1383869602
536,1383945973
535,1383937218
534,1383931588
533,1383873792
532,1383865668
531,1383865257
530,1383860063
529,1383859652
528,1383849176
527,1383834008
526,1383812989
525,1383782234
524,1383684336
523,1383682474
522,1383555028
521,1383293675
520,1383293203
519,1383226676
