total,time
810,1428730555
809,1428690616
808,1428661135
807,1428657349
806,1428584009
805,1428573107
804,1428557773
803,1428458586
802,1428433097
801,1428395146
800,1428389458
799,1428383647
798,1428377977
797,1428367719
796,1428266042
795,1428247752
794,1428225226
793,1428163603
792,1428149668
791,1428077656
790,1428044191
789,1428026862
788,1427969398
787,1427955727
786,1427946918
785,1427910732
784,1427883134
783,1427870148
782,1427787527
781,1427565732
780,1427447096
779,1427445266
778,1427444891
777,1427358954
776,1427313306
775,1427273447
774,1427204838
773,1427202942
772,1427193835
771,1427159588
770,1427104801
769,1427086208
768,1427046633
767,1426870910
766,1426864210
765,1426858771
764,1426837590
763,1426835412
762,1426823391
761,1426798423
760,1426726590
759,1426686436
758,1426586192
757,1426581641
756,1426579224
755,1426552899
754,1426508511
753,1426485814
752,1426423823
751,1426337331
750,1426314629
749,1426154143
748,1426151497
747,1426143238
746,1426085685
745,1426076190
744,1426039504
743,1426028938
742,1425983622
741,1425930630
740,1425927457
739,1425847149
738,1425804480
737,1425641026
736,1425632006
735,1425621874
734,1425576554
733,1425569741
732,1425547058
731,1425521363
730,1425487972
729,1425457299
728,1425452175
727,1425445605
726,1425433990
725,1425413329
724,1425395204
723,1425360827
722,1425287544
721,1425273462
720,1425271592
719,1425038733
718,1425035127
717,1425023372
716,1424961417
715,1424928464
714,1424924775
713,1424762158
712,1424736407
711,1424719346
710,1424687017
709,1424638751
708,1424587912
707,1424550125
706,1424469329
705,1424413939
704,1424314222
703,1424193397
702,1424183867
701,1423983698
700,1423715291
699,1423579130
698,1423549667
697,1423473397
696,1423452145
695,1423433387
694,1423284804
693,1423213242
692,1423169818
691,1423156571
690,1423136344
689,1423114563
688,1423066794
687,1422992332
686,1422961053
685,1422948984
684,1422929432
683,1422866488
682,1422821730
681,1422794529
680,1422783504
679,1422607283
678,1422590232
677,1422454806
676,1422450331
675,1422446912
674,1422434924
673,1422429074
672,1422352762
671,1422343339
670,1422343085
669,1422270874
668,1422269350
667,1422075019
666,1422027002
665,1421972526
664,1421967151
663,1421965507
662,1421911633
661,1421908182
660,1421830389
659,1421770318
658,1421739833
657,1421725204
656,1421720422
655,1421707712
654,1421700959
653,1421676789
652,1421672445
651,1421601760
650,1421526867
649,1421498750
648,1421487159
647,1421471147
646,1421461472
645,1421441570
644,1421407276
643,1421380871
642,1421339536
641,1421333073
640,1421272975
639,1421217169
638,1421205445
637,1421199593
636,1421187157
635,1421185237
634,1421175356
633,1421159582
632,1421137843
631,1421052821
630,1421031580
629,1420921847
628,1420903749
627,1420748660
626,1420742136
625,1420709557
624,1420383414
623,1420369759
622,1420359804
621,1420289579
620,1420228066
619,1420108071
618,1420098783
617,1419846607
616,1419749650
615,1419485974
614,1419428173
613,1419406665
612,1419331733
611,1419258237
610,1419255003
609,1419221694
608,1419162989
607,1419061696
606,1418893995
605,1418879105
604,1418874892
603,1418851979
602,1418778780
601,1418763477
600,1418762980
599,1418762178
598,1418718437
597,1418706671
596,1418336977
595,1418318001
594,1418288027
593,1418269007
592,1418202979
591,1417793302
590,1417780104
589,1417778041
588,1417768489
587,1417744237
586,1417617905
585,1417576397
584,1417573923
583,1417483941
582,1417437127
581,1417428801
580,1417256750
579,1417091392
578,1417009602
577,1416915855
576,1416908565
575,1416728123
574,1416692312
573,1416675841
572,1416674378
571,1416438108
570,1416290370
569,1416281444
568,1416218303
567,1416205691
566,1415978704
565,1415978588
564,1415950034
563,1415932451
562,1415901474
561,1415884304
560,1415854049
559,1415843581
558,1415779944
557,1415766371
556,1415758316
555,1415705033
554,1415699568
553,1415699533
552,1415673400
551,1415261772
550,1415159911
549,1415137453
548,1415121552
547,1415080591
546,1415030923
545,1415028399
544,1414940078
543,1414823828
542,1414749099
541,1414725481
540,1414596265
539,1414584521
538,1414570238
537,1414508910
536,1414485638
535,1414209201
534,1414184448
533,1414128658
532,1414084823
531,1414074851
530,1414056476
529,1414035841
528,1413991369
527,1413948010
526,1413780237
525,1413771390
524,1413731930
523,1413634037
522,1413539185
521,1413517355
520,1413456834
519,1413450509
518,1413442997
517,1412953546
516,1412933202
515,1412852035
514,1412822330
513,1412715672
512,1412555912
511,1412409174
510,1412371507
509,1412328755
508,1412184152
507,1412086171
506,1412026120
505,1411995304
504,1411927376
503,1411848036
502,1411812806
501,1411811377
500,1411809829
499,1411788449
498,1411571207
497,1411569537
496,1411556480
495,1411503896
494,1411499484
493,1411483512
492,1411471972
