total,time
804,1428667123
803,1428492738
802,1428149594
801,1428047630
800,1427907777
799,1427871693
798,1427542612
797,1427477962
796,1427475328
795,1427461901
794,1427355256
793,1427300403
792,1427227606
791,1427111560
790,1427066525
789,1426849943
788,1426803370
787,1426770291
786,1426765983
785,1426621825
784,1426521964
783,1426314260
782,1426310921
781,1426310538
780,1426302571
779,1426153972
778,1426153648
777,1426139246
776,1426112884
775,1426052485
774,1425934877
773,1425819148
772,1425439963
771,1425431391
770,1425418650
769,1425411408
768,1425408012
767,1425400707
766,1425379846
765,1425316724
764,1425099963
763,1425019280
762,1424887728
761,1424864894
760,1424778948
759,1424773351
758,1424550634
757,1424472452
756,1424427469
755,1424397678
754,1424286585
753,1424192812
752,1424120573
751,1423746115
750,1423729431
749,1423662685
748,1423648948
747,1423630360
746,1423615364
745,1423582189
744,1423515692
743,1423495803
742,1423489167
741,1423486278
740,1423255507
739,1423151927
738,1423090162
737,1423084103
736,1423058250
735,1422945352
734,1422887754
733,1422867601
732,1422784908
731,1422749941
730,1422681562
729,1422666328
728,1422661711
727,1422604716
726,1422596623
725,1422593990
724,1422581774
723,1422550970
722,1422549376
721,1422524033
720,1422478710
719,1422448448
718,1422378233
717,1422254859
716,1422170624
715,1421855741
714,1421854186
713,1421838211
712,1421801629
711,1421718423
710,1421696706
709,1421657656
708,1421493901
707,1421398506
706,1421390524
705,1421272633
704,1421065639
703,1420856425
702,1420749482
701,1420692869
700,1420683132
699,1420670317
698,1420640990
697,1420623714
696,1420611469
695,1420550764
694,1420371784
693,1420192313
692,1420009704
691,1419912525
690,1419856600
689,1419734742
688,1419601833
687,1419579812
686,1419518968
685,1419434962
684,1419059822
683,1418911241
682,1418910931
681,1418860471
680,1418849483
679,1418792524
678,1418669706
677,1418472389
676,1418338067
675,1418035498
674,1417780486
673,1417769213
672,1417722559
671,1417679201
670,1417282678
669,1416986872
668,1416958465
667,1416852516
666,1416732450
665,1416679414
664,1416565957
663,1416516404
662,1416477483
661,1416439269
660,1416435800
659,1416288526
658,1416223386
657,1415901546
656,1415791400
655,1415780435
654,1415761757
653,1415584690
652,1415500864
651,1415217819
650,1415166507
649,1414736215
648,1414688993
647,1414682380
646,1414657040
645,1414531326
644,1414505031
643,1414469746
642,1414386407
641,1414308946
640,1413881483
639,1413473427
638,1413416594
637,1413385784
636,1413350381
635,1413313037
634,1413136621
633,1412925757
632,1412924970
631,1412924232
630,1412923719
629,1412920776
628,1412809592
627,1412692927
626,1412661941
625,1412661703
624,1412661070
623,1412412529
622,1412412171
621,1412411604
620,1412409871
619,1412399419
618,1412371332
617,1412355233
616,1412354468
615,1412330091
614,1412270606
