total,time
1052,1421942197
1051,1415729222
1050,1415719307
1049,1415719307
1048,1415669703
1047,1415669683
1046,1415659919
1045,1415641772
1044,1415641168
1043,1415640553
1042,1415640539
1041,1415640438
1040,1415226783
1039,1415226372
1038,1415133690
1037,1415123600
1036,1415019033
1035,1415019033
1034,1415018792
1033,1415018792
1032,1415018725
1031,1414629897
1030,1414629398
1029,1414629207
1028,1414629022
1027,1414628847
1026,1414628755
1025,1414628665
1024,1414628539
1023,1414628498
1022,1414628390
1021,1414627011
1020,1414626744
1019,1414626686
1018,1414626667
1017,1414626207
1016,1414626020
1015,1414625942
1014,1414625925
1013,1414625595
1012,1414625513
1011,1414625293
1010,1414624820
1009,1414613434
1008,1414613420
1007,1414613310
1006,1414612976
1005,1414612918
1004,1414611629
1003,1414094458
1002,1414094336
1001,1414084389
1000,1414084384
999,1414084109
998,1414083816
997,1414074731
996,1414074054
995,1414017125
994,1414016827
993,1414016724
992,1414016290
991,1414015514
990,1414011336
989,1414006564
988,1413483055
987,1413483044
986,1413483035
985,1413483003
984,1413455401
983,1413455069
982,1413452574
981,1411150325
980,1413410616
979,1413410532
978,1413408013
977,1413406366
976,1413405384
975,1413405372
974,1413307440
973,1413357203
972,1413303660
971,1413303660
970,1413303653
969,1413300408
968,1410365703
967,1410362513
966,1406902966
965,1406747967
964,1406731967
963,1406656213
962,1406092327
961,1406091395
960,1406090685
959,1406061020
958,1406060800
957,1406056849
956,1406056849
955,1406056452
954,1406052622
953,1406052490
952,1406049519
951,1406049266
950,1406030163
949,1405991212
948,1405986695
947,1405986112
946,1405985056
945,1405985056
944,1405984352
943,1405984352
942,1405982496
941,1405982067
940,1405981220
939,1405977242
938,1405970464
937,1405963941
936,1405874789
935,1405827818
934,1405827063
933,1405824002
932,1405824002
931,1405805254
930,1405805254
929,1405802715
928,1405802715
927,1405776124
926,1405682107
925,1405681661
924,1403699079
923,1403694449
922,1403690850
921,1403612907
920,1403606218
919,1403254562
918,1403604408
917,1403603177
916,1403522809
915,1403522138
914,1403504152
913,1403164441
912,1403097966
911,1403097442
910,1403095672
909,1403094531
908,1403093300
907,1400491020
906,1400317880
905,1400316470
904,1400314727
903,1400313484
902,1400312591
901,1400309428
900,1399069972
899,1399062521
898,1399062515
897,1399062309
896,1399061265
895,1399050862
894,1398898025
893,1398882225
892,1398878894
891,1398872471
890,1395892714
889,1395539974
888,1395425617
887,1393715882
886,1393715784
885,1393715320
884,1393714917
883,1393714843
882,1393714726
881,1393714651
880,1391809248
879,1391809237
878,1390234116
877,1390233912
876,1390186390
875,1390185305
874,1390120944
873,1390056147
872,1390051029
871,1390044756
870,1390076623
869,1390076257
868,1389595068
867,1389594165
866,1389593623
865,1389551257
864,1389550172
863,1389549572
862,1389523676
861,1389523579
860,1389522848
859,1389522666
858,1389514901
857,1389514815
856,1367467930
855,1367444866
854,1367444676
853,1367441186
852,1367307939
851,1367307005
850,1367306165
849,1367298467
848,1367290257
847,1367286714
846,1367283169
845,1367281358
844,1367272942
843,1367269003
842,1367188648
841,1367188572
840,1367187767
839,1389388845
838,1389388679
837,1389388147
836,1389388049
835,1389383437
834,1389383098
833,1389372149
832,1389308541
