total,time
750,1428762599
749,1428646533
748,1428639566
747,1428372514
746,1428148122
745,1428144438
744,1428027025
743,1428022134
742,1428018357
741,1427867471
740,1427854804
739,1427778921
738,1427724398
737,1427685333
736,1427277416
735,1427101931
734,1426909904
733,1426840293
732,1426815174
731,1426784499
730,1426591393
729,1426590494
728,1426584149
727,1426578805
726,1426576929
725,1426498325
724,1426451751
723,1426398855
722,1426361788
721,1426129141
720,1426018841
719,1426018732
718,1425991672
717,1425981616
716,1425966004
715,1425917701
714,1425906763
713,1425566741
712,1425537614
711,1425422747
710,1425369244
709,1424941225
708,1424668213
707,1424655707
706,1424621716
705,1424345007
704,1424110270
703,1424108467
702,1423557973
701,1423499522
700,1423483773
699,1423415759
698,1423337912
697,1423299957
696,1423129975
695,1423108516
694,1422947752
693,1422863073
692,1422720209
691,1422510750
690,1422498607
689,1422454761
688,1422349598
687,1422346157
686,1422342228
685,1422164356
684,1422138446
683,1422104566
682,1422024923
681,1421960024
680,1421823395
679,1421789284
678,1421703654
677,1421635959
676,1421534029
675,1421510816
674,1421397309
673,1421206271
672,1421160355
671,1421138496
670,1421055711
669,1421024257
668,1420879903
667,1420870426
666,1420725092
665,1420616489
664,1420600365
663,1420537625
662,1420528066
661,1420467629
660,1420387372
659,1420357757
658,1420288770
657,1420273816
656,1420190496
655,1419943576
654,1419924200
653,1419810163
652,1419669177
651,1419457617
650,1419216784
649,1419191025
648,1419175252
647,1418966645
646,1418913043
645,1418880099
644,1418869463
643,1418729388
642,1418727266
641,1418621265
640,1418568810
639,1418556154
638,1418545396
637,1418490779
636,1418415066
635,1418264692
634,1418249986
633,1418204745
632,1418106718
631,1418104043
630,1418023392
629,1418007577
628,1417892262
627,1417767118
626,1417747864
625,1417747085
624,1417550825
623,1417488767
622,1417465300
621,1417402139
620,1417356102
619,1417164032
618,1417161627
617,1417081849
616,1417070133
615,1416834651
614,1416769078
613,1416667039
612,1416505070
611,1416458277
610,1416294542
609,1416260348
608,1416123177
607,1416049673
606,1415984792
605,1415940085
604,1415896849
603,1415871981
602,1415798514
601,1415672799
600,1415658097
599,1415630258
598,1415610378
597,1415605838
596,1415521962
595,1415498530
594,1415293566
593,1415265139
592,1415243918
591,1415225682
590,1415091253
589,1415090772
588,1415088754
587,1415082529
586,1415080949
585,1415065372
584,1415038721
583,1415009477
582,1414985764
581,1414940444
580,1414828966
579,1414758933
578,1414738244
577,1414648291
576,1414628266
575,1414517008
574,1414492188
573,1414398338
572,1414390941
571,1414292371
570,1414290011
569,1414202732
568,1413911124
567,1413910390
566,1413900621
565,1413795663
564,1413717670
563,1413534075
562,1413437759
561,1413416509
560,1413364172
559,1413357072
558,1413356913
557,1413275733
556,1413193927
555,1413128417
554,1412818861
553,1412749847
552,1412746871
551,1412663511
550,1412531044
549,1412195464
548,1412042181
547,1412005931
546,1411808467
545,1411634105
544,1411624985
543,1411609568
542,1411579196
541,1411519310
540,1411518112
539,1411460743
538,1411450677
537,1411440722
536,1411440111
535,1411350142
534,1411198105
533,1411177252
532,1411121697
531,1411114421
530,1411096936
529,1411038820
528,1410775404
527,1410684077
526,1410487936
525,1410429256
524,1410408161
523,1410313348
522,1410258280
521,1410077031
520,1409988611
519,1409895546
518,1409734263
517,1409411608
516,1409332227
515,1409041858
