total,time
297,1425576233
296,1424698293
295,1424164565
294,1423798664
293,1423486127
292,1422493185
291,1422438089
290,1422305726
289,1421446838
288,1420226512
287,1419967088
286,1419945336
285,1419926169
284,1419581307
283,1418694750
282,1418543802
281,1418290592
280,1418206642
279,1418047168
278,1417833986
277,1417822768
276,1417148505
275,1417104419
274,1416915702
273,1416905172
272,1416190614
271,1416074076
270,1415989141
269,1415732670
268,1415716098
267,1415667101
266,1415657248
265,1415654394
264,1415641401
263,1415640548
262,1415638871
261,1415393934
260,1415268618
259,1415230277
258,1415020356
257,1415019845
256,1415018360
255,1415012725
254,1414943763
253,1414860099
252,1414855175
251,1414701114
250,1414682123
249,1414677048
248,1414676860
247,1414588785
246,1414519000
245,1414412414
244,1414074048
243,1413960575
242,1413876017
241,1413571477
240,1413537102
239,1413455418
238,1413455187
237,1413453074
236,1413412528
235,1413404951
234,1413357295
233,1413011687
232,1412943881
231,1412821133
230,1412806207
229,1412704773
228,1411075783
227,1410776464
226,1410690173
225,1410489243
224,1410362623
223,1410360146
222,1409434841
221,1408952712
220,1406091081
219,1406070971
218,1406056978
217,1406056250
216,1406049641
215,1406049462
214,1406049339
213,1406049180
212,1405992975
211,1405986799
210,1405890645
209,1405681871
208,1405532405
207,1405282934
206,1404539502
205,1403690662
204,1403607726
203,1403254742
202,1403252948
201,1403199277
200,1403174967
199,1403104133
198,1401625926
197,1401445058
196,1401297074
195,1398878930
194,1398872578
193,1398861785
192,1396743074
191,1396030529
190,1395920353
189,1395670348
188,1395537489
187,1395425732
186,1395229094
185,1395133553
184,1394918096
183,1394045110
182,1393815231
181,1393790642
180,1393410902
179,1393186106
178,1392660108
177,1392635602
176,1392143495
175,1391577899
174,1391328965
173,1390251900
172,1390236505
171,1390236460
170,1390236415
169,1390186405
168,1390076270
167,1390075185
166,1390056370
165,1389598838
164,1389523831
163,1389449278
162,1389387462
161,1389308594
160,1389308521
159,1389303606
158,1389236274
157,1388869768
156,1388235923
155,1387489437
154,1387059613
153,1386743119
152,1386604547
151,1386333420
150,1384573098
149,1384573058
148,1382572309
147,1382552658
146,1382141357
145,1382003529
144,1381606278
143,1380833446
142,1380609805
141,1380159986
140,1379983904
139,1379013348
138,1378515985
137,1377257335
136,1377151360
135,1377087339
134,1375735653
133,1375549405
132,1374876880
131,1374876880
130,1374876879
129,1374876879
128,1374876878
127,1374876877
126,1374876876
125,1374876876
124,1374876875
123,1374876875
122,1374876874
121,1374876874
120,1374876873
119,1374876873
118,1374876873
117,1374876872
116,1374876872
115,1374876871
114,1374876871
113,1374876870
112,1374876868
111,1374876868
110,1374876867
109,1374876867
108,1374876866
107,1374876866
106,1374876865
105,1374876865
104,1374876864
103,1374876864
102,1374876863
101,1374876863
100,1374876862
99,1374876862
98,1374876861
97,1374876861
96,1374876860
95,1374876860
94,1374876859
93,1374876858
92,1374876858
91,1374876858
90,1374876857
89,1374876857
88,1374876856
87,1374876855
86,1374876854
85,1374876854
84,1374876853
83,1374876853
82,1374876852
81,1374876852
80,1374876851
79,1374876851
78,1374876850
77,1374876850
76,1374876849
75,1374876849
74,1374876848
73,1374876848
72,1374876847
71,1374876846
70,1374876845
69,1374876845
68,1374876844
67,1374876844
66,1374876843
65,1374876843
64,1374876842
63,1374876842
62,1374876840
61,1374876840
60,1374876839
59,1374876839
58,1374876838
57,1374876838
56,1374876837
55,1374876837
54,1374876836
53,1374876836
52,1374876835
51,1374876835
50,1374876834
49,1374876834
48,1374876833
47,1374876833
46,1374876832
45,1374876832
44,1374876831
43,1374876831
42,1374876830
41,1374876830
40,1374876829
39,1374876829
38,1374876828
37,1374876827
36,1374876827
35,1374876826
34,1374869054
33,1374728925
32,1373389311
31,1372686099
30,1370459622
29,1368929305
28,1368047975
27,1367299312
26,1367189936
25,1366917714
24,1365207579
23,1364683476
22,1364328199
21,1363245460
20,1362565478
19,1362308998
18,1361580000
17,1360364908
16,1360349771
15,1360105295
14,1360097883
13,1359993318
12,1359879241
11,1359383322
10,1357428417
9,1354938732
8,1354308010
7,1351276904
6,1350061104
5,1350059861
4,1350023551
3,1350023498
2,1350019363
1,1349762160
