total,time
2505,1426998578
2504,1426884895
2503,1426881684
2502,1418476260
2501,1415201410
2500,1410979700
2499,1410035989
2498,1410035931
2497,1410035108
2496,1410034912
2495,1410009679
2494,1409359530
2493,1409074037
2492,1409280535
2491,1409283507
2490,1409201490
2489,1409198252
2488,1409197557
2487,1404828637
2486,1408993335
2485,1408135660
2484,1407758735
2483,1409082939
2482,1409029316
2481,1409085183
2480,1408554129
2479,1408568009
2478,1408564448
2477,1408561818
2476,1408037664
2475,1404769597
2474,1404750703
2473,1408473581
2472,1407762216
2471,1407088727
2470,1404252823
2469,1404250905
2468,1404235564
2467,1404235157
2466,1399450875
2465,1399411438
2464,1398129848
2463,1398115427
2462,1398111749
2461,1397190828
2460,1395871298
2459,1395870878
2458,1395869634
2457,1395869608
2456,1395869594
2455,1395869563
2454,1395780896
2453,1394127838
2452,1393482726
2451,1393476483
2450,1393468316
2449,1393420927
2448,1389376690
2447,1389376565
2446,1389308668
2445,1389308156
2444,1389307380
2443,1389306213
2442,1389304272
2441,1389303806
2440,1387751231
2439,1387471359
2438,1387471166
2437,1387469924
2436,1387251190
2435,1387219831
2434,1387219799
2433,1386925399
2432,1386632064
2431,1386720907
2430,1386719696
2429,1386717478
2428,1386669488
2427,1386631742
2426,1386628036
2425,1386627544
2424,1386626132
2423,1386625726
2422,1386622760
2421,1386622211
2420,1386618095
2419,1386617879
2418,1386592851
2417,1386592283
2416,1386592059
2415,1386591237
2414,1386527577
2413,1386367586
2412,1386357377
2411,1386355367
2410,1386352969
2409,1386292415
2408,1386290808
2407,1386277510
2406,1386274584
2405,1386221993
2404,1386221883
2403,1386209699
2402,1385570737
2401,1385531202
2400,1385492780
2399,1385484120
2398,1385401578
2397,1385400800
2396,1385400594
2395,1385377401
2394,1385252530
2393,1385252454
2392,1385252393
2391,1385252365
2390,1385252348
2389,1385153349
2388,1385150712
2387,1385142341
2386,1385129916
2385,1385056218
2384,1385055736
2383,1385052207
2382,1384982909
2381,1384981035
2380,1384980936
2379,1384974076
2378,1384970560
2377,1384962920
2376,1384935141
2375,1384893779
2374,1384852358
2373,1384851733
2372,1384440769
2371,1384365343
2370,1384365331
2369,1384365314
2368,1384364771
2367,1384364680
2366,1384287896
2365,1384209243
2364,1384209118
2363,1384149188
2362,1383856683
2361,1383787879
2360,1383731515
2359,1383598305
2358,1383332634
2357,1383325838
2356,1383298032
2355,1383296935
2354,1383242264
2353,1383192895
2352,1383191876
2351,1383190862
2350,1383180704
2349,1383149224
2348,1383149206
2347,1383148706
2346,1383120405
2345,1383113480
2344,1383109455
2343,1383107871
2342,1383084950
2341,1383084722
2340,1383083220
2339,1383083195
2338,1383083135
2337,1383078640
2336,1383077550
2335,1383077540
2334,1383074089
2333,1383071809
2332,1383070569
2331,1383063596
2330,1383063345
2329,1383062049
2328,1383040261
2327,1383032788
2326,1383028203
2325,1383009557
2324,1383007178
2323,1382995394
2322,1382994816
2321,1382993358
2320,1382991395
2319,1382987911
2318,1382986930
2317,1382980095
2316,1382726762
2315,1382905053
2314,1382859649
2313,1382858090
2312,1382842798
2311,1382837064
2310,1382827355
2309,1382824570
2308,1382806841
2307,1382774743
2306,1382726678
2305,1382726665
2304,1382723772
2303,1382723760
2302,1382721005
2301,1382700850
2300,1382560324
2299,1382555343
2298,1382477758
2297,1382477746
2296,1382477452
2295,1382461318
2294,1382442117
2293,1382208957
2292,1382208830
2291,1382131324
2290,1382121014
2289,1382111213
2288,1382111145
2287,1382111100
2286,1382111075
2285,1382110317
2284,1382109410
2283,1382107688
2282,1382107443
2281,1382050867
2280,1382044555
