total,time
549,1427681153
548,1427387449
547,1427195177
546,1426967639
545,1426917370
544,1426628573
543,1426415295
542,1426112815
541,1425770061
540,1425640846
539,1425562629
538,1425311618
537,1424943712
536,1424557100
535,1424054308
534,1423874100
533,1423757606
532,1423607937
531,1423158872
530,1422986339
529,1422986158
528,1422859780
527,1422639411
526,1422615660
525,1422575852
524,1422467521
523,1422073994
522,1421905043
521,1421782426
520,1421411297
519,1421131829
518,1421095517
517,1420391032
516,1420009300
515,1419944533
514,1419641121
513,1419393749
512,1418966736
511,1418956423
510,1418899190
509,1418611327
508,1418528825
507,1418476093
506,1418345616
505,1418321969
504,1418191317
503,1418077317
502,1418024013
501,1417921485
500,1417536944
499,1417260645
498,1417089956
497,1416951804
496,1416831106
495,1416693981
494,1416648153
493,1416560361
492,1416453148
491,1416377762
490,1416377754
489,1416356765
488,1415895301
487,1415864767
486,1415844493
485,1415655677
484,1415179673
483,1415077066
482,1414424335
481,1414321010
480,1413936988
479,1413592192
478,1413555648
477,1413257997
476,1413039389
475,1412540712
474,1412496190
473,1412250787
472,1412152029
471,1411717275
470,1411608241
469,1411206048
468,1411142950
467,1410979683
466,1410964111
465,1410601573
464,1410545620
463,1410354682
462,1410354261
461,1410264736
460,1409839411
459,1409806190
458,1409783627
457,1409494445
456,1409385045
455,1409140475
454,1409004970
453,1408668507
452,1408626992
451,1408369641
450,1408090974
449,1408042954
448,1407761343
447,1407758104
446,1407623826
445,1406089623
444,1406085153
443,1406079096
442,1405853586
441,1405701022
440,1405624389
439,1405407336
438,1405391783
437,1405227678
436,1405104978
435,1405050269
434,1404968361
433,1404825993
432,1404786772
431,1404769137
430,1404314784
429,1404118131
428,1404003446
427,1403994456
426,1403855877
425,1403368517
424,1403164786
423,1403129490
422,1403041616
421,1402956925
420,1402835700
419,1402666637
418,1402391925
417,1402054553
416,1401972299
415,1401961204
414,1401859461
413,1401748407
412,1401711702
411,1401570196
410,1401517647
409,1401373955
408,1401288431
407,1400937957
406,1400616690
405,1400593428
404,1399438896
403,1399260308
402,1399139418
401,1398954032
400,1398904797
399,1398868584
398,1398864688
397,1398783754
396,1398752056
395,1398649028
394,1398647715
393,1398099628
392,1398004013
391,1397751851
390,1397699106
389,1397586504
388,1397546478
387,1397369006
386,1397310575
385,1397239565
384,1397173366
383,1396902846
382,1396642394
381,1396502711
380,1396333062
379,1396164367
378,1396134927
377,1396053945
376,1395995507
375,1395964524
374,1395907383
373,1395467552
372,1395316510
371,1394508668
370,1394472035
369,1394454672
368,1394095195
367,1394078825
366,1393978878
365,1393936003
364,1393932126
363,1393740475
362,1393437103
361,1393360857
360,1393358328
359,1393343067
358,1392590203
357,1392503389
356,1392413178
355,1392266056
354,1392190562
353,1392143864
352,1392071593
351,1391951247
350,1391849271
349,1391744955
348,1391583297
347,1391349196
346,1391121746
345,1391072529
344,1391064616
343,1390952183
342,1390631158
341,1390454082
340,1390453836
339,1390085555
338,1389990554
337,1389928374
336,1389918034
335,1389485401
334,1389398838
333,1389382023
332,1389374278
331,1389288473
330,1389180751
329,1389121322
328,1388988974
327,1388759638
326,1388741885
325,1388678148
324,1388660948
323,1388456409
322,1388349519
321,1388043349
320,1387837254
319,1387707245
318,1387670338
317,1387615718
316,1387550983
315,1387466769
314,1387439624
313,1387380867
312,1387341434
311,1387016736
310,1386957442
309,1386827410
308,1386692064
307,1386508792
306,1386460323
305,1386338567
304,1386158873
303,1386150924
302,1386136537
301,1386125290
300,1385992322
299,1385883430
298,1385769816
297,1385635235
296,1385616187
295,1385530465
294,1385526204
293,1385508856
292,1385345244
291,1385222996
290,1385153529
289,1385062687
288,1385012774
287,1384963657
286,1384532779
285,1384532020
284,1384501095
283,1384431125
282,1384219802
281,1384218079
280,1384139662
279,1384045952
278,1383985464
277,1383974818
276,1383972494
275,1383947891
274,1383915826
273,1383869934
272,1383808623
271,1383321488
270,1383300129
269,1383299399
268,1383239666
267,1383135900
266,1383078357
265,1382901665
264,1382872645
263,1382798017
262,1382797754
261,1382739845
260,1382736795
259,1382684778
258,1382641482
257,1382640273
256,1382602734
255,1382546219
254,1382507827
253,1382480752
252,1382388850
251,1382359257
250,1382284688
249,1382260947
248,1382203944
247,1382171052
246,1382155865
245,1382131009
244,1382107365
243,1382076409
242,1382064157
241,1382062383
240,1382055276
239,1382039217
238,1382035436
237,1382034342
236,1382034066
235,1382032338
234,1382015407
233,1382010773
232,1382006726
231,1382003528
230,1382001983
229,1381997543
228,1381996526
227,1381992354
226,1381986025
225,1381980762
224,1381976428
223,1381974317
222,1381974200
221,1381972013
220,1381970788
219,1381960509
218,1381960403
217,1381947646
216,1381940381
215,1381892718
214,1381869765
213,1381860198
212,1381850600
211,1381833475
210,1381831497
209,1381771274
208,1381760943
207,1381739895
206,1381669503
205,1381532423
204,1381484630
203,1381395179
202,1381334705
201,1381299345
200,1381259858
199,1381256050
198,1381253169
197,1381249421
196,1381241521
195,1381211030
194,1381178896
193,1381170982
192,1380946134
191,1380873444
190,1380854013
189,1380786175
188,1380750925
187,1380721298
186,1380694491
185,1380663297
184,1380567083
183,1380551866
182,1380528652
181,1380520211
180,1380444581
179,1380436999
178,1380423558
177,1380387804
176,1380370096
175,1380284282
174,1380251928
173,1380250224
172,1380229791
171,1380228173
170,1380220382
169,1380212136
168,1380195334
167,1380159465
166,1380158042
165,1380144301
164,1380130125
163,1380108840
162,1380101018
161,1380089703
160,1380078629
159,1380075078
158,1380074263
157,1380072382
156,1380062634
155,1380036912
154,1380036205
153,1380034844
152,1380034164
151,1380030201
150,1380023640
149,1380005459
148,1380003611
147,1380002024
146,1380000328
145,1380000287
144,1379994828
143,1379987474
142,1379985820
141,1379962951
140,1379960226
139,1379954274
138,1379948974
137,1379948638
136,1379929434
135,1379928942
134,1379922681
133,1379914181
132,1379910573
131,1379909265
130,1379905162
129,1379904817
128,1379899907
127,1379885952
126,1379875648
125,1379870718
124,1379870626
123,1379868765
122,1379864297
121,1379863449
120,1379860749
119,1379828566
118,1379812165
117,1379810854
116,1379809577
115,1379791970
114,1379789144
113,1379768384
112,1379762481
111,1379755934
110,1379725840
109,1379723744
108,1379723036
107,1379720977
106,1379715849
105,1379713147
104,1379711441
103,1379703199
102,1379697770
101,1379692788
100,1379688640
99,1379688214
98,1379687255
97,1379684677
96,1379684412
95,1379682921
94,1379681410
93,1379680869
92,1379675319
91,1379675180
90,1379673941
89,1379671982
88,1379670954
87,1379668296
86,1379667005
85,1379666882
84,1379666409
83,1379665993
82,1379664804
81,1379660228
80,1379656274
79,1379650804
78,1379648632
77,1379647762
76,1379644378
75,1379643822
74,1379185190
73,1379140933
72,1378924384
71,1377635032
70,1377013103
69,1375035737
68,1374766518
67,1374352766
66,1373886713
65,1373345975
64,1372851425
63,1372388460
62,1371543637
61,1371104880
60,1371101622
59,1371028656
58,1370166424
57,1369501541
56,1369275514
55,1368036323
54,1367905479
53,1367561454
52,1367500785
51,1367026943
50,1367002139
49,1366896918
48,1366835853
47,1366792433
46,1366737706
45,1366704952
44,1366631442
43,1366531204
42,1366489368
41,1366397518
40,1366360512
39,1366358933
38,1366355826
37,1366297905
36,1366276161
35,1366271447
34,1366234690
33,1366161306
32,1366156491
31,1366133508
30,1366132532
29,1366128891
28,1366122282
27,1366111296
26,1366103849
25,1366090172
24,1366077571
23,1366067689
22,1366041010
21,1366031616
20,1366029634
19,1366018859
18,1366015085
17,1366007321
16,1365997212
15,1365994842
14,1365982881
13,1365979599
12,1365963568
11,1365958633
10,1365958259
9,1365957647
8,1365953156
7,1365938686
6,1365935358
5,1363732798
4,1363296163
3,1363107241
2,1357757961
1,1355153442
