total,time
1058,1427597065
1057,1426967625
1056,1426835208
1055,1426802905
1054,1425958711
1053,1425854951
1052,1424626299
1051,1423925973
1050,1422875236
1049,1422859981
1048,1418476271
1047,1418079998
1046,1415735993
1045,1415281088
1044,1414430252
1043,1412672208
1042,1412496266
1041,1412102852
1040,1410979703
1039,1410957616
1038,1410342182
1037,1410037161
1036,1410035978
1035,1410035833
1034,1410035035
1033,1410034210
1032,1409807645
1031,1409585617
1030,1409521253
1029,1409385593
1028,1409364450
1027,1409212415
1026,1408991750
1025,1408810750
1024,1408686924
1023,1408251060
1022,1408135879
1021,1407797589
1020,1407767090
1019,1407762297
1018,1407760872
1017,1407421752
1016,1407088734
1015,1406825745
1014,1406825377
1013,1406099640
1012,1406097155
1011,1405619333
1010,1404828771
1009,1404750839
1008,1404497341
1007,1404251090
1006,1404235404
1005,1404049269
1004,1403994257
1003,1402666761
1002,1402466718
1001,1402041063
1000,1401967716
999,1401859778
998,1401712131
997,1401571184
996,1401288774
995,1401049098
994,1400888624
993,1400585527
992,1400506777
991,1398860468
990,1398788582
989,1398576232
988,1398129909
987,1398124013
986,1398123890
985,1398123714
984,1398111882
983,1398101516
982,1398101431
981,1398101014
980,1398100755
979,1397920624
978,1397857263
977,1397413493
976,1397192440
975,1397191320
974,1397174526
973,1397173518
972,1397172110
971,1396427592
970,1396239993
969,1396102153
968,1395700269
967,1395118810
966,1394563349
965,1394134824
964,1394131302
963,1394126941
962,1393644355
961,1393643967
960,1393531069
959,1393530134
958,1393468609
957,1393452306
956,1393447030
955,1393420947
954,1393089737
953,1392282437
952,1391106191
951,1390795349
950,1390427909
949,1390406962
948,1390073489
947,1389971872
946,1389955792
945,1389889745
944,1389492779
943,1389308707
942,1388880803
941,1388260893
940,1387751265
939,1387470319
938,1387251549
937,1387193272
936,1386721124
935,1386669619
934,1386640353
933,1386593348
932,1386448526
931,1386278773
930,1386223057
929,1386210365
928,1386195297
927,1386167195
926,1385984543
925,1385531351
924,1385490725
923,1385489745
922,1385478338
921,1385410490
920,1385401729
919,1385377506
918,1385166268
917,1385151068
916,1385129921
915,1385080838
914,1385059614
913,1385053812
912,1384935146
911,1384851849
910,1384762231
909,1384321838
908,1384285107
907,1384095911
906,1383769044
905,1383589392
904,1383586487
903,1383234392
902,1383180806
901,1383160483
900,1383160406
899,1383151281
898,1383150112
897,1383084183
896,1383078363
895,1383073795
894,1382995578
893,1382957817
892,1382873983
891,1382845789
890,1382782741
889,1382775070
888,1382763801
887,1382720665
886,1382700973
885,1382697711
884,1382643508
883,1382556243
882,1382516181
881,1382442333
880,1382379167
879,1382204180
878,1382138654
877,1382123839
876,1382045684
875,1382042079
874,1382040195
873,1382020764
872,1382020684
871,1382005794
870,1381967801
869,1381965638
868,1381961157
867,1381953638
866,1381940563
865,1381936321
864,1381859482
863,1381657308
862,1381649473
861,1381636078
860,1381574940
859,1381570689
858,1381527404
857,1381509376
856,1381443470
855,1381441434
854,1381429734
853,1381427895
852,1381424099
851,1381423540
850,1381417527
849,1381352420
848,1381352365
847,1381351525
846,1381351488
845,1381350992
844,1381350955
843,1381350913
842,1381350866
841,1381350792
840,1381350566
839,1381349466
838,1381348732
837,1381348164
836,1381344819
835,1381334931
834,1381323691
833,1381266848
832,1381258762
831,1381247468
830,1381155754
829,1381110238
828,1381029845
827,1380913508
826,1380898157
825,1380737957
824,1380661097
823,1380653560
822,1380652986
821,1380652721
820,1380651110
819,1380643881
818,1380580426
817,1380578336
816,1380578013
815,1380577973
814,1380577855
813,1380577788
812,1380569098
811,1380563782
810,1380561248
809,1380537050
808,1380473623
807,1380338139
806,1380335853
805,1380317639
804,1380317026
803,1380311110
802,1380310317
801,1380306256
800,1380304886
799,1380300057
798,1380252712
797,1380252629
796,1380240006
795,1380236406
794,1380234071
793,1380232393
792,1380217978
791,1380144142
790,1380141822
789,1380138680
788,1380138454
787,1380136736
786,1380135938
785,1380134933
784,1380133409
783,1380132540
782,1380061318
781,1380060234
780,1380058893
779,1380055214
778,1380051041
777,1380049331
776,1380049152
775,1380046738
774,1380042563
773,1380041337
772,1379993419
771,1379990050
770,1379975134
769,1379975114
768,1379975077
767,1379969395
766,1379969354
765,1379969277
764,1379963026
763,1379957225
762,1379923734
761,1379868046
760,1379813587
759,1379745784
758,1379744404
757,1379744052
756,1379737970
755,1379715970
754,1379711979
753,1379708333
752,1379700498
