commit,sha,time,cyclo,abstract,fanout,npath
1,f111f734,1332806285,0,0,0,0
2,121a79e4,1333588969,0,0,0,0
3,e142865d,1334774118,0,0,0,0
4,3e329f77,1335071728,0,0,0,0
5,aead3063,1335219483,0,0,0,0
6,8946b3ba,1335566060,0,0,0,0
7,87aa6c52,1335566537,0,0,0,0
8,6349776b,1335566818,0,0,0,0
9,16ec31c3,1336145971,0,0,0,0
10,593cde03,1336147188,0,0,0,0
11,501b04f3,1336428746,0,0,0,0
12,a72fa4e0,1336429251,0,0,0,0
13,343b0398,1336526252,0,0,0,0
14,03f1ab45,1337299936,0,0,0,0
15,6a45f21c,1337812050,0,0,0,0
16,16350cfe,1337817189,0,0,0,0
17,2ff391f7,1337827204,0,0,0,0
18,7a846131,1337877564,0,0,0,0
19,fb1b3fe7,1337899205,0,0,0,0
20,4a6dc85f,1339111281,0,0,0,0
21,c59ade05,1339882365,0,0,0,0
22,a916e1dc,1343928936,0,0,0,0
23,34ae1e71,1344291412,0,0,0,0
24,f7381e3c,1344438049,0,0,0,0
25,5f7c9c83,1344438121,0,0,0,0
26,ba966bdd,1344438133,0,0,0,0
27,ac0a2070,1344438300,0,0,0,0
28,e37b756b,1347473445,0,0,0,0
29,d86875d7,1347473454,0,0,0,0
30,dc6deaee,1347473466,0,0,0,0
31,643ef936,1347473531,0,0,0,0
32,98303fc8,1347473546,0,0,0,0
33,62d54524,1347473557,0,0,0,0
34,710fe0a4,1347473821,0,0,0,0
35,1f10c016,1347473847,0,0,0,0
36,3b2cb507,1347473882,0,0,0,0
37,f96a78fb,1347476014,0,0,0,0
38,210ca4c9,1347477715,0,0,0,0
39,23eb6fe5,1349191140,0,0,0,0
40,fcf3cd3f,1349196043,0,0,0,0
41,7f60af8a,1349208979,0,0,0,0
42,ed1f900c,1349208993,0,0,0,0
43,82f0800e,1350254704,0,0,0,0
44,e43f6575,1350926007,0,0,0,0
45,aae09fe0,1352397940,0,0,0,0
46,c7f9eaa7,1352407485,0,0,0,0
47,cdcdcba5,1353697111,0,0,0,0
48,1bbb2b1e,1353777231,0,0,0,0
49,7e81b9ec,1353779100,0,0,0,0
50,ea8be50a,1353943307,0,0,0,0
51,16831a74,1353951417,0,0,0,0
52,ee4bb67e,1353953680,0,0,0,0
53,6691a71b,1353953807,0,0,0,0
54,ed2909cb,1353953873,0,0,0,0
55,339f1fd1,1353953924,0,0,0,0
56,9cdd7fb4,1353966506,0,0,0,0
57,014a5dda,1353966514,0,0,0,0
58,71553c97,1363974470,0,0,0,0
59,07a921ca,1364229527,0,0,0,0
60,8eeed024,1364396697,0,0,0,0
61,ed4a152f,1364399578,0,0,0,0
62,43893662,1364600620,0,0,0,0
63,81cd979b,1364932826,0,0,0,0
64,bef46655,1365395139,0,0,0,0
65,022f1833,1365697225,0,0,0,0
66,4c01dcb8,1365697958,0,0,0,0
67,bbf44b69,1365820134,0,0,0,0
68,ac0586ed,1366479676,0,0,0,0
69,37f3a1c3,1366530769,0,0,0,0
70,b06053c8,1366535264,0,0,0,0
71,b6fc39b8,1366752118,0,0,0,0
72,fe374f3b,1366849841,0,0,0,0
73,dae08177,1367334214,0,0,0,0
74,c115e625,1367424452,0,0,0,0
75,2f2cd4d1,1368049570,0,0,0,0
76,d99fc786,1368552318,0,0,0,0
77,42c2bf32,1369768975,0,0,0,0
78,2e359b1e,1369769009,0,0,0,0
79,e9c9d5b4,1369769032,0,0,0,0
80,2e1f7af9,1369770027,0,0,0,0
81,f7ebe5c6,1370575963,0,0,0,0
82,4e377bc7,1370576020,0,0,0,0
83,5ca07133,1370624123,0,0,0,0
84,73aa2a93,1370882031,0,0,0,0
85,7aa0dcea,1375123303,0,0,0,0
86,0fcfc437,1375303470,0,0,0,0
87,9a703dbc,1378411595,0,0,0,0
88,fb5f6d67,1378413288,0,0,0,0
89,a9154113,1378423063,0,0,0,0
90,91fdf2da,1378424056,0,0,0,0
91,aa076740,1378424310,0,0,0,0
92,c132e537,1378493993,0,0,0,0
93,3523c67a,1379432138,0,0,0,0
94,0e049281,1381181204,0,0,0,0
95,443b510c,1383318328,0,0,0,0
96,2cc29014,1383324607,0,0,0,0
97,064e924a,1383324730,0,0,0,0
98,f719820e,1383335531,0,0,0,0
99,85bf4c03,1384462198,0,0,0,0
100,fea2529e,1384788226,0,0,0,0
101,70cf373b,1385055156,0,0,0,0
102,14133414,1385995720,0,0,0,0
103,f7a7ffff,1385995789,0,0,0,0
104,5994daf0,1386270318,0,0,0,0
105,7db2407b,1386329465,0,0,0,0
106,0cd52254,1386329506,0,0,0,0
107,45cabc90,1386329543,0,0,0,0
108,b36ead73,1386330013,0,0,0,0
109,d630c00b,1386345876,0,0,0,0
110,dcceb677,1386375211,0,0,0,0
111,fb34dae7,1386376160,0,0,0,0
112,93f2dad8,1386606116,0,0,0,0
113,a9283c35,1387233373,0,0,0,0
114,be9db8e6,1387278767,0,0,0,0
115,351b604b,1389054036,0,0,0,0
116,d2707b7d,1389197346,0,0,0,0
117,1b1b1bc2,1389197367,0,0,0,0
118,08e34bdc,1389275549,0,0,0,0
119,340bc282,1389618090,0,0,0,0
120,998242ea,1389620716,0,0,0,0
121,c4e2dc0d,1397834314,0,0,0,0
122,737dcaf1,1397834385,0,0,0,0
123,c9e2e904,1399668380,0,0,0,0
124,93245322,1399668423,0,0,0,0
125,0e9961e1,1399669625,0,0,0,0
126,f8a50363,1406309805,0,0,0,0
127,dbdbe077,1406309879,0,0,0,0
128,9fc714b6,1406318428,0,0,0,0
129,a701a633,1406568193,0,0,0,0
130,9745338e,1406568546,0,0,0,0
131,527a6b54,1406568698,0,0,0,0
132,44987f0a,1406648633,0,0,0,0
133,2e98c796,1406731123,0,0,0,0
134,03f87991,1407342784,0,0,0,0
135,128ac74b,1407357848,0,0,0,0
136,71fc2109,1407357855,0,0,0,0
137,f7646d49,1407360806,0,0,0,0
138,28c26ab9,1407539576,0,0,0,0
139,1851deb6,1407539745,0,0,0,0
140,115212d8,1407541744,0,0,0,0
141,be30bdb4,1407700374,0,0,0,0
142,a551495c,1407796624,0,0,0,0
143,0cfccc12,1408117847,0,0,0,0
144,94becbc0,1408117986,0,0,0,0
145,b50e54c1,1409245338,0,0,0,0
146,99e73074,1409245345,0,0,0,0
147,3984366f,1409346229,0,0,0,0
148,0a35e771,1409346399,0,0,0,0
149,4a1d0731,1409349347,0,0,0,0
150,d377b2e8,1409349364,0,0,0,0
151,cee2e3fd,1410197884,0,0,0,0
152,3dd1fa4c,1410199399,0,0,0,0
153,c2cd4b9f,1413834442,0,0,0,0
154,60978dbe,1413909640,0,0,0,0
155,ec34c507,1413909674,0,0,0,0
156,36fa0fa6,1413911816,0,0,0,0
157,05333ab7,1413911879,0,0,0,0
158,a9339285,1413912082,0,0,0,0
159,ed9668b0,1413912193,0,0,0,0
160,089ce87c,1415837193,0,0,0,0
161,dcc84120,1415837231,0,0,0,0
162,1024c546,1415837448,0,0,0,0
163,d1112cfe,1415906477,0,0,0,0
164,f0bdd67f,1416343909,0,0,0,0
165,b0cf69cd,1416343932,0,0,0,0
166,a5bd790c,1416343957,0,0,0,0
167,a1ca0b61,1416343967,0,0,0,0
168,f340f007,1418260983,0,0,0,0
169,c8c14924,1418410897,0,0,0,0
170,5c59cca1,1418674246,0,0,0,0
171,8b24df3b,1418771751,0,0,0,0
172,9b2fd417,1418772284,0,0,0,0
173,4243b918,1419267100,0,0,0,0
174,f370e4f1,1421789287,0,0,0,0
175,c06ff941,1421794046,0,0,0,0
176,1e6a221d,1421879032,0,0,0,0
177,6a5f8511,1423088833,0,0,0,0
178,1618d99a,1423088849,0,0,0,0
179,9ad1d1d0,1423089196,0,0,0,0
