commit,sha,time,cyclo,abstract,fanout,npath
1,70eee483,1340652555,0,0,0,0
2,04892c03,1340655271,1,1,0,0
3,42be55b7,1340657079,1,1,0,0
4,576136ba,1340696699,2,1,0,1
5,7a2cbad9,1340729369,1,1,0,0
6,249a8666,1340729503,1,1,0,0
7,b24e44ab,1340732838,1,1,0,0
8,a11eb4ac,1340733230,1,1,0,0
9,7bfacddc,1340743520,2,1,0,1
10,ee7805fb,1340743550,2,1,0,1
11,2ecf2ed1,1340755521,2,1,0,1
12,4b36a047,1340755699,2,1,0,1
13,5482a558,1340756907,2,1,0,1
14,93bc9710,1340810943,2,1,0,1
15,733a7f64,1340824146,4,1,0,1
16,f6a84e62,1340824656,4,1,0,1
17,2a5de416,1340843533,7,1,0,1
18,5ad73c0d,1340902615,7,1,0,1
19,17c357a1,1340903066,7,1,0,1
20,546c7066,1340905851,7,1,0,1
21,6fd3de37,1340906682,8,1,0,1
22,a256d00a,1340914249,8,1,0,1
23,0e512fe4,1340918527,8,1,0,2
24,e2110fb8,1340918819,8,1,0,2
25,5c3e419a,1340919306,8,1,0,2
26,4890139a,1341244240,8,1,1,2
27,3186090a,1341248294,8,1,1,2
28,8f566573,1341250278,8,1,1,2
29,dcc81900,1341254328,9,1,1,2
30,34e2a25c,1341258717,8,1,1,2
31,45c60473,1341259355,8,1,1,2
32,d81ef972,1341260231,9,1,1,2
33,16e6c5b4,1341345609,9,1,1,2
34,d8b9bf76,1341346314,9,1,1,2
35,d2d80a5e,1341847049,10,2,1,4
36,63a7e1ce,1341871536,9,1,1,2
37,30fdc638,1341876964,9,1,1,2
38,eb0f774e,1341881618,10,2,1,4
39,52a260e8,1341938455,11,0,0,4
40,fc1db117,1341960322,11,0,0,4
41,3f013f16,1341969400,11,0,0,4
42,58e9880d,1342019004,11,0,0,4
43,31ad32fd,1342053675,12,0,0,4
44,e9c8e9a1,1342055145,12,0,0,4
45,bffc9213,1342204154,12,0,0,4
46,db20def1,1342208782,12,0,0,4
47,c3b97b66,1342209512,12,0,0,4
48,f554e50f,1342209710,12,0,0,4
49,76d41bad,1342210270,12,0,0,4
50,1b095113,1342214082,12,0,0,4
51,53e11e69,1342215477,12,0,0,4
52,4d6f44d8,1342465562,13,0,0,4
53,f147c74c,1342465776,13,0,0,4
54,70955010,1342474981,13,0,0,4
55,97a54f2b,1342475622,13,0,0,4
56,48b6329a,1342540737,12,0,0,4
57,c1c7d6ba,1342542989,12,0,0,4
58,b5d5fc19,1342567296,12,0,0,4
59,a081fb09,1342618308,12,0,0,4
60,d2858b56,1343720376,12,0,0,4
61,19613794,1343752002,12,0,0,4
62,2542f7ef,1343847272,12,0,0,4
63,4a889556,1343848288,12,0,0,4
64,3c16de2b,1344285932,0,0,0,0
65,97a20f2b,1344289588,12,0,0,4
66,cd37edbc,1344289989,12,0,0,4
67,bcc571d7,1344290383,12,0,0,4
68,78609d16,1344291215,12,0,0,4
69,979df316,1344349395,12,0,0,4
70,87ccc75b,1344350138,12,0,0,4
71,4136fd15,1344363808,13,0,0,4
72,d1af23df,1344364398,13,0,0,4
73,7b0c34fe,1344376387,14,0,0,4
74,37eeac68,1344443825,14,0,0,4
75,be6bc216,1344461199,14,0,0,4
76,2d40493e,1344521936,14,0,0,4
77,a2cd8dd5,1344535854,15,0,0,5
78,f6c861cf,1344541558,15,0,0,5
79,97db4a6e,1344543052,15,0,0,5
80,1f52ee35,1344543461,15,0,0,5
81,aadda23f,1344554752,15,0,0,5
82,38005abf,1344625937,15,0,0,5
83,e092ce73,1344642391,15,0,0,5
84,b79fa7bd,1344649663,15,0,0,5
85,f0a81ada,1344877060,15,0,0,5
86,d9c261e7,1344877856,15,0,0,5
87,15df5e35,1344883836,15,0,0,5
88,61734b72,1344884039,15,0,0,5
89,8dfe1952,1345503643,15,0,0,5
90,59a2a18d,1345508539,15,0,0,5
91,10196cf6,1345565321,15,0,0,5
92,b4a8f5f8,1345565870,15,0,0,5
93,a2961691,1346167599,15,0,0,5
94,9964aed0,1346168010,15,0,0,5
95,69c9daf5,1346179876,15,0,0,5
96,100c67e9,1346272562,15,0,0,5
97,8189e752,1346274684,15,0,0,5
98,4fe68cb8,1346300112,15,0,0,5
99,79f146f8,1346426893,15,0,0,5
100,d178d44a,1346427757,15,0,0,5
101,9f9d710d,1346869787,15,0,0,5
102,67e8ec69,1346869854,15,0,0,5
103,acb40989,1346895356,15,0,0,5
104,cf34602a,1347081421,15,0,0,5
105,2afb23d8,1347160420,15,0,0,5
106,79cf50d4,1347160858,15,0,0,5
107,a11e1cca,1347171099,15,0,0,5
108,2517ee7b,1347844328,15,0,0,5
109,27ce1481,1347917254,15,0,0,5
110,e0d2fb3a,1347918828,15,0,0,5
111,85edf3d7,1347921654,15,0,0,5
112,49040ad0,1347921856,15,0,0,5
113,4ed556b2,1347923378,15,0,0,5
114,0656b1a9,1347925318,15,1,0,5
115,f04b88cb,1348184385,15,1,0,5
116,92172047,1348208976,15,1,0,5
117,83347490,1348609037,15,1,0,5
118,ef57a411,1348609105,15,1,0,5
119,e77bb8d8,1348661273,15,1,0,5
120,57a14fa7,1348697988,15,1,0,5
121,67b750ce,1348698042,15,1,0,5
122,869fd9ee,1348708602,15,1,0,5
123,625a8e68,1348708721,15,1,0,5
124,2d207ae5,1348815488,15,1,0,5
125,ddd945cf,1349099264,15,1,0,6
126,3bec22fc,1349103473,15,1,0,6
127,3d0fec00,1349104177,16,1,0,6
128,75bc309d,1349130488,16,1,0,6
129,07ba1c91,1349132393,16,1,0,6
130,6d19aa4c,1349137805,16,1,0,6
131,9dea2609,1349139576,16,1,0,6
132,1c7f3291,1349144579,16,1,0,6
133,131ef2d8,1349152136,16,1,0,6
134,50f31349,1349205755,16,1,0,6
135,5c156099,1349205841,16,1,0,6
136,4670896e,1349274022,16,1,0,6
137,3945d2d1,1349275419,16,1,0,6
138,bb40ad9d,1349279205,16,1,0,6
139,ec170194,1349280970,16,1,0,6
140,979c9d34,1349293666,16,1,0,6
141,f51139c9,1349385576,16,1,0,6
142,7a66a123,1349625884,16,1,0,6
143,284d566a,1349626424,16,1,0,6
144,d1a44b7d,1349626907,16,1,0,6
145,127f8f33,1349626926,16,1,0,6
146,fb2c9d36,1349643436,16,1,0,6
147,e9a7f7a1,1349653211,16,1,0,6
148,18cdf208,1349792552,16,1,0,6
149,70fd6c08,1349793252,16,1,0,6
150,8591e258,1349797003,16,1,0,6
151,2ec1318d,1349797305,16,1,0,6
152,c6805cd5,1349808220,16,1,0,6
153,5d786a57,1349809373,16,1,0,6
154,d933f99e,1349809465,16,1,0,6
155,6e0a6343,1349809529,16,1,0,6
156,5c041eae,1349809756,16,1,0,6
157,9cd4b571,1349810000,16,1,0,6
158,5d8a2560,1349810567,16,1,0,6
159,57d98a93,1349811795,16,1,0,6
160,e7d79d02,1349813368,16,1,0,6
161,4e33f847,1349820375,16,1,0,6
162,fafc8984,1349849968,16,1,0,6
163,9a99cd0b,1349979828,16,1,0,6
164,e27a178b,1349987251,16,1,0,6
165,72228473,1349988186,16,1,0,6
166,f18e5eed,1350282665,16,1,0,6
167,21f97a46,1350316539,16,1,0,6
168,0a3b7f04,1350322093,17,1,0,6
169,b538d032,1350326541,16,1,0,6
170,45eb7b8c,1350356799,16,1,0,6
171,d191d44c,1350359094,16,1,0,6
172,efdf1728,1350414991,16,1,0,6
173,4f758a92,1350445200,16,1,0,6
174,043e79be,1350445221,17,1,0,6
175,781f3c15,1350445559,17,1,0,6
176,ea8ac762,1350446638,17,1,0,6
177,731ae866,1350447142,17,1,0,6
178,6a4e1a1c,1350447947,17,1,0,6
179,7e3204e0,1350448186,17,1,0,6
180,f0de3941,1350493541,17,2,0,6
181,9c7e1af4,1350656472,17,1,0,6
182,0fde2569,1350928789,17,2,0,6
183,cfefb680,1350929712,17,2,0,6
184,0c423be4,1350931611,17,2,0,6
185,bbcf3c7f,1350934467,17,2,0,6
186,c4b7fbe4,1351019525,17,2,0,6
187,d0034d03,1351025229,17,2,0,6
188,c21a5760,1351029810,17,2,0,6
189,8a0620f7,1351030647,17,2,0,6
190,570ff1e2,1351030678,17,2,0,6
191,5ded880f,1351108190,17,2,0,6
192,efdad40e,1351472157,17,2,0,6
193,daa0f2f7,1351522866,17,2,0,6
194,1141ed83,1351529416,17,2,0,6
195,acd98c5b,1351660763,17,2,0,6
196,cf97685c,1351699228,17,2,0,6
197,b08fd491,1352138982,17,2,0,6
198,a10fe43a,1352143363,17,2,0,6
199,3fee3fe8,1352242197,17,2,0,6
200,9ff99d56,1352242397,17,2,0,6
201,f80e9296,1352246232,17,2,0,6
202,4b49b646,1352249103,17,2,0,6
