commit,sha,time,cyclo,abstract,fanout,npath
1,48f67641,1342507542,0,0,0,0
2,e40e4d72,1342508575,0,0,0,0
3,bf028a9c,1342508705,0,0,0,0
4,d85a89a1,1342508877,0,0,0,0
5,841d7d69,1342508950,0,0,0,0
6,8d771b4f,1342508988,0,0,0,0
7,b9a07ad8,1342509015,0,0,0,0
8,501e0689,1342509212,0,0,0,0
9,9e5c242b,1342509712,0,0,0,0
10,9dd5662c,1342509950,0,0,0,0
11,573cd4a7,1342511545,0,0,0,0
12,ead86440,1342511775,0,0,0,0
13,cc99dd2f,1342512309,0,0,0,0
14,71938169,1342512376,0,0,0,0
15,5e8a5839,1342512407,0,0,0,0
16,04022f41,1342512437,0,0,0,0
17,7079fbf8,1342512505,0,0,0,0
18,c33eebe0,1342512801,0,0,0,0
19,7f464b9e,1342512852,0,0,0,0
20,da478f3d,1342512911,0,0,0,0
21,db5d4c8a,1342513057,0,0,0,0
22,0632ebe9,1342513072,0,0,0,0
23,82db34c2,1342513101,0,0,0,0
24,f559a986,1342513116,0,0,0,0
25,122c5c36,1342513152,0,0,0,0
26,6fba90ba,1342513167,0,0,0,0
27,05549062,1342523675,0,0,0,0
28,98679227,1342523763,0,0,0,0
29,d32b0b0d,1342574100,0,0,0,0
30,b0a58936,1342574131,0,0,0,0
31,436ead7a,1342574269,0,0,0,0
32,61c68c80,1342574804,0,0,0,0
33,1d817fd0,1342623410,0,0,0,0
34,e088cd0b,1342623433,0,0,0,0
35,d38e0772,1342626660,0,0,0,0
36,30bb913b,1342663864,0,0,0,0
37,20f0e9f3,1342663926,0,0,0,0
38,f7556fc4,1342701009,0,0,0,0
39,be7e46fe,1342701059,0,0,0,0
40,cbd5527d,1342712049,0,0,0,0
41,d9506736,1342715377,0,0,0,0
42,500d3452,1342715513,0,0,0,0
43,e5aa9cce,1342722812,0,0,0,0
44,ed614736,1342722819,0,0,0,0
45,ff1d4f57,1342771789,0,0,0,0
46,b71394e9,1342772058,0,0,0,0
47,4197d41b,1342905015,0,0,0,0
48,8b03e6c7,1342905833,0,0,0,0
49,bdc69433,1342905682,0,0,0,0
50,318bcf6e,1342909138,0,0,0,0
51,b4002904,1342924907,0,0,0,0
52,76bdeb4f,1342925384,0,0,0,0
53,ce669d23,1343060456,0,0,0,0
54,8d1e54e7,1343060531,0,0,0,0
55,82ae838e,1343065022,0,0,0,0
56,dff4878c,1343065261,0,1,0,0
57,26246dfc,1343095122,0,1,0,0
58,f04165d9,1343096914,0,1,0,0
59,287379f3,1343097588,0,1,0,0
60,a5f0d903,1343098011,0,1,0,0
61,081412c4,1343098166,0,1,0,0
62,f2f5a227,1343098179,0,1,0,0
63,880a2400,1343098428,0,1,0,0
64,86dcea39,1343098656,0,1,0,0
65,5208d1db,1343098701,0,1,0,0
66,f04a52de,1343099050,0,1,0,0
