commit,sha,time,cyclo,abstract,fanout,npath
1,b119d7cb,1273515851,0,0,0,0
2,301afe59,1273519250,0,0,0,0
3,6857743,1273521122,0,0,0,0
4,a8920eb7,1273525406,0,0,0,0
5,f5115f98,1273529785,0,0,0,0
6,8527005,1273617092,0,0,0,0
7,d430d088,1273691217,0,0,0,0
8,3e05f1b7,1273700614,0,0,0,0
9,45ec4dae,1273703942,0,0,0,0
10,2fd1ee78,1273706322,0,0,0,0
11,aae27295,1273714731,0,0,0,0
12,b9b11136,1273719677,0,0,0,0
13,68b43b2c,1273786946,0,0,0,0
14,609ba431,1273862324,0,0,0,0
15,bcbfba39,1273893374,1,0,0,0
16,e584df05,1273973328,0,0,0,0
17,9e99450b,1273982353,0,0,0,0
18,fd95d438,1273990899,0,0,0,0
19,08b27ff7,1273992762,1,0,0,1
20,737e4fde,1274063937,1,0,0,1
21,8075b2e2,1274067837,1,0,0,1
22,87e6f3cd,1274067868,1,0,0,1
23,f25adb1a,1274068345,1,0,0,1
24,ed66a2c9,1274068917,1,0,0,1
25,0e43ebd0,1274130840,0,0,0,0
26,e0e50931,1274131933,1,0,0,1
27,16d317a0,1274134657,1,0,0,1
28,e5ed0649,1274135558,1,0,0,1
29,2185189,1274137435,1,0,0,1
30,e5d9dec9,1274138507,1,0,0,1
31,b4f5a5a3,1274146113,1,0,0,1
32,4239ca33,1274150406,1,0,0,1
33,c2d1ff29,1274151308,1,0,0,1
34,71e6653e,1274151538,1,0,0,1
35,f0285890,1274152384,1,0,0,1
36,13935322,1274158247,1,0,0,1
37,d38b848f,1274167171,1,0,0,1
38,7485fef2,1274167866,1,0,0,1
39,609c9e15,1274168824,1,0,0,1
40,f35dcf25,1274173383,1,0,0,1
41,04f395a4,1274178703,1,0,0,1
42,453550cf,1274179188,1,0,0,1
43,05d45ea6,1274200896,1,0,0,1
44,259942a1,1274219567,1,0,0,1
45,44de4614,1274221914,1,0,0,1
46,2b14ee03,1274222637,1,0,0,1
47,9e4b7db4,1274222852,1,0,0,1
48,fe373e29,1274225258,1,0,0,1
49,31abcbfc,1274226152,1,0,0,1
50,c659e0cf,1274227985,1,0,0,1
51,6e704554,1274228441,1,0,0,1
52,0ddc47b7,1274228796,1,0,0,1
53,09fdc66a,1274233154,1,0,0,1
54,634c0bc2,1274239123,1,0,0,1
55,4fe9ce38,1274250031,1,0,0,1
56,ba76b5df,1274250134,1,0,0,1
57,10305ce2,1274251065,1,0,0,1
58,ac47a876,1274253416,1,0,0,1
59,6de015f8,1274258586,1,0,0,1
60,2cd01811,1274278921,1,0,0,1
61,b83307ef,1274279331,1,0,0,1
62,e9872feb,1274279440,1,0,0,1
63,1a04784e,1274279481,1,0,0,1
64,29c2b0a6,1274279514,1,0,0,1
65,19217a21,1274294860,1,0,0,1
66,2c84321e,1274300567,1,0,0,1
67,75ce0d6d,1274301124,1,0,0,1
68,67edde30,1274378208,1,0,0,1
69,46e1074e,1274378318,1,0,0,1
70,4281e7f9,1274479643,1,0,0,1
71,a17ca11a,1274481284,1,0,0,1
72,8090925e,1274481415,1,0,0,1
73,2dd88696,1274489725,1,0,0,1
74,4b981835,1274492934,1,0,0,1
75,6b945333,1274495253,1,0,0,1
76,4e023811,1274717048,1,0,0,1
77,9211c409,1274738390,2,0,0,1
78,33b0b064,1274752565,2,0,0,1
79,f4c72938,1274755137,2,0,0,1
80,c29662c3,1274767792,2,0,0,1
81,4fee1964,1274773488,2,0,0,1
82,e2f291d4,1274773523,2,0,0,1
83,2b003a64,1274775989,2,0,0,1
84,47c45857,1274778427,2,0,0,1
85,fc315c5b,1274812328,2,0,0,1
86,b24d759c,1274823297,2,0,0,1
87,18792f30,1274823721,2,0,0,1
88,f0e03179,1274837101,2,0,0,1
89,47e7530b,1274837258,2,0,0,1
90,9c80cfd1,1274983649,2,0,0,1
91,92a5425b,1274983995,2,0,0,1
92,60d4f59a,1274992989,2,0,0,1
93,b08e14b2,1275081965,2,1,0,1
94,77444318,1275092583,2,1,0,1
95,5d9f4af6,1275522068,2,1,0,1
96,632b6e88,1275670972,2,1,0,1
97,861abe99,1275945378,2,1,0,1
98,224adc60,1275945944,2,1,0,1
99,0bcac3e4,1275946578,2,1,0,1
100,62b66247,1275950104,2,1,0,1
101,1a44ca84,1275953835,2,1,0,1
102,e6bd5bc2,1275955592,2,0,0,1
103,4d6d0f0d,1276302488,2,0,0,1
104,c9062182,1276555047,2,0,0,1
105,11ab89f1,1276747454,2,0,0,1
106,eb9cd3fb,1276897839,2,0,0,1
107,d20e4c71,1276900494,2,0,0,1
108,7fef7ce7,1277274796,2,0,0,1
109,161e9721,1277444850,2,0,0,1
110,f592a66d,1277466582,2,0,0,1
111,b7064910,1277507050,5,0,0,2
112,b18714b7,1282198793,6,2,0,2
113,ef53183c,1285890603,6,2,0,2
114,a1fb45ab,1288836881,8,2,0,2
115,898aa5f6,1288841469,8,2,0,2
116,9d0985ea,1289947734,8,2,0,2
117,9fd23617,1291054111,8,2,0,2
