commit,sha,time,cyclo,abstract,fanout,npath
1,0be86af0,1388000274,0,0,0,0
2,5d088791,1388001724,0,0,0,0
3,b6278463,1388001791,0,0,0,0
4,a4a5fa46,1388002217,0,0,0,0
5,1008e99e,1388002812,0,0,0,0
6,2898bdf3,1388003030,0,0,0,0
7,3ab533d0,1388003723,1,0,0,0
8,0008e12a,1388004158,1,0,0,0
9,0b967360,1388004205,1,0,0,0
10,398ea355,1388004812,1,0,0,0
11,7dcc0db2,1388004924,1,0,0,0
12,dbc2bf14,1388005735,1,0,0,0
13,6a776e61,1388007081,1,0,0,0
14,c117aecc,1388007114,1,0,0,0
15,cc94c8e1,1388007124,1,0,0,0
16,7d8e3921,1388007520,1,0,0,0
17,4a02cb70,1388007956,1,0,0,0
18,f553b4a8,1388008057,1,0,0,0
19,450a3ded,1388008380,1,0,0,0
20,f7876974,1388008554,1,0,0,0
21,e742131a,1388009066,1,0,0,0
22,14558714,1388009671,1,0,0,0
23,b0b51e36,1388010019,1,0,0,0
24,cdab7da7,1388012715,13,1,2,3
25,fdfa4231,1388036005,13,1,2,3
26,3c0d56eb,1388051158,13,1,2,3
27,117e8572,1388051597,13,1,2,3
28,c2b9cb37,1388054059,13,1,2,4
29,77f7f5ed,1388058071,19,1,2,4
30,e1a13fed,1388089808,19,1,2,4
31,7c104eff,1388089822,19,1,2,4
32,21cfb109,1388090342,19,1,2,4
33,2482a26e,1388090698,22,1,2,3
34,680892e0,1388090903,22,1,2,3
35,c8cdd71d,1388091161,22,1,2,3
36,1f02a694,1388091429,22,1,2,3
37,8a4ba2a5,1388091777,22,1,2,3
38,6be05a69,1388091791,22,1,2,3
39,5836dc27,1388092222,22,1,2,3
40,6ecdf7ba,1388092701,23,1,2,3
41,79ab320e,1388092914,23,1,2,3
42,65186ed5,1388093008,23,1,2,3
43,7534553c,1388093568,23,1,2,3
44,750b3652,1388093589,23,1,2,3
45,c40766b6,1388093695,23,1,2,3
46,13cf6b16,1388094590,23,1,2,3
47,cea833b7,1388094666,23,1,2,3
48,999a564d,1388139097,23,1,2,3
49,6b6f837f,1388143248,23,1,2,3
50,3e85087e,1388143278,23,1,2,3
51,87e260a2,1388143316,23,1,2,3
52,5861d2a5,1388145739,23,1,2,4
53,9db978e0,1388147748,23,1,2,4
54,faa684f5,1388149351,23,1,2,4
55,6caee0a4,1388149366,23,1,2,4
56,4f8ea49d,1388160006,23,1,2,4
57,917fb2db,1388160408,23,1,2,4
58,7f54438f,1388161577,22,1,2,4
59,f0c516f0,1388163119,22,1,2,4
60,9f097a7e,1388239740,22,1,2,4
61,97a1dc23,1388251406,22,1,2,4
62,f6637abd,1388252145,22,1,2,4
63,ceb44da8,1388262637,22,1,2,4
64,770b89cd,1388264322,22,1,2,4
65,0c24a907,1388266466,22,1,2,4
66,01e16d9e,1388266946,22,1,2,4
67,a5f8e6ee,1388267682,22,1,2,4
68,878c8c87,1388268453,22,1,2,4
69,fa1ccd3b,1388268771,22,1,2,4
70,87637c4a,1388268914,22,1,2,4
71,a1e3848e,1388269392,22,1,2,4
72,8d3a2c67,1388269544,22,1,2,4
73,59cc5d84,1388270665,22,1,2,4
74,af54f3ff,1388511001,22,1,2,4
75,53201c81,1388511333,22,1,2,4
76,eb21d215,1388512077,22,1,2,4
77,fe052185,1388513312,22,1,2,4
78,1e06ecc8,1388527108,22,1,2,4
79,7788675c,1388527253,22,1,2,4
80,fdce7ab3,1388527587,22,1,2,4
81,bc928e9a,1388528154,22,1,2,4
82,eba2f413,1388528878,22,1,2,4
83,3c484667,1388528928,22,1,2,4
84,918b401b,1388529242,22,1,2,4
85,082f3ae5,1388529616,22,1,2,4
86,fcce6c95,1388598338,22,1,2,4
87,b1f4649e,1388598686,22,1,2,4
88,201591cb,1388613519,22,1,2,4
89,c074931b,1388664868,22,3,4,4
90,e59c83a9,1388665226,22,3,4,4
91,435f80c5,1388665498,21,3,4,4
92,e5d1021d,1388665804,22,3,4,4
93,4dd17b2c,1388687451,22,3,4,4
94,48001f9a,1388691313,22,3,4,4
95,ff514e86,1388692718,22,3,4,4
96,fe5d96b7,1388694862,22,3,4,4
97,8f6831e0,1388737271,22,3,4,4
98,13d25d62,1388737331,22,3,4,4
99,f8ca3a59,1388738665,22,3,4,4
100,a52d9c4c,1388740323,22,3,4,4
101,4f409975,1388741040,22,3,4,4
102,01af1f56,1388741200,22,3,4,4
103,b8bc898f,1388750121,23,3,4,4
104,c06e5300,1388758110,24,3,4,5
105,0116fef3,1388770993,24,3,4,5
106,01c17069,1388773404,24,3,4,5
107,247f6485,1388783507,25,3,4,6
108,5f71d7e4,1388784374,25,3,4,6
109,c905a8d8,1388784579,25,3,4,6
110,07ebaeca,1388801185,25,3,4,6
111,565523b1,1388805519,25,3,4,6
112,70a738ef,1388849153,25,3,4,6
113,979a7898,1388850518,24,3,4,6
114,42e76b5b,1388851420,24,3,4,6
115,dee7adb7,1388852174,24,3,4,6
116,14d14a3d,1388855140,24,3,4,6
117,e99605c2,1388862771,24,3,4,6
118,47c8ddeb,1388862853,24,3,4,6
119,c8a0efea,1388863495,24,3,4,6
120,72d56b1f,1388863662,24,3,4,6
121,57523189,1388864685,24,3,4,6
122,aabccab7,1388866610,25,3,4,6
123,2c819728,1388892940,25,3,4,6
124,ab09aaf1,1388917726,25,3,4,6
125,f5dc2735,1388918470,25,3,4,6
126,790dd800,1388921389,25,3,4,6
127,2b9360cb,1388921687,25,3,4,6
128,35648a01,1388923376,25,3,4,6
129,9d24cc05,1388924542,25,2,4,6
130,2b026184,1388930292,25,2,4,6
131,eacf765f,1388930934,25,2,4,6
132,a5b23f36,1388934419,25,2,4,6
133,0c6bf9f0,1388934620,25,2,4,6
134,e78d5254,1388938827,26,2,5,6
135,a938a42f,1388940820,27,2,5,6
136,2ca760a2,1388943473,27,2,5,6
137,d242f735,1388944262,27,2,5,6
138,32a95e51,1388946567,27,2,5,6
139,18f31873,1388946957,27,2,5,6
140,3f97d7b7,1388950078,27,2,5,6
141,5e63626a,1388950478,28,2,5,6
142,2d8ab046,1388952557,28,2,5,6
143,92c2ebfc,1388954090,28,2,5,6
144,76618b9a,1388955716,29,2,5,6
145,c15e4555,1388956595,29,2,5,6
146,8762fc12,1388961142,29,2,5,6
147,05d96c97,1388961971,29,2,5,6
148,ca84cbfc,1388961982,29,2,5,6
149,b0a6db51,1388974593,29,2,5,6
