commit,sha,time,cyclo,abstract,fanout,npath
1,4f29bc8a,1156287481,0,0,0,0
2,66b415a2,1156471279,0,3,2,0
3,249d6911,1156471585,0,3,2,0
4,263c5bca,1163702395,0,3,2,0
5,07e4182e,1164072428,1,3,2,0
6,953aa44a,1164239980,1,3,2,0
7,6ab7e1f5,1165018836,1,3,2,0
8,ed8825fb,1165368490,1,3,2,0
9,d42a05b2,1165453233,1,3,2,0
10,41bc8528,1165561615,1,3,2,0
11,b9446686,1165821401,1,3,2,0
12,7c5b2c4e,1169258720,2,4,2,1
13,161e6275,1169258925,2,4,2,1
14,bb8e585f,1169259155,2,4,2,1
15,4c90ac0b,1169259456,2,4,2,1
16,fe2f1675,1169439378,2,4,2,1
17,63b592b8,1169693124,2,4,3,2
18,abfd5463,1169693166,2,4,3,2
19,f6389287,1169693257,2,4,3,2
20,b052dd80,1169764436,3,4,3,2
21,70eb0331,1169764649,3,4,3,2
22,664a82ed,1169766591,2,4,3,2
23,e9f0fa57,1169767571,2,4,3,2
24,fc9337f9,1169772694,2,4,3,2
25,78e1cc17,1169777886,2,4,3,2
26,7fb1d7fc,1170104233,2,4,3,2
27,f1ba2b51,1170105593,2,4,3,2
28,9e5fe5d5,1170107952,2,5,3,2
29,041e9338,1170111515,2,5,3,2
30,e20bd184,1170111610,2,5,3,2
31,dac49912,1170112661,2,5,3,2
32,4776db7d,1170113250,2,5,3,2
33,4727ee28,1170126818,2,5,3,2
34,fbc56446,1170126990,2,5,3,2
35,db178d76,1170192689,2,5,3,2
36,235d0685,1170210321,2,5,3,2
37,0baa9fcb,1170211134,2,5,3,2
38,9bb62020,1170288413,1,5,3,1
39,7289ac1b,1170289689,1,5,3,1
40,ef83bd24,1170291177,1,5,3,1
41,abc4dd0c,1170294276,1,5,3,1
42,15969213,1170295319,1,5,3,1
43,2af06373,1170295673,1,5,3,1
44,a6e73987,1170375667,1,5,3,1
45,356789d1,1170375877,1,5,3,1
46,76effada,1170375937,1,5,3,1
47,2008ec7e,1170383030,1,5,3,1
48,11a88cab,1170383067,1,5,3,1
49,685c9548,1170383129,1,5,3,1
50,9592a91e,1170384232,1,5,3,1
51,50ea4abd,1170384311,1,5,3,1
52,84a798b2,1170384368,1,5,3,1
53,e3adfd61,1170451808,1,5,3,1
54,e039bac2,1170452529,1,5,3,1
55,b8cf1e5f,1170452896,1,5,3,1
56,1b82a8f1,1170459042,2,6,3,2
57,47e4f66b,1170459075,2,6,3,2
58,d8d900f1,1170459165,2,6,3,2
59,62fcdde5,1170468613,2,6,3,2
60,2a1ea890,1170469039,2,6,3,2
61,047d1f4a,1170469101,2,6,3,2
62,b49dbe67,1170469186,2,6,3,2
63,f0043b7a,1170469858,2,6,3,2
64,43ebede9,1170469916,2,6,3,2
65,861eb33e,1170470525,2,6,3,2
66,420d4620,1170470832,2,6,3,2
67,9153228b,1170471403,2,6,3,2
68,b7598a6f,1170472414,2,6,3,2
69,00ba1392,1170472494,2,6,3,2
70,bb28ebf7,1170472587,2,6,3,2
71,46ac59f1,1170473132,2,6,3,2
72,80d0ba51,1170485202,2,6,3,2
73,07bd1593,1170487131,2,6,3,2
